N	3gram	Losev_Prob	Sovremen
1	с точки зрения	13	5
2	не может быть	2	4
3	с самого начала	3	3
4	в свою очередь	2	2
5	то же самое	2	2
6	во всяком случае	6	2
7	тем не менее	8	2
8	в настоящее время	7	2
9	подлежит никакому сомнению	1	1
10	не будет ли	1	1
11	все же в	1	1
12	в дальнейшем и	1	1
13	всяком случае не	1	1
14	то ни было	2	1
15	xix в и	1	1
16	и ни в	2	1
17	в том что	13	1
18	в древней греции	1	1
19	на самом деле	2	1
20	и до сих	1	1
21	в и в	1	1
22	как и во	1	1
23	до сих пор	3	1
24	все более и	1	1
25	а может быть	2	1
26	в новое время	3	1
27	не что иное	3	1
28	в связи с	11	1
29	и все же	1	1
30	в самом деле	1	1
31	дело в том	4	1
32	в такой же	1	1
33	при этом само	1	1
34	и наконец все	1	1
35	тот факт что	1	1
36	той или иной	4	1
37	же мере в	1	1
38	что иное как	3	1
39	в данном случае	5	1
40	и не было	1	1
41	но все же	2	1
42	который как бы	1	1
43	равно как и	2	1
44	не подлежит никакому	1	1
45	и что она	1	1
46	ничего общего не	1	1
47	это то же	1	1
48	и прежде всего	2	1
49	это значит что	2	1
50	с одной стороны	5	1
51	бы все это	1	1
52	не в виде	1	1
53	но никогда не	1	1
54	в этой области	1	1
55	в известном смысле	1	1
56	более и более	1	1
57	такой же мере	1	1
58	по аналогии с	1	1
59	то же время	1	1
60	не в том	1	1
61	что в ней	1	1
62	не имеет с	1	1
63	по отношению к	2	1
64	общего не имеет	1	1
65	в том как	1	1
66	в то же	2	1
67	бы то ни	4	1
68	в начале нашего	1	1
69	и в этом	1	1
70	по крайней мере	8	1
71	ведь это не	1	1
72	и ничего не	1	1
73	можно было бы	2	1
74	друг на друга	1	1
75	в этом смысле	4	1
76	и вообще на	1	1
77	ни о каком	1	1
78	но тем не	1	1
79	по его мнению	1	1
80	из них это	1	1
81	может быть только	6	1
