N	4gram	Tiupa_Anal	Mirosoze
1	и там и здесь	1	6
2	и вместе с тем	1	5
3	не что иное как	5	4
4	одна и та же	1	3
5	одной и той же	1	3
6	в том что он	2	3
7	есть не что иное	4	3
8	стороны одной и той	1	2
9	той мере в какой	2	1
10	в том смысле что	1	1
11	но не может быть	1	1
12	мы имеем в виду	1	1
13	и в самом деле	1	1
14	одни и те же	2	1
15	это означает что в	1	1
16	в том случае если	1	1
17	не сам по себе	1	1
18	в то же время	7	1
19	и не может быть	4	1
20	ведет к тому что	1	1
21	второе решение вопроса о	1	1
22	не только личность но	1	1
23	ни на что не	1	1
24	в той мере в	2	1
25	в тех случаях когда	1	1
