N	2gram	Bakhtin_sl	Psycholo
1	то что	2	193
2	и в	69	190
3	в том	7	163
4	что в	3	123
5	потому что	2	114
6	том что	6	113
7	и что	2	108
8	может быть	40	107
9	таким образом	16	102
10	в этом	21	100
11	то есть	46	97
12	все время	4	86
13	в самом	6	82
14	как бы	16	80
15	для того	2	78
16	того чтобы	1	78
17	что он	2	76
18	не только	37	75
19	на то	2	73
20	и не	32	73
21	что она	1	71
22	точки зрения	24	69
23	и т	56	69
24	не может	27	68
25	если мы	2	66
26	так же	2	63
27	так как	7	63
28	было бы	3	56
29	если бы	1	55
30	то же	17	54
31	о том	5	54
32	при этом	12	52
33	как и	8	51
34	что и	2	50
35	а не	29	50
36	сказать что	4	46
37	по себе	4	46
38	только в	9	46
39	в сущности	18	46
40	заключается в	1	46
41	к тому	3	45
42	не в	14	45
43	в этой	1	43
44	никогда не	9	42
45	и все	9	42
46	вместе с	3	41
47	как это	3	40
48	но и	37	40
49	как раз	3	39
50	того что	4	39
51	т п	49	38
52	и это	1	37
53	мы видим	2	37
54	и как	3	36
55	вовсе не	16	34
56	как на	1	34
57	и если	1	34
58	и его	45	34
59	тому что	2	33
60	все же	10	33
61	что все	2	33
62	в себе	3	32
63	все это	14	32
64	художественного произведения	1	32
65	он не	5	31
66	мы не	4	31
67	в его	19	31
68	для нас	7	31
69	в ней	7	31
70	мы увидим	2	30
71	как в	18	30
72	с одной	7	29
73	в нас	1	29
74	и для	7	29
75	одной стороны	7	29
76	с точки	11	29
77	в нем	44	29
78	увидим что	1	28
79	что они	2	28
80	мы можем	1	28
81	и то	2	28
82	что мы	1	28
83	в основе	8	27
84	и на	17	27
85	а в	10	27
86	с другой	8	27
87	все то	2	27
88	так что	2	26
89	совершенно не	2	26
90	и здесь	5	25
91	жизни и	5	25
92	до сих	4	24
93	с таким	3	24
94	до конца	25	24
95	тем что	1	24
96	и совершенно	1	24
97	в целом	3	24
98	в своем	9	23
99	сих пор	4	23
100	из этого	3	23
101	один из	9	23
102	целый ряд	2	23
103	что оно	4	23
104	для этого	4	23
105	могут быть	25	23
106	с этим	5	22
107	из них	3	22
108	между тем	5	22
109	и даже	11	22
110	т д	7	22
111	в котором	2	21
112	в двух	2	21
113	в которых	1	21
114	той же	3	21
115	в своей	8	21
116	ни в	4	21
117	в конце	1	21
118	но только	1	21
119	как мы	15	21
120	и только	2	21
121	другой стороны	5	20
122	в то	17	20
123	тот же	1	20
124	мы имеем	1	20
125	она не	8	20
126	дело с	4	20
127	несмотря на	2	20
128	на этом	4	20
129	там где	10	20
130	это не	8	20
131	все эти	15	20
132	в одном	4	19
133	что при	1	19
134	мы уже	4	19
135	в какой	2	19
136	в ее	2	19
137	у него	5	19
138	он говорит	1	19
139	с этой	3	18
140	в которой	4	18
141	можно было	2	18
142	но в	13	18
143	зависимости от	4	18
144	в каком	1	18
145	на самом	2	18
146	но не	7	18
147	действующих лиц	2	18
148	и есть	2	18
149	был бы	2	18
150	перед нами	7	18
151	видим что	1	18
152	есть не	2	18
153	в виду	2	17
154	во всяком	9	17
155	мы все	2	17
156	время как	2	17
157	что для	1	17
158	из этих	3	17
159	но это	3	17
160	одна из	6	17
161	только не	2	17
162	у нас	2	17
163	и о	3	17
164	и к	9	16
165	к этому	3	16
166	та же	1	16
167	сводится к	1	16
168	говорит о	1	16
169	самого начала	1	16
170	с самого	1	16
171	в таком	5	16
172	же как	2	16
173	и тем	3	16
174	очень легко	2	16
175	формы и	3	16
176	так и	22	16
177	от того	1	16
178	в результате	4	15
179	в них	11	15
180	только на	3	15
181	во всех	25	15
182	о которых	2	15
183	могли бы	2	15
184	не могут	7	15
185	и так	1	15
186	о котором	1	15
187	и потому	9	15
188	в зависимости	4	15
189	не просто	2	15
190	которых мы	3	15
191	далеко не	7	15
192	еще не	9	15
193	для него	8	15
194	в частности	3	15
195	не можем	1	15
