N	4gram	Bakhtin_fo	KFilosof
1	ни в чем не	3	4
2	одна и та же	2	2
3	в то же время	10	2
4	не имеем в виду	1	2
5	бы он ни был	2	2
6	в данный момент в	1	1
7	имеет место и в	1	1
8	только в том что	1	1
9	в соотнесении с конкретной	1	1
10	истина добро красота и	1	1
11	с нашей точки зрения	3	1
12	времени и пространства и	1	1
13	и может быть только	1	1
14	и пр все это	1	1
15	мы будем говорить в	1	1
16	дело в том что	2	1
17	того мира в котором	1	1
18	но в то же	2	1
19	и в то же	6	1
20	одного и того же	6	1
21	мир в котором он	1	1
22	до сих пор не	1	1
23	когда мы говорим о	1	1
24	но для того чтобы	2	1
