N	3gram	Ircho_Kome	PoTuStor
1	с самого начала	2	4
2	до сих пор	3	3
3	в большинстве случаев	2	3
4	в чем не	1	3
5	в этом смысле	2	3
6	по сравнению с	1	3
7	во всяком случае	4	3
8	ни в чем	1	3
9	так же как	1	2
10	по аналогии с	1	2
11	о том что	6	2
12	нет никаких оснований	1	2
13	со всех сторон	1	1
14	он может быть	1	1
15	одних и тех	1	1
16	так и в	1	1
17	именно здесь в	1	1
18	в том что	13	1
19	в углу комнаты	1	1
20	а то и	3	1
21	а может быть	1	1
22	и столь же	2	1
23	не что иное	1	1
24	и та же	1	1
25	что иное как	1	1
26	мы узнаем о	1	1
27	ни в коем	1	1
28	той или иной	1	1
29	вместе с тем	4	1
30	мы уже знаем	1	1
31	подобно тому как	1	1
32	в применении к	1	1
33	можно было бы	3	1
34	каждого из этих	1	1
35	а вместе с	1	1
36	и таким образом	2	1
37	и прежде всего	1	1
38	в данном случае	1	1
39	как мы знаем	1	1
40	как это было	1	1
41	же что и	1	1
42	может быть даже	2	1
43	же как и	1	1
44	из сказанного становится	1	1
45	то ни было	4	1
46	в философии и	1	1
47	нельзя сказать о	1	1
48	этой точки зрения	1	1
49	в высшей степени	1	1
50	может привести к	1	1
51	одна и та	1	1
52	с этой точки	1	1
53	то же самое	2	1
54	практически он может	1	1
55	из того же	1	1
56	как один из	1	1
57	в коем случае	1	1
58	за отказ от	1	1
59	для того чтобы	3	1
60	так как он	1	1
61	с одной стороны	5	1
62	на первый план	1	1
63	в этом отношении	3	1
64	связи с этим	1	1
65	время и на	1	1
66	сделать некоторые выводы	1	1
67	и тех же	1	1
68	бы то ни	4	1
69	имеем дело с	1	1
70	в связи с	3	1
