N	2gram	Vinokur_St	slovoVRo
1	и в	61	92
2	в романе	4	89
3	и т	36	82
4	т п	11	72
5	то есть	2	64
6	может быть	16	59
7	и его	11	59
8	в нем	9	59
9	и не	23	51
10	не только	36	44
11	не может	10	41
12	но и	28	39
13	до конца	4	37
14	литературного языка	1	37
15	в этом	37	36
16	а не	19	34
17	во всех	8	32
18	точки зрения	16	30
19	так и	15	30
20	языка и	4	29
21	могут быть	5	29
22	и др	1	29
23	в пределах	1	29
24	в его	19	27
25	в роман	1	27
26	слова в	1	26
27	все это	13	25
28	как бы	8	24
29	слово в	1	24
30	то же	7	23
31	и на	7	22
32	в сущности	2	21
33	как в	15	21
34	не в	15	21
35	вовсе не	24	21
36	в процессе	3	20
37	в то	10	20
38	прежде всего	11	19
39	как мы	1	19
40	как и	11	18
41	язык и	1	18
42	же время	5	18
43	себя в	1	18
44	или иной	1	18
45	таким образом	16	17
46	оно не	3	17
47	и даже	8	17
48	все же	12	17
49	в основе	4	17
50	в истории	5	17
51	все эти	7	17
52	при этом	4	16
53	в них	2	16
54	к своему	3	16
55	отличие от	1	16
56	но в	16	16
57	в той	9	15
58	и с	6	15
59	с точки	10	15
60	той или	1	15
61	там где	6	15
62	романа и	1	14
63	только в	11	14
64	в отличие	1	14
65	узком смысле	1	14
66	в узком	1	14
67	в особенности	1	13
68	отношении к	3	13
69	в слове	5	13
70	это не	8	13
71	с другой	11	13
72	с его	3	13
73	точка зрения	1	13
74	и для	4	13
75	и к	5	12
76	в отношении	11	12
77	еще не	4	12
78	во всяком	8	12
79	художественного изображения	1	12
80	слово как	1	12
81	никогда не	7	12
82	и потому	3	12
83	или в	1	12
84	точек зрения	1	12
85	а в	18	12
86	отношение к	3	12
87	один из	1	11
88	в этих	5	11
89	с ними	1	11
90	для него	10	11
91	с одной	3	11
92	всех его	1	11
93	на его	2	11
94	в плане	1	11
95	одной стороны	2	11
96	зрения на	1	10
97	и их	3	10
98	и все	3	10
99	уже не	1	10
100	лишь в	3	10
101	т д	25	10
102	в своем	8	10
103	может не	2	10
104	в том	56	10
105	она не	3	10
106	в себе	3	10
107	далеко не	1	10
108	всех этих	2	10
109	романа в	1	9
110	более или	2	9
111	в своей	12	9
112	конечно не	2	9
113	сказать что	9	9
114	языка а	1	9
115	на почве	2	9
116	этом случае	3	9
117	так как	7	9
118	здесь в	1	9
119	его в	4	9
120	одна из	1	9
121	в их	3	9
122	или менее	2	9
123	и других	1	9
124	он не	11	9
125	быть и	2	9
126	одним из	2	9
127	и от	2	9
128	но не	5	9
129	к нему	2	9
130	более того	1	9
131	в самом	14	8
132	для нас	7	8
133	не на	3	8
134	не могут	2	8
135	зависимости от	2	8
136	в значительной	2	8
137	для понимания	2	8
138	с этим	6	8
139	в зависимости	2	8
140	языка но	1	8
141	всяком случае	8	8
142	п в	4	8
143	входит в	1	8
144	в одной	3	8
145	в ней	9	8
146	от него	1	7
147	же и	4	7
148	еще более	5	7
149	кроме того	3	7
150	но все	9	7
151	о нем	1	7
152	например в	8	7
153	связанные с	3	7
154	том что	49	7
155	перед нами	1	7
156	значительной степени	3	7
157	на своем	1	7
158	но именно	3	7
159	здесь не	1	7
160	стиля и	1	7
161	того же	4	7
162	у него	3	7
163	не было	7	7
164	связи с	3	7
165	в таком	4	7
166	его не	3	7
167	также и	10	7
168	ту же	1	7
169	за пределы	2	7
170	жизни и	6	7
171	в целом	5	7
172	что в	41	6
173	и здесь	2	6
174	дело с	2	6
175	даже в	5	6
176	в одном	7	6
177	ни в	5	6
178	другой стороны	9	6
179	по себе	3	6
180	и язык	1	6
181	конечно и	5	6
182	именно в	8	6
183	одновременно и	1	6
184	роль в	1	6
185	себя и	1	6
186	со всею	1	6
187	можно сказать	2	6
188	наконец в	2	6
189	говорить о	3	6
190	и там	1	6
191	как к	3	6
192	связан с	3	6
193	в качестве	7	6
194	xix века	2	6
195	бы и	4	6
196	а также	4	6
197	на этом	1	6
198	хотя бы	8	6
199	между тем	7	6
200	стороны и	1	6
201	он в	1	6
202	точку зрения	3	6
203	которые в	2	6
204	ничего не	6	6
205	темы о	1	6
206	эпохи и	3	6
207	в чисто	2	6
208	должна быть	3	5
209	героя в	1	5
210	и при	1	5
211	не как	2	5
212	а затем	1	5
213	в результате	5	5
214	к его	2	5
215	они не	2	5
216	по отношению	3	5
217	вместе с	5	5
218	не менее	8	5
219	о том	30	5
220	но оно	1	5
221	его и	1	5
222	не является	5	5
223	в данном	16	5
224	и более	4	5
225	мы не	3	5
226	для того	15	5
227	только на	1	5
228	связанных с	1	5
229	слов о	1	5
230	языка не	2	5
231	речи в	1	5
232	той же	5	5
233	отношению к	3	5
234	поэтического языка	2	5
235	а вовсе	1	5
236	но он	5	5
237	в поэзии	1	5
238	уже в	3	5
239	на протяжении	1	5
240	хотя и	4	5
241	этом отношении	13	5
242	и этим	1	5
243	с их	2	5
244	в каждый	1	5
245	слова не	1	5
246	и проч	1	5
247	должен быть	3	5
248	в других	2	5
249	особенно в	2	5
250	в каждом	3	5
251	а как	5	5
252	слова с	1	5
253	не знает	2	5
254	не с	1	5
255	борьба с	2	5
256	и сам	4	5
257	и языка	6	5
258	и по	6	5
259	для этого	2	5
260	до сих	13	4
261	по существу	3	4
262	или иные	1	4
263	в некоторых	3	4
264	в другой	1	4
265	те же	1	4
266	не столько	6	4
267	в виду	6	4
268	со всеми	2	4
269	если бы	11	4
270	в построении	1	4
271	отношения к	2	4
272	и другим	1	4
273	что он	23	4
274	от его	2	4
275	так же	7	4
276	которая не	1	4
277	к тому	9	4
278	поэзии и	3	4
279	дело не	4	4
280	даже и	2	4
281	того чтобы	15	4
282	все свои	1	4
283	в другом	5	4
284	но эти	2	4
285	случае она	1	4
286	тогда когда	1	4
287	и уже	3	4
288	и слово	1	4
289	те или	2	4
290	именно на	1	4
291	с этой	5	4
292	ни были	2	4
293	в чем	4	4
294	его же	2	4
295	и во	3	4
296	с этими	1	4
297	из романа	2	4
298	и речи	3	4
299	в свой	2	4
300	однако в	1	4
301	связано с	1	4
302	этой категории	2	4
303	но это	9	4
304	из них	11	4
305	того что	14	4
306	он должен	2	4
307	истории литературы	2	4
308	несколько слов	1	4
309	все его	1	4
310	что оно	4	4
311	вокруг него	1	4
312	значение в	1	4
313	одной из	4	4
314	том же	3	4
315	момент его	1	4
316	о себе	1	4
317	как раз	10	4
318	что и	8	4
319	чем он	3	4
320	в виде	3	4
321	а на	4	4
322	в которой	13	4
323	это слово	6	4
324	и как	2	4
325	же как	5	4
326	оценок и	1	4
327	введенные в	1	4
328	так в	1	4
329	только и	1	4
330	в условиях	1	4
331	сих пор	12	4
332	именно как	1	4
333	выражение в	2	4
334	но как	1	4
335	разрыв между	1	4
336	эти слова	1	4
337	в частности	6	4
338	одно и	1	4
339	не были	2	4
340	при всем	1	4
341	литературы и	3	4
342	и о	4	4
343	в понимании	1	4
344	вообще не	5	4
345	в лучшем	1	4
346	образом в	1	4
347	не всегда	2	4
348	из этого	1	4
349	бы ни	3	4
350	лучшем случае	1	4
351	однако и	2	3
352	и другие	3	3
353	все что	1	3
354	еще раз	1	3
355	слову в	1	3
356	смысле слова	1	3
357	в разных	1	3
358	не приходится	5	3
359	в форме	2	3
360	и то	6	3
361	борьбы с	3	3
362	в более	1	3
363	этого процесса	1	3
364	в духе	2	3
365	в первом	2	3
366	ближайшим образом	2	3
367	тем что	6	3
368	риторических формах	1	3
369	в составе	1	3
370	в корне	1	3
371	притом в	1	3
372	автора к	1	3
373	в одно	1	3
374	языка на	1	3
375	правда не	1	3
376	как более	2	3
377	не его	1	3
378	от этого	2	3
379	действительности в	1	3
380	и грубой	1	3
381	отличается от	2	3
382	было бы	21	3
383	почти все	2	3
384	как это	6	3
385	не должно	1	3
386	которых мы	1	3
387	не должны	1	3
388	не могло	4	3
389	в этой	13	3
390	целый ряд	3	3
391	и до	2	3
392	на границе	1	3
393	и те	4	3
394	сил в	1	3
395	отметить что	4	3
396	и вообще	5	3
397	в эту	3	3
398	без всякого	2	3
399	если мы	1	3
400	на него	3	3
401	в сознании	2	3
402	но эта	1	3
403	этого слова	2	3
404	только с	4	3
405	на котором	1	3
406	с каким	1	3
407	еще на	1	3
408	которого он	1	3
409	в свое	3	3
410	ни с	3	3
411	время и	1	3
412	на том	1	3
413	такого рода	2	3
414	у каждого	1	3
415	материала и	2	3
416	них и	2	3
417	не была	2	3
418	чем в	3	3
419	его от	1	3
420	входить в	1	3
421	дело в	9	3
422	xviii века	1	3
423	тому что	8	3
424	с одним	1	3
425	и без	4	3
426	языка может	1	3
427	данного произведения	1	3
428	лишь на	1	3
429	и интерпретации	1	3
430	является лишь	1	3
431	а иногда	2	3
