N	4gram	Tiupa_Teor	Problema
1	не что иное как	1	14
2	есть не что иное	1	11
3	в той или иной	1	10
4	дело в том что	1	10
5	но в таком случае	1	7
6	заключается в том что	1	6
7	той или иной мере	1	6
8	бы то ни было	2	6
9	а с другой стороны	1	4
10	одним и тем же	1	4
11	одно и то же	2	4
12	еще и потому что	1	4
13	ни в коем случае	2	4
14	в том числе и	2	4
15	в связи с этим	1	4
16	в том или ином	1	4
17	и в то же	2	3
18	одного и того же	4	3
19	с этой точки зрения	2	3
20	с одной стороны и	1	3
21	в том что он	2	3
22	но в то же	2	3
23	сама по себе а	1	2
24	с точки зрения логики	1	2
25	в том что в	1	2
26	не сама по себе	1	2
27	в войне и мире	2	2
28	мы имеем в виду	3	2
29	можно даже сказать что	1	2
30	себе отчет в том	1	2
31	чего бы то ни	1	2
32	а иной раз и	1	2
33	в узком значении этого	1	1
34	о том о чем	1	1
35	дело не в самом	1	1
36	всегда так или иначе	1	1
37	узком значении этого слова	1	1
38	в то же время	8	1
39	и в самом деле	2	1
40	мы имеем дело не	1	1
41	в одном и том	1	1
42	по себе а в	1	1
43	уходит своими корнями в	1	1
44	тех или иных первичных	1	1
45	в еще большей степени	1	1
46	том или ином отношении	1	1
47	состоит в том что	5	1
48	как один из видов	1	1
49	в виду не только	3	1
50	и того же типа	1	1
51	о и а и	1	1
52	в том случае если	1	1
53	а в то же	1	1
54	по себе еще не	1	1
55	из тех или иных	1	1
56	не может быть и	1	1
57	в данном случае совершенно	1	1
58	которые лежат в основе	1	1
59	одном и том же	1	1
60	в коем случае не	2	1
61	данном случае совершенно не	1	1
62	с другой стороны не	1	1
63	не содержит в себе	1	1
64	чего нет в его	1	1
65	в одной из своих	1	1
66	никак не может быть	1	1
67	какой бы то ни	1	1
68	мы имеем дело с	1	1
69	между внутренней и внешней	1	1
