N	2gram	Voloshinov	Vladivir
1	и в	42	116
2	с м	1	81
3	то что	9	71
4	и не	14	67
5	у него	1	65
6	не только	28	65
7	в этом	10	53
8	в том	3	52
9	том что	3	51
10	что в	1	48
11	но и	16	47
12	в конце	6	41
13	в его	6	40
14	и с	5	39
15	то есть	5	37
16	и даже	3	36
17	сказать что	3	36
18	также и	2	36
19	так что	1	35
20	потому что	7	33
21	что он	2	32
22	еще и	2	32
23	не может	13	31
24	о том	4	30
25	только в	7	30
26	как мы	10	29
27	никогда не	7	29
28	для него	3	29
29	вовсе не	2	27
30	а в	5	27
31	не было	2	26
32	а к	3	25
33	в себе	10	25
34	но в	5	25
35	в то	9	25
36	и то	5	25
37	и его	7	25
38	даже и	2	24
39	точки зрения	11	23
40	он не	2	23
41	может быть	13	23
42	что же	8	23
43	кроме того	2	22
44	ни в	1	22
45	так как	8	22
46	в виде	1	22
47	об этом	3	22
48	в своей	2	21
49	вместе с	5	21
50	и что	1	20
51	в своем	1	20
52	для нас	3	20
53	прежде всего	22	20
54	не менее	1	19
55	в дальнейшем	2	19
56	и вообще	2	19
57	как раз	1	19
58	тем не	1	19
59	таким образом	8	19
60	в те	1	19
61	в течение	1	19
62	так и	7	19
63	и потому	2	19
64	как и	12	18
65	не мог	3	18
66	не в	6	18
67	не был	1	18
68	хотя и	3	18
69	как это	5	18
70	с его	8	18
71	что и	3	17
72	в этой	6	17
73	и если	1	17
74	а не	7	17
75	у нас	4	17
76	все же	9	16
77	уже не	4	16
78	к тому	4	16
79	не есть	2	16
80	и все	4	16
81	было бы	7	16
82	того что	4	16
83	в котором	3	16
84	и к	4	15
85	то же	16	15
86	в своих	2	15
87	к этому	2	15
88	в эти	1	15
89	несмотря на	3	15
90	в связи	2	15
91	до конца	2	15
92	но это	2	15
93	того же	1	14
94	все эти	3	14
95	раз и	1	14
96	его жизни	1	14
97	мы уже	11	14
98	и на	7	14
99	уже в	5	14
100	и как	10	14
101	в результате	1	13
102	с тем	8	13
103	можно сказать	4	13
104	так же	4	13
105	те времена	1	13
106	не просто	4	13
107	на этот	2	13
108	и от	7	13
109	что это	4	13
110	да и	4	13
111	жизни и	3	13
112	по себе	1	12
113	только на	3	12
114	и это	8	12
115	и по	1	12
116	в нем	6	12
117	то в	1	12
118	содержит в	1	12
119	если не	3	12
120	ничего не	8	12
121	связи с	3	12
122	учения о	1	12
123	мы сейчас	1	12
124	при этом	9	11
125	но что	3	11
126	более или	1	11
127	всякого рода	1	11
128	хотя бы	18	11
129	тому же	2	11
130	в которой	7	11
131	я не	1	11
132	на то	1	11
133	он уже	1	11
134	и здесь	3	11
135	в основном	1	11
