1	в то же время	6	11
2	но в то же	3	3
3	и в то же	1	2
4	но тем не менее	1	2
5	удивительного в том что	1	1
6	не чем иным как	2	1
7	с того момента когда	1	1
8	в узком смысле слова	2	1
9	том что он не	1	1
10	ни в чем не	4	1
11	тот или иной социальный	1	1
12	то же время это	1	1
13	в том что в	1	1
14	мы уже знаем что	1	1
15	все что можно сказать	1	1
16	в том что она	2	1
17	не укладывается в рамки	1	1
18	заключается в том что	2	1
19	что бы то ни	1	1
20	бы то ни стало	1	1
21	нет ничего удивительного в	1	1
22	в том что он	2	1
23	мы знаем что он	1	1
24	ничего удивительного в том	1	1
25	и по отношению к	1	1
26	как по отношению к	1	1
27	во что бы то	1	1
28	в гораздо большей степени	1	1
29	если можно так выразиться	1	1
30	нельзя не согласиться с	1	1
31	и того и другого	1	1
32	дело в том что	1	1
33	на самом же деле	2	1
