N	4gram	Propp_Russ	Myslijsy
1	но тем не менее	2	10
2	одного и того же	1	9
3	в то время как	1	4
4	не что иное как	3	4
5	вместе с тем и	2	4
6	в одном и том	1	3
7	и в этом случае	2	3
8	одном и том же	1	3
9	во всяком случае не	1	2
10	состоит в том что	16	2
11	и во многих других	1	2
12	одна и та же	1	2
13	слов для обозначения одного	1	1
14	но и потому что	1	1
15	человека там же с	1	1
16	обозначения одного и того	1	1
17	и того же явления	1	1
18	то же значение что	1	1
19	не имеет смысла но	1	1
20	в том что это	2	1
21	а может быть и	1	1
22	а вместе с тем	1	1
23	всего этого видно что	1	1
24	на этот вопрос можно	1	1
25	можно сказать что в	1	1
26	и в других случаях	1	1
27	как и в других	1	1
28	только о том что	1	1
29	в том что ее	1	1
30	мы можем предположить что	1	1
31	имеет ничего общего с	1	1
32	состоять в том чтобы	1	1
33	на нее как на	1	1
34	для обозначения одного и	1	1
35	не только потому что	1	1
36	мы можем судить по	1	1
37	выводы можно сделать из	2	1
38	с тем и другим	1	1
39	бросается в глаза что	1	1
40	из всего этого видно	1	1
41	иметь в виду что	1	1
42	и т д и	1	1
43	не имеет ничего общего	1	1
44	а нечто совсем другое	1	1
45	это не что иное	1	1
46	но вместе с тем	3	1
47	в том что этот	2	1
48	и связанные с этим	1	1
49	такое же значение как	1	1
50	так же как и	3	1
51	привело к тому что	2	1
52	подобно тому как в	1	1
53	на том основании что	1	1
