N	2gram	Vygotskiy_	Sovremen
1	не может	15	17
2	может быть	34	12
3	точки зрения	15	12
4	таким образом	35	11
5	мы не	8	9
6	в каждом	2	8
7	в этом	30	7
8	и в	55	7
9	не можем	8	7
10	мы можем	8	6
11	в результате	6	6
12	каждый раз	1	6
13	только одна	2	6
14	как и	9	6
15	ничего не	4	6
16	и не	19	6
17	с точки	5	5
18	организма с	1	5
19	прежде всего	6	5
20	что же	1	5
21	каждом отдельном	1	5
22	все эти	5	5
23	и наконец	5	5
24	отдельном случае	1	5
25	а в	7	4
26	так как	20	4
27	вопрос о	6	4
28	это не	9	4
29	не только	24	4
30	мы должны	10	4
31	с помощью	3	4
32	как бы	33	4
33	нет и	2	4
34	если мы	24	4
35	каждого элемента	1	4
36	в зависимости	7	4
37	их в	4	4
38	жизни и	8	4
39	вместе с	16	4
40	в целом	7	4
41	в том	50	4
42	зависимости от	9	4
43	из них	7	4
44	точку зрения	1	4
45	мы видели	2	4
46	и к	5	3
47	и потому	8	3
48	видели что	1	3
49	на этой	1	3
50	и мы	28	3
51	с самого	5	3
52	когда мы	10	3
53	уже в	7	3
54	всех элементов	1	3
55	то же	16	3
56	при этом	11	3
57	можем назвать	1	3
58	поэтому мы	1	3
59	не в	12	3
60	а не	16	3
61	для нас	9	3
62	все это	8	3
63	мы получим	2	3
64	как он	6	3
65	в одном	5	3
66	к действию	1	3
67	у нас	7	3
68	самого начала	5	3
69	в конце	10	3
70	в наших	1	3
71	и т.д	1	3
72	было бы	15	3
73	ли мы	3	3
74	в этой	15	3
75	из двух	3	3
76	он в	3	3
77	и все	15	3
78	на две	1	3
79	мы называем	2	3
80	в себе	13	3
81	следующим образом	2	3
82	ясно что	10	3
83	что она	10	3
84	он может	3	3
85	одна из	6	3
86	состоит из	1	3
87	все же	11	3
88	при таком	4	3
89	в области	2	3
90	может не	1	3
91	отличается от	4	3
92	между собой	2	3
93	в нем	13	3
94	но мы	4	3
95	но в	7	3
96	еще не	6	3
97	с этим	4	2
98	что в	43	2
99	этих двух	8	2
100	в самом	18	2
101	дает нам	2	2
102	совершенно не	11	2
103	мы видим	13	2
104	значение в	1	2
105	каждая из	1	2
106	и что	45	2
107	отличие от	3	2
108	такие же	1	2
109	друг с	6	2
110	которой он	1	2
111	ее на	1	2
112	то и	1	2
113	с одной	15	2
114	в отличие	3	2
115	в свою	3	2
116	из этих	4	2
117	в его	8	2
118	во всяком	2	2
119	мы знаем	4	2
120	не дает	2	2
121	еще более	2	2
122	должно произойти	1	2
123	можно назвать	1	2
124	то ни	1	2
125	с совершенно	3	2
126	что это	15	2
127	или же	1	2
128	что при	5	2
129	быть и	2	2
130	в некоторых	2	2
131	по мнению	6	2
132	из которых	5	2
133	что такое	2	2
134	он приводит	1	2
135	если же	3	2
136	говорить о	1	2
137	на его	4	2
138	все те	3	2
139	конечно в	1	2
140	вторая половина	1	2
141	у него	9	2
142	для его	2	2
143	не могут	4	2
144	в виде	3	2
145	одна возможность	1	2
146	а на	1	2
147	свою очередь	1	2
148	первые два	1	2
149	вне времени	1	2
150	и даже	4	2
151	как известно	1	2
152	самом деле	17	2
153	в которой	4	2
154	но все	5	2
155	ни одна	2	2
156	же самое	13	2
157	как мы	6	2
158	она может	1	2
159	тем же	3	2
160	и во	2	2
161	той же	6	2
162	могут быть	8	2
163	в таком	4	2
164	в нашем	3	2
165	уже не	1	2
166	и есть	7	2
167	и они	1	2
168	что все	12	2
169	или иной	2	2
170	и именно	8	2
171	на этот	7	2
172	такой же	2	2
173	на этом	11	2
174	не менее	1	2
175	так сказать	1	2
176	же мы	3	2
177	приводит к	2	2
178	из четырех	2	2
179	времени и	5	2
180	на котором	1	2
181	с другом	6	2
182	в один	1	2
183	каждого из	1	2
184	знаем что	5	2
185	на другом	1	2
186	тот же	5	2
187	мы с	3	2
188	всяком случае	1	2
189	он должен	8	2
