N	2gram	Nazirov_Tr	BTomashe
1	все это	4	2
2	в ней	1	2
3	можно было	1	2
4	и не	7	2
5	вопрос о	2	1
6	и о	1	1
7	не только	8	1
8	создает впечатление	1	1
9	таким образом	1	1
10	не было	1	1
11	в эпоху	1	1
12	прежде всего	4	1
13	и в	18	1
14	так и	5	1
15	в своей	1	1
16	стиля и	1	1
17	во всяком	1	1
18	и потому	1	1
19	также что	1	1
20	по нашему	1	1
21	за пределы	1	1
22	же не	1	1
23	об этом	4	1
24	своей книге	1	1
25	как будто	3	1
26	совершенно не	1	1
27	всяком случае	1	1
28	и ее	2	1
29	из ее	1	1
30	в данном	2	1
31	должна быть	1	1
32	необходимо отметить	1	1
33	в области	1	1
34	не вполне	1	1
35	что все	2	1
36	нашему мнению	1	1
37	в книге	1	1
38	а не	1	1
39	отнюдь не	3	1
40	до конца	2	1
41	и на	7	1
42	еще не	4	1
43	к ней	1	1
44	все же	5	1
45	что в	4	1
