N	2gram	Nazirov_Vr	DiskursI
1	в качестве	1	72
2	может быть	4	56
3	не только	9	49
4	и в	8	49
5	как и	6	47
6	тогда как	2	47
7	при этом	4	46
8	и не	5	44
9	в том	3	44
10	том что	3	40
11	в этом	8	38
12	в себе	2	37
13	в частности	1	36
14	но и	7	35
15	и т.п	2	32
16	своего рода	1	32
17	но не	1	31
18	но в	6	28
19	так и	1	28
20	не может	2	27
21	по своей	1	26
22	как в	1	25
23	отнюдь не	2	23
24	еще не	2	23
25	а также	2	20
26	в своей	2	19
27	все же	6	19
28	в нем	6	19
29	прежде всего	1	19
30	далеко не	3	18
31	то же	5	17
32	с другой	1	17
33	в мире	2	17
34	точки зрения	2	16
35	о том	4	15
36	то что	7	15
37	роль в	1	15
38	в его	3	15
39	не менее	2	14
40	это не	4	14
41	как бы	4	13
42	для него	2	13
43	в целом	1	13
44	в своих	4	12
45	в своем	3	12
46	того же	1	12
47	и все	7	12
48	как правило	1	11
49	не было	5	11
50	столь же	2	11
51	что в	7	11
52	с его	3	11
53	и как	3	11
54	а с	2	10
55	а в	2	10
56	же время	5	10
57	также и	1	10
58	и т.д	1	10
59	в них	2	9
60	уже не	2	9
61	себя в	1	9
62	между тем	5	9
63	в силу	1	9
64	в то	5	9
65	героя в	1	9
66	еще в	1	9
67	тем самым	1	9
68	в этих	1	8
69	и даже	6	8
70	в соответствии	1	8
71	в котором	6	8
72	в одном	1	8
73	из них	2	8
74	хотя и	1	8
75	он не	3	8
76	если в	1	8
77	совпадает с	1	8
78	потому что	1	8
79	соответствии с	1	8
80	этом отношении	1	8
81	человека в	3	8
82	не с	1	8
83	и о	3	8
84	о чем	2	7
85	другой стороны	1	7
86	таким образом	2	7
87	в русской	3	7
88	тому же	1	7
89	его в	3	7
90	к этому	3	7
91	в этой	2	7
92	могут быть	1	7
93	в рассказе	1	7
94	в составе	1	7
95	в процессе	1	7
96	той же	1	7
97	но это	2	7
98	и ее	2	7
99	и его	3	7
100	именно в	1	6
101	одна из	2	6
102	крайней мере	1	6
103	никогда не	2	6
104	то в	1	6
105	с точки	2	6
106	в ее	1	6
107	можно признать	1	6
108	во всех	1	6
109	однако в	1	6
110	в особенности	1	6
111	и то	2	6
112	что он	4	6
113	по крайней	1	6
114	в истории	4	6
115	что же	1	6
116	отношение к	2	6
117	в период	2	6
118	в той	2	5
119	можно говорить	1	5
120	русской литературе	3	5
121	в виду	4	5
122	из двух	1	5
123	к своим	1	5
124	было в	1	5
125	не всегда	1	5
126	но они	1	5
127	говорить о	1	5
128	свою очередь	1	5
129	к ним	2	5
130	к себе	2	5
131	несмотря на	4	5
132	как раз	2	5
133	в сторону	1	5
134	но при	1	5
135	с ее	1	5
136	тем что	3	5
137	одного и	1	5
138	во второй	1	5
139	один из	1	5
140	себе не	1	5
141	в свою	2	5
142	ничего не	1	5
143	того что	1	5
144	в литературе	1	5
145	того как	1	5
146	о нем	6	5
147	в ней	4	5
148	в их	1	5
149	в самом	1	4
150	говорит о	1	4
151	в году	18	4
152	в жизни	1	4
153	его на	2	4
154	в речах	1	4
155	отличается от	1	4
156	во всяком	1	4
157	что они	1	4
158	по преимуществу	1	4
159	об одном	1	4
160	тем не	1	4
161	связи с	3	4
162	одним из	3	4
163	я не	3	4
164	не есть	1	4
165	одном из	1	4
166	и это	2	4
167	хотя в	1	4
168	это в	2	4
169	и есть	1	4
170	с ним	4	4
171	и во	3	4
172	до конца	1	4
173	в свое	1	4
174	по своему	1	4
175	в полной	1	4
176	одну из	1	4
177	в е	1	4
178	более того	1	4
179	в момент	2	3
180	рассказ о	1	3
181	и сам	1	3
182	там же	2	3
183	их в	2	3
184	на первый	2	3
185	первый взгляд	1	3
186	с этим	1	3
187	как на	1	3
188	тут же	1	3
189	ближе к	1	3
190	и он	2	3
191	вплоть до	1	3
192	к которому	1	3
193	о себе	3	3
194	но как	2	3
195	начало в	1	3
196	одно и	1	3
197	и что	8	3
198	в форме	1	3
199	не просто	1	3
200	иисуса христа	1	3
201	было бы	1	3
202	и от	1	3
203	живет в	1	3
204	заключается в	1	3
205	в романе	6	3
206	отношения к	2	3
207	вместе с	2	3
208	не имеет	1	3
209	да и	1	3
210	о котором	1	3
211	уже говорилось	1	3
212	это и	1	3
213	этой традиции	1	3
214	который не	1	3
215	идет о	1	3
216	в обоих	1	3
217	текста к	1	3
218	всяком случае	1	3
219	ему в	1	3
220	они не	1	3
221	уже в	4	3
222	место в	2	3
223	что ни	1	3
224	а о	1	3
225	в литературу	1	3
226	ли не	1	3
227	об этом	5	3
228	в начале	6	3
229	жизни и	1	3
230	событий и	1	3
231	и наконец	1	3
232	котором он	1	3
233	на большую	1	2
234	во всем	1	2
235	для всех	1	2
236	в душе	1	2
237	писателя с	1	2
238	он всегда	1	2
239	или по	1	2
240	еще более	1	2
241	нас в	1	2
242	не являются	1	2
243	и с	6	2
244	представление о	1	2
245	рассказ не	1	2
246	речь идет	3	2
247	в записках	1	2
248	в честь	2	2
249	не могли	1	2
250	которых не	1	2
251	с помощью	1	2
252	е годы	1	2
253	а между	1	2
254	указания на	1	2
255	человеком и	1	2
256	я с	1	2
257	этот человек	2	2
258	он сам	2	2
259	романа и	1	2
260	едва ли	1	2
261	к нему	1	2
262	чем у	1	2
263	у него	5	2
264	в разные	1	2
265	но для	1	2
266	о смерти	1	2
267	записки охотника	3	2
268	человек в	1	2
269	же как	2	2
270	служит для	1	2
271	в чем	3	2
272	что как	1	2
273	не был	1	2
274	никого не	1	2
275	но зато	1	2
276	восходят к	1	2
277	вторая часть	1	2
278	оба они	1	2
279	бы его	1	2
280	в первой	1	2
281	в него	2	2
282	в основном	1	2
283	как к	1	2
284	отличается не	1	2
285	его с	2	2
286	в литературной	1	2
287	и романа	1	2
288	романа в	1	2
289	нашего времени	2	2
290	из которых	1	2
291	записках охотника	1	2
292	самим собой	1	2
293	в россии	5	2
294	о своей	1	2
295	героев и	1	2
296	влияния на	1	2
297	начале х	1	2
298	преступления и	1	2
299	время и	2	2
300	и и	1	2
301	на основе	2	2
302	совпадают с	1	2
303	отношении к	1	2
304	вслед за	1	2
305	целый ряд	4	2
306	каждый из	1	2
307	автора в	1	2
308	на этот	1	2
309	друг друга	1	2
310	только о	1	2
311	могли быть	2	2
312	ответ на	2	2
313	но на	1	2
314	ни с	1	2
315	все это	4	2
316	он как	1	2
317	о романе	2	2
318	представляющий собой	1	2
319	же не	2	2
320	и глубокой	1	2
321	так в	2	2
322	по его	1	2
323	это было	1	2
324	и вообще	1	2
325	тем более	2	2
326	ему не	1	2
327	нельзя не	1	2
328	быть и	1	2
329	не знаю	1	2
330	и их	1	2
331	состояло в	1	2
332	человека с	2	2
333	х годов	4	2
334	анекдота о	1	2
335	такой же	1	2
336	на то	3	2
337	же это	1	2
338	переводится как	1	2
