N	4gram	Vygotskiy_	EvropaiC
1	которых мы говорили выше	1	4
2	о которых мы говорили	1	4
3	заключается в том что	6	3
4	совершенно так же как	1	3
5	бы то ни было	1	3
6	отличаются друг от друга	1	3
7	несмотря на то что	1	2
8	для того чтобы быть	1	2
9	но вместе с тем	4	2
10	в то же время	1	2
11	указывают на то что	1	2
12	о которой мы говорили	2	2
13	состоит в том что	3	1
14	с этой точки зрения	1	1
15	что в данном случае	1	1
16	в то время как	4	1
17	то же самое что	1	1
18	говорит за то что	1	1
19	истинном смысле этого слова	3	1
20	в том что развитие	1	1
21	в данном случае не	1	1
22	но для того чтобы	1	1
23	что это действительно так	1	1
24	которой мы говорили выше	2	1
25	в том что он	1	1
26	одно и то же	2	1
27	представление о том что	1	1
28	таким образом оказывается что	1	1
29	из того что в	2	1
30	вместе с тем и	1	1
31	и от всех тех	1	1
32	то это потому что	1	1
33	между этими двумя крайними	2	1
34	дело в том что	2	1
35	и с точки зрения	1	1
36	с психологической точки зрения	1	1
37	как и все прочие	1	1
38	многое из того что	3	1
39	в истинном смысле этого	2	1
40	в тех случаях когда	1	1
41	в том числе и	3	1
42	приводит к тому что	1	1
43	о том что он	1	1
44	а для того чтобы	1	1
45	в том виде в	1	1
46	в том что только	1	1
47	одной и той же	2	1
48	резко отличаются друг от	1	1
49	как мы видели выше	1	1
50	таким же образом как	1	1
51	то что у него	1	1
52	дело тут не в	1	1
