N	2gram	Bakhtin_KF	Literetu
1	а не	17	50
2	и не	28	47
3	не только	5	46
4	и в	28	44
5	может быть	45	43
6	при этом	4	41
7	но и	9	41
8	в том	6	39
9	в этом	15	38
10	том что	4	32
11	то что	7	29
12	в мире	8	28
13	в качестве	2	27
14	то же	5	26
15	как и	5	23
16	в то	3	23
17	себя в	8	22
18	не в	13	22
19	того что	3	22
20	так и	2	22
21	не может	29	22
22	я и	5	21
23	же время	2	21
24	и т.п	1	20
25	в себе	21	20
26	я в	1	19
27	прежде всего	4	19
28	эстетического субъекта	2	19
29	лирический герой	1	19
30	как бы	9	18
31	точки зрения	13	17
32	то есть	1	17
33	в его	42	17
34	в жизни	2	16
35	сознания в	2	16
36	в этой	2	16
37	не менее	3	15
38	я не	6	15
39	только в	18	15
40	со стороны	8	15
41	тем самым	4	15
42	в целом	10	15
43	и даже	1	14
44	по отношению	26	14
45	что он	2	14
46	уже не	7	13
47	в своем	17	13
48	как это	1	13
49	но не	12	13
50	и его	18	13
51	в своей	11	12
52	о том	3	12
53	в данном	2	12
54	к себе	2	12
55	еще не	5	12
56	отношению к	22	12
57	в другом	3	11
58	никогда не	5	11
59	в конечном	1	11
60	причастности к	1	11
61	столь же	1	11
62	вместе с	1	11
63	как в	2	11
64	в основе	5	11
65	с его	2	11
66	это не	10	11
67	а в	5	11
68	в принципе	2	10
69	конечном счете	1	10
70	в ее	17	10
71	не случайно	1	10
72	что в	4	10
73	и на	3	10
74	для себя	7	10
75	жизни в	5	10
76	потому что	2	10
77	жизни и	8	10
78	отнюдь не	7	10
79	в области	2	10
80	эстетической деятельности	1	9
81	к тому	1	9
82	один из	2	9
83	что я	5	9
84	одно из	1	9
85	и т.д	4	9
86	лишь в	8	9
87	же в	1	9
88	эстетический субъект	1	8
89	в своих	4	8
90	тем что	3	8
91	все же	5	8
92	исходит из	1	8
93	одна из	1	8
94	того же	1	8
95	едва ли	2	8
96	с точки	10	8
97	как раз	1	8
98	что не	3	8
99	художественного творчества	1	8
100	а именно	1	8
101	слова и	1	8
102	соответствии с	2	8
103	той же	1	8
104	но в	5	8
105	для него	13	8
106	и как	2	8
107	и я	6	8
108	субъекта и	1	8
109	в искусстве	1	8
110	мира в	6	8
111	в самом	1	7
112	в одном	5	7
113	именно в	5	7
114	для этого	2	7
115	не как	4	7
116	он не	6	7
117	и тем	3	7
118	и с	1	7
119	в нем	32	7
120	по своей	1	7
121	до конца	3	7
122	друг друга	1	7
123	и для	10	7
124	перестает быть	1	7
125	он и	2	7
126	в их	9	7
127	и других	2	7
128	и жизни	4	7
129	а затем	1	6
130	в виду	3	6
131	культуры в	1	6
132	и он	1	6
133	в третьем	1	6
134	его в	5	6
135	не было	8	6
136	во всех	11	6
137	в каждом	3	6
138	было бы	8	6
139	с ее	2	6
140	самом деле	3	6
141	как о	1	6
142	тем же	1	6
143	и др	1	6
144	и то	2	6
145	что ему	1	6
146	в жизнь	1	6
147	в ней	3	6
148	и только	7	6
149	и наконец	1	6
150	и к	1	5
151	самого себя	1	5
152	я как	1	5
153	с собой	1	5
154	в соответствии	2	5
155	хотя бы	5	5
156	жизни как	5	5
157	в нашем	1	5
158	как я	1	5
159	от себя	10	5
160	всего в	1	5
161	должно быть	6	5
162	несмотря на	1	5
163	ни было	4	5
164	тем не	2	5
165	и за	2	5
166	не знает	5	5
167	в себя	8	5
168	между тем	4	5
169	эти слова	1	5
170	я это	1	5
171	во втором	1	5
172	себя и	5	5
173	не с	1	5
174	быть не	2	5
175	так как	1	5
176	мир в	12	5
177	мы не	3	5
178	в литературе	1	5
179	что и	7	5
180	но с	1	5
181	но уже	1	5
182	место в	6	5
183	или иной	2	5
184	не к	1	5
185	а я	1	5
186	более не	1	4
187	и само	2	4
188	с тем	2	4
189	только для	1	4
190	во всяком	1	4
191	входит в	4	4
192	не должен	3	4
193	для того	3	4
194	только на	1	4
195	за собой	1	4
196	как мы	1	4
197	я с	1	4
198	в индивидуальном	1	4
199	во всей	4	4
200	к этому	2	4
201	не мог	1	4
202	бы то	2	4
203	мышления и	2	4
204	хотя и	1	4
205	себе и	3	4
206	здесь как	1	4
207	на этом	1	4
208	ту же	1	4
209	то ни	2	4
210	могут быть	3	4
211	и есть	10	4
212	можно сказать	1	4
213	жизни а	1	4
214	сводится к	2	4
215	в единстве	8	4
