N	3gram	Medvedev_S	FransuaR
1	то же время	1	55
2	в то же	1	55
3	в том что	2	27
4	в связи с	1	16
5	с одной стороны	1	13
6	и в то	1	12
7	в конце концов	2	10
8	по отношению к	2	9
9	о том как	1	7
10	на первый план	1	7
11	в настоящее время	1	7
12	выходит за пределы	1	6
13	то же самое	1	5
14	во всяком случае	1	5
15	только то что	1	5
16	это и есть	1	5
17	то что в	1	4
18	очень далеки от	1	4
19	это вовсе не	1	4
20	конечно не в	1	4
21	друг от друга	1	3
22	ровно ничего не	1	3
23	что все это	1	3
24	а с другой	1	3
25	и в этом	1	3
26	том что это	1	2
27	дает нам право	1	2
28	нашей работы в	1	2
29	главным образом в	1	2
30	в конечном счете	1	2
31	ни на что	1	2
32	отношению к которому	1	1
33	но ведь это	2	1
34	и никак не	1	1
35	в том именно	1	1
36	все это по	1	1
37	что в них	1	1
38	но только в	1	1
39	по существу это	1	1
40	том именно и	1	1
41	поставить и разрешить	1	1
42	чуть ли не	1	1
43	выдвигает на первый	1	1
44	а между тем	1	1
45	и что на	1	1
46	мы переходим к	1	1
47	тем более не	1	1
48	бы он ни	1	1
49	и наконец в	1	1
50	в частности так	1	1
51	должна быть строго	1	1
52	сказать и о	1	1
53	не в том	2	1
54	дело конечно не	1	1
55	как бы он	1	1
56	на точке зрения	1	1
57	в наше время	1	1
58	и в таких	1	1
59	в том и	1	1
60	в лучшем случае	1	1
61	бы они ни	1	1
62	именно в том	1	1
63	но как и	1	1
64	в этой области	1	1
