N	2gram	Tiupa_Teor	FransuaR
1	и в	24	367
2	то есть	22	209
3	в этом	12	112
4	и т.п	7	108
5	и не	17	101
6	таким образом	3	100
7	и его	11	99
8	в его	12	98
9	прежде всего	3	92
10	не только	24	87
11	но и	14	84
12	как бы	8	82
13	все эти	3	79
14	вовсе не	3	77
15	в романе	3	77
16	как и	6	76
17	в нем	7	75
18	но в	12	75
19	и на	2	72
20	и др	3	72
21	в том	20	71
22	как мы	1	71
23	то же	12	66
24	в них	2	65
25	в этой	3	65
26	так и	14	65
27	в сущности	1	64
28	в то	9	63
29	во всех	3	62
30	все это	2	62
31	же время	8	55
32	что в	10	52
33	в своем	7	51
34	только в	9	48
35	так как	1	46
36	и до	1	46
37	том что	11	45
38	в году	2	44
39	то что	6	41
40	у него	2	40
41	жизни и	1	40
42	в самом	7	38
43	точки зрения	11	37
44	с его	6	36
45	о том	2	35
46	может быть	22	35
47	мы видим	1	35
48	сказать что	4	34
49	и даже	2	34
50	в себе	14	34
51	до нас	1	34
52	рядом с	1	32
53	в конце	2	32
54	он не	5	32
55	для него	5	32
56	до конца	1	31
57	в литературе	4	31
58	связаны с	1	31
59	в своей	8	31
60	нового времени	3	31
61	так же	2	30
62	но он	4	30
63	один из	2	30
64	потому что	3	30
65	той же	1	30
66	и потому	3	30
67	никогда не	4	30
68	в одном	3	29
69	еще не	6	29
70	связи с	3	29
71	в этих	4	29
72	что он	4	29
73	не может	8	29
74	в особенности	1	29
75	при этом	20	29
76	его в	4	29
77	не в	9	29
78	и к	3	28
79	из них	1	28
80	также и	1	28
81	в той	2	28
82	в основе	6	28
83	здесь и	1	28
84	и другие	2	27
85	том числе	3	27
86	все же	1	27
87	по своему	4	27
88	роль в	3	27
89	в эпизоде	3	27
90	и их	1	27
91	в условиях	1	26
92	все они	1	26
93	в области	7	25
94	с помощью	1	25
95	мира и	4	25
96	он и	2	24
97	но не	13	24
98	например в	3	24
99	в ее	6	24
100	и от	1	24
101	как в	5	24
102	того чтобы	5	24
103	времени и	2	24
104	в частности	23	24
105	в большинстве	2	24
106	отношение к	7	24
107	большинстве случаев	1	23
108	своего рода	11	23
109	и здесь	2	23
110	с ним	1	23
111	и для	3	23
112	в их	4	23
113	к нему	2	23
114	это не	4	23
115	еще и	2	23
116	даже в	3	22
117	не было	1	22
118	а в	15	22
119	тем что	1	22
120	что и	2	22
121	вместе с	2	22
122	и о	5	22
123	в своих	1	21
124	именно в	3	21
125	культуры и	1	21
126	в отношении	4	21
127	и как	3	21
128	есть в	3	21
129	в качестве	33	21
130	одним из	3	21
131	в себя	5	21
132	что это	1	21
133	ни в	5	21
134	в виду	5	20
135	в связи	3	20
136	и это	2	20
137	в значительной	2	20
138	одной из	2	20
139	образов и	1	20
140	с точки	3	20
141	как раз	3	20
142	а также	7	20
143	самом деле	2	20
144	их в	3	19
145	того же	4	19
146	за пределы	2	19
147	было бы	1	19
148	с ее	4	19
149	с другой	9	19
150	хотя и	4	19
151	в форме	4	19
152	далеко не	4	19
153	на мир	2	18
154	со всеми	1	18
155	это и	2	18
156	здесь не	2	18
157	одна из	1	18
158	превращается в	2	18
159	весь мир	1	18
160	на этом	2	18
161	перед нами	3	18
162	для того	5	17
163	в результате	1	17
164	можно было	1	17
165	на его	1	17
166	числе и	2	17
167	связана с	1	17
168	и вот	3	17
169	того что	5	17
170	века и	1	17
171	а не	14	17
172	в другом	4	16
173	с одной	3	16
174	между ними	6	16
175	между тем	5	16
176	и одновременно	5	16
177	тот же	1	16
178	начала и	1	16
179	они не	1	16
180	дело в	2	16
181	не подлежит	1	16
182	а затем	2	15
183	характерно что	1	15
184	в которой	3	15
185	никто не	3	15
186	из этих	3	15
187	с их	2	15
188	от всех	2	15
189	особенно в	1	15
190	одно из	1	15
191	в нашем	4	15
192	xix века	2	15
193	в первой	6	15
194	в истории	1	15
195	в самой	2	15
196	и прежде	2	15
197	в котором	1	14
198	в чем	2	14
199	и по	3	14
200	на них	1	14
201	все что	1	14
202	в данном	9	14
203	несмотря на	2	14
204	системе образов	1	14
205	в более	1	14
206	по существу	1	14
207	и сам	4	13
208	о мире	1	13
209	с этим	1	13
210	что все	1	13
211	на языке	3	13
212	в одной	1	13
213	мира в	3	13
214	о чем	3	13
215	в жизни	3	13
216	одновременно и	1	13
217	одной стороны	3	13
218	подчеркнуть что	1	13
219	не знает	4	13
220	отличие от	7	13
221	в мире	26	13
222	бы в	1	13
223	и есть	1	13
224	в последующих	1	13
225	только на	2	13
226	не на	4	13
227	или в	3	13
228	так в	4	13
229	это было	2	13
230	жизнь и	1	13
231	в известной	1	13
232	более того	1	13
233	другой стороны	6	12
234	во всей	3	12
235	те же	1	12
236	и ее	4	12
237	жизни в	2	12
238	у нас	2	12
239	раз в	1	12
240	место в	7	12
241	можно сказать	5	12
242	по своей	8	12
243	не могут	2	12
244	он в	1	12
245	все то	1	12
246	лишь в	10	12
247	но именно	1	12
248	право на	2	12
249	об этом	2	12
250	в пределах	5	12
251	уже не	6	11
252	что они	2	11
253	той или	3	11
254	и что	4	11
255	наконец в	1	11
256	в отличие	7	11
257	из этого	1	11
258	в свое	1	11
259	на фоне	2	11
260	и т.д	4	11
261	культуры в	3	11
262	момент в	1	11
263	время в	1	11
264	очень часто	1	11
265	в системе	2	11
266	и особенно	2	11
267	это уже	1	11
268	с ними	2	11
269	и более	1	11
270	слова и	1	11
271	в узком	3	11
272	целый ряд	1	10
273	существенное значение	1	10
274	по отношению	10	10
275	на котором	2	10
276	на земле	1	10
277	что для	1	10
278	его как	1	10
279	да и	1	10
280	в таких	1	10
281	данном случае	5	10
282	человека и	2	10
283	или иной	7	10
284	для всех	2	10
285	к тому	4	10
286	значительной степени	2	10
287	второй половины	1	10
