N	2gram	Losev_Vlad	Tragedij
1	и в	56	18
2	в этом	30	9
3	в бесах	1	9
4	в году	54	9
5	не только	35	8
6	и на	7	7
7	и не	33	7
8	может быть	12	7
9	и с	27	7
10	как бы	5	7
11	он сам	3	7
12	что он	22	6
13	у него	28	6
14	же время	7	6
15	но в	19	6
16	и его	12	6
17	это не	3	5
18	несмотря на	7	5
19	что это	2	5
20	так и	11	5
21	к жизни	2	5
22	это очень	1	5
23	все же	11	5
24	у достоевского	2	5
25	в дальнейшем	10	5
26	то же	10	5
27	он вдруг	1	5
28	как и	7	5
29	не может	12	5
30	в то	15	5
31	что в	24	4
32	в себе	5	4
33	и даже	23	4
34	он всегда	2	4
35	x –	1	4
36	все это	7	4
37	прежде всего	5	4
38	и все	8	4
39	я не	8	4
40	об этом	13	4
41	еще не	2	4
42	но и	26	4
43	том что	22	4
44	и что	11	4
45	так же	4	4
46	то что	30	4
47	в этой	4	4
48	что я	5	4
49	я люблю	1	4
50	в нем	7	4
51	но это	6	4
52	в целом	3	4
53	своего рода	1	3
54	и он	7	3
55	что с	3	3
56	один из	4	3
57	должно быть	1	3
58	в основном	5	3
59	уже в	9	3
60	в его	18	3
61	для него	16	3
62	в своем	10	3
63	с ним	10	3
64	о чем	6	3
65	что вы	2	3
66	и сам	7	3
67	что за	1	3
68	в конце	22	3
69	и как	7	3
70	как в	6	3
71	никто не	1	3
72	своего отца	2	3
73	то есть	5	3
74	при этом	5	3
75	жизнь и	3	3
76	на страницах	1	3
77	как это	11	3
78	тем самым	2	3
79	к людям	1	3
80	с ее	1	3
81	как будто	2	3
82	отнюдь не	3	3
83	все эти	6	3
84	к нему	6	3
85	в самом	3	2
86	лицо его	1	2
87	не так	1	2
88	вместе со	1	2
89	и то	13	2
90	раз он	1	2
91	в душе	1	2
92	писателя и	1	2
93	xix веке	1	2
94	и здесь	3	2
95	со мной	1	2
96	первого же	3	2
97	это был	5	2
98	сам говорит	2	2
99	и за	3	2
100	в том	26	2
101	это уже	1	2
102	он и	8	2
103	с тем	4	2
104	по мнению	1	2
105	говорит о	1	2
106	как у	3	2
107	длинные и	1	2
108	что и	6	2
109	из своих	1	2
110	ни в	4	2
111	бы и	1	2
112	чем он	1	2
113	к области	1	2
114	в русском	2	2
115	что все	2	2
116	не могут	2	2
117	в виде	4	2
118	его в	3	2
119	не в	12	2
120	но все	3	2
121	но эта	2	2
122	было в	1	2
123	с г	2	2
124	еще в	5	2
125	к обществу	1	2
126	в таком	2	2
127	между этими	1	2
128	этими двумя	1	2
129	вопрос о	1	2
130	веру в	1	2
131	знает что	1	2
132	и это	4	2
133	очень важно	1	2
134	отца и	4	2
135	во сне	2	2
136	под влиянием	6	2
137	уже не	6	2
138	к тому	5	2
139	о том	13	2
140	перед нами	1	2
141	не был	6	2
142	с первого	2	2
143	а что	3	2
144	не имеет	2	2
145	что эти	1	2
146	и я	7	2
147	в данном	1	2
148	только к	3	2
149	что этот	4	2
150	и личность	2	2
151	раз и	4	2
152	он был	20	2
153	то и	3	2
