N	3gram	Bakhtin_sl	Formalny
1	с точки зрения	11	40
2	не может быть	11	29
3	то же время	15	20
4	в то же	15	20
5	и т д	7	19
6	и т п	49	18
7	в связи с	2	16
8	во всяком случае	7	16
9	по отношению к	2	12
10	так и в	5	11
11	в этом отношении	2	11
12	в его целом	1	10
13	бы то ни	1	10
14	в зависимости от	4	10
15	в большинстве случаев	11	9
16	с другой стороны	5	9
17	и не может	2	9
18	для того чтобы	1	8
19	до сих пор	4	8
20	как мы видели	2	8
21	с одной стороны	7	8
22	в применении к	1	7
23	более или менее	5	7
24	того или иного	2	7
25	сами по себе	1	7
26	то ни было	1	7
27	в свою очередь	3	7
28	а вовсе не	4	7
29	и в этом	2	7
30	в самом языке	1	7
31	в том что	4	6
32	и в то	6	6
33	в данном случае	3	6
34	не только не	2	6
35	может быть и	2	6
36	одной стороны и	2	5
37	в направлении к	1	5
38	одни и те	1	5
39	языка как такового	1	5
40	в отличие от	12	5
41	к тому что	2	5
42	может войти в	1	5
43	в значительной степени	6	5
44	до известной степени	3	5
45	и те же	1	5
46	как бы ни	2	5
47	прежде всего в	1	5
48	мы не можем	1	5
49	и не в	1	4
50	тем не менее	2	4
51	в одной плоскости	1	4
52	все более и	1	4
53	в последнем счете	1	4
54	более и более	1	4
55	не могут быть	3	4
56	не входит в	1	4
57	в процессе этого	1	4
58	но все же	1	4
59	а не в	1	4
60	но и в	2	4
61	она ни была	1	4
62	бы она ни	1	4
63	т п в	2	4
64	в лучшем случае	3	4
65	с самого начала	1	4
66	и не могут	2	4
67	и до конца	1	4
68	в нем и	1	4
69	по аналогии с	1	4
70	сама по себе	2	4
71	в отвлечении от	1	3
72	областях идеологического творчества	1	3
73	то или иное	1	3
74	обстоит дело с	1	3
75	в том числе	1	3
76	так или иначе	1	3
77	друг с другом	2	3
78	не только на	2	3
79	том числе и	1	3
80	в неразрывной связи	1	3
81	точки зрения самого	2	3
82	самом же деле	1	3
83	на самом же	1	3
84	на первый план	1	3
85	в процессе их	1	3
86	всех областях идеологического	1	3
87	равно как и	1	3
88	иначе обстоит дело	1	3
89	и во всяком	1	3
90	бы ни были	2	3
91	а не как	2	3
92	мы увидим что	1	3
93	взаимодействии с другими	2	3
94	во всех своих	1	3
95	и в частности	1	3
96	в противном случае	1	3
97	но в то	6	3
98	именно в том	1	3
99	в пределах одного	8	3
100	с установкой на	4	3
101	с таким же	1	3
102	во всех областях	4	3
103	между этими двумя	1	3
104	неразрывной связи с	1	2
105	и столь же	1	2
106	все то что	1	2
107	по себе а	1	2
108	но оно не	3	2
109	и наконец в	2	2
110	к действительности и	1	2
111	в известной степени	3	2
112	всех своих моментах	1	2
113	заложенные в них	1	2
114	менее всего может	1	2
115	форма и содержание	1	2
116	в собственном смысле	2	2
