N	4gram	Tiupa_Narr	Formalny
1	в то же время	7	20
2	и не может быть	2	7
3	бы то ни было	1	7
4	и в то же	2	6
5	с одной стороны и	1	5
6	в связи с этим	1	5
7	один и тот же	1	3
8	в том числе и	1	3
9	той мере в какой	1	2
10	с этой точки зрения	1	2
11	в той мере в	1	2
12	сам по себе а	1	2
13	может быть и не	1	2
14	так и со стороны	1	2
15	одним и тем же	1	2
16	какой бы то ни	1	2
17	в том или ином	1	2
18	он не может быть	1	1
19	в том случае если	1	1
20	с той или иной	2	1
21	не для того чтобы	1	1
22	одно и то же	2	1
23	в той же мере	1	1
24	дело в том что	2	1
25	т п все эти	1	1
26	и т п все	1	1
27	или иной идеологической сферой	1	1
28	ни в чем не	1	1
29	к тому что он	2	1
30	усилия на то чтобы	1	1
31	в процессе перехода от	1	1
32	на самом деле в	1	1
33	свои усилия на то	1	1
34	и так или иначе	1	1
35	дистанцию по отношению к	1	1
36	одного и того же	2	1
37	лишь в том случае	1	1
38	так а не иначе	1	1
39	по мере того как	1	1
40	той или иной идеологической	1	1
