N	2gram	Nazirov_Vr	Sovremen
1	не может	2	17
2	может быть	4	12
3	точки зрения	2	12
4	таким образом	2	11
5	в этом	8	7
6	и в	8	7
7	как и	6	6
8	ничего не	1	6
9	и не	5	6
10	с точки	2	5
11	прежде всего	1	5
12	что же	1	5
13	в условиях	1	5
14	и наконец	1	5
15	а в	2	4
16	это не	4	4
17	не только	9	4
18	в развитии	1	4
19	с помощью	1	4
20	как бы	4	4
21	их в	2	4
22	жизни и	1	4
23	вместе с	2	4
24	в целом	1	4
25	же это	1	4
26	в том	3	4
27	из них	2	4
28	уже в	4	3
29	то же	5	3
30	при этом	4	3
31	мы получаем	1	3
32	для нас	4	3
33	все это	4	3
34	как он	1	3
35	в одном	1	3
36	в конце	3	3
37	и т.д	1	3
38	было бы	1	3
39	в этой	2	3
40	из двух	1	3
41	и все	7	3
42	в себе	2	3
43	ясно что	1	3
44	одна из	2	3
45	все же	6	3
46	отличается от	1	3
47	отнюдь не	2	3
48	в нем	6	3
49	но мы	1	3
50	но в	6	3
51	еще не	2	3
52	с этим	1	2
53	что в	7	2
54	тем не	1	2
55	в самом	1	2
56	дает нам	1	2
57	и что	8	2
58	такие же	1	2
59	которой он	1	2
60	это за	1	2
61	в свою	2	2
62	в его	3	2
63	во всяком	1	2
64	не будем	1	2
65	мы знаем	2	2
66	еще более	1	2
67	помощью которых	1	2
68	что это	1	2
69	быть и	1	2
70	по мнению	2	2
71	из которых	1	2
72	говорить о	1	2
73	конечно в	1	2
74	у него	5	2
75	свою очередь	1	2
76	и даже	6	2
77	как известно	1	2
78	некоторое время	1	2
79	и во	3	2
80	той же	1	2
81	могут быть	1	2
82	в таком	1	2
83	уже не	2	2
84	и есть	1	2
85	на этот	1	2
86	такой же	1	2
87	говорить об	1	2
88	роль в	1	2
89	не менее	2	2
90	всяком случае	1	2
91	во всех	1	1
92	этого и	1	1
93	к которому	1	1
94	именно к	1	1
95	это и	1	1
96	его и	2	1
97	в свое	1	1
98	только не	1	1
99	искать в	1	1
100	то он	1	1
101	человека в	3	1
102	но как	2	1
103	это во	1	1
104	это конечно	1	1
105	до сих	1	1
106	за шагом	1	1
107	он уже	1	1
108	еще раз	1	1
109	по преимуществу	1	1
110	через несколько	1	1
111	в процессе	1	1
112	свои позиции	1	1
113	ли это	1	1
114	связи с	3	1
115	раз и	1	1
116	этот процесс	1	1
117	если в	1	1
118	это как	1	1
119	человек и	1	1
120	его с	2	1
121	идет о	1	1
122	чтобы он	3	1
123	что уже	1	1
124	шаг за	1	1
125	все свои	1	1
126	это то	1	1
127	и у	3	1
128	и речи	1	1
129	совсем не	1	1
130	несмотря на	4	1
131	с тою	1	1
132	том как	1	1
133	в ней	4	1
134	которых он	1	1
135	из всех	1	1
136	больших и	1	1
137	что эта	1	1
138	человека как	1	1
139	хотя и	1	1
140	с другой	1	1
141	а это	1	1
142	в этот	3	1
143	с ним	4	1
144	он не	3	1
145	в миниатюре	1	1
146	и из	1	1
147	он ищет	1	1
148	и т.п	2	1
149	не будет	1	1
150	совпадают с	1	1
151	но они	1	1
152	общим характером	1	1
153	пока не	1	1
154	и их	1	1
155	все что	1	1
156	в известном	2	1
157	разобраться в	1	1
158	и от	1	1
159	в начале	6	1
160	стремится быть	1	1
161	еще в	1	1
162	роль играет	1	1
163	все равно	1	1
164	же время	5	1
165	так же	4	1
166	его в	3	1
167	в обоих	1	1
168	без труда	1	1
169	в своих	4	1
170	не было	5	1
171	без всяких	1	1
172	с его	3	1
173	один из	1	1
174	в духе	1	1
175	на это	2	1
176	а о	1	1
177	этого не	1	1
178	можно говорить	1	1
179	ничего общего	1	1
180	равно как	1	1
181	их и	1	1
182	в эту	2	1
183	крайней мере	1	1
184	известном смысле	1	1
185	во многом	4	1
186	же как	2	1
187	в ту	1	1
188	но для	1	1
189	это сравнение	1	1
190	именно в	1	1
191	уже на	1	1
192	такое же	1	1
193	представление о	1	1
194	в своем	3	1
195	но ведь	1	1
196	этом смысле	1	1
197	в связи	3	1
198	во всей	1	1
199	этот раз	1	1
200	же в	2	1
201	том что	3	1
202	рядом с	2	1
203	в мире	2	1
204	дома и	1	1
205	но не	1	1
206	так в	2	1
207	они не	1	1
208	правда не	1	1
209	он сам	2	1
210	не имеет	1	1
211	к этому	3	1
212	он ставит	1	1
213	эту сторону	1	1
214	в то	5	1
215	свое первое	1	1
216	быть объективным	1	1
217	по его	1	1
218	ли он	1	1
219	но это	2	1
220	независимо от	1	1
221	вопрос и	1	1
222	с ее	1	1
223	и это	2	1
224	того же	1	1
225	только о	1	1
226	и его	3	1
227	себе очень	1	1
228	о том	4	1
229	сих пор	1	1
230	и вообще	1	1
231	по крайней	1	1
232	человека и	1	1
233	к нему	1	1
234	никогда не	2	1
235	на них	1	1
236	могли быть	2	1
