N	4gram	Ircho_Kome	Literetu
1	в то же время	11	21
2	состоит в том что	1	8
3	не говоря уже о	2	6
4	с этой точки зрения	1	5
5	бы то ни было	3	4
6	с одной стороны и	2	3
7	в том числе и	2	3
8	только в том что	1	2
9	до тех пор пока	1	2
10	в том что его	1	2
11	и в самом деле	7	2
12	состоит в том чтобы	1	2
13	и к тому же	2	1
14	в том что ему	1	1
15	вопрос о том как	1	1
16	и того же слова	1	1
17	по тому же пути	1	1
18	в том что в	1	1
19	и в то же	2	1
20	одного и того же	1	1
21	начинается с того что	1	1
22	одних и тех же	1	1
23	те в свою очередь	1	1
24	а те в свою	1	1
25	памятуя о том что	1	1
26	не имеет ничего общего	1	1
27	имеет ничего общего с	1	1
28	вместе с ним а	1	1
29	однако в том что	1	1
