N	3gram	Tiupa_Anal	Myshleni
1	в том что	12	133
2	с точки зрения	2	89
3	для того чтобы	1	78
4	заключается в том	1	51
5	по отношению к	9	42
6	с одной стороны	3	39
7	в этом отношении	3	30
8	можно было бы	1	28
9	в этом случае	1	27
10	с другой стороны	7	26
11	о том что	7	25
12	не может быть	2	23
13	смысле этого слова	1	22
14	в то время	1	22
15	в зависимости от	1	22
16	не только не	3	21
17	можно сказать что	2	21
18	в самом деле	1	19
19	и тем самым	2	19
20	из того что	1	19
21	в отличие от	5	18
22	состоит в том	2	18
23	во всяком случае	6	18
24	в этом смысле	1	18
25	до сих пор	1	17
26	и того же	4	17
27	в связи с	1	17
28	одного и того	4	17
29	же как и	1	17
30	мы не станем	1	16
31	и то что	2	15
32	в данном случае	11	15
33	в известном смысле	2	15
34	и той же	2	15
35	одной и той	2	15
36	на всем протяжении	1	14
37	друг от друга	1	14
38	на этот вопрос	1	14
39	мы уже говорили	1	14
40	в свою очередь	7	14
41	к выводу что	1	14
42	подобно тому как	3	14
43	в сущности говоря	1	14
44	точно так же	1	13
45	а с другой	1	13
46	в том чтобы	2	12
47	один и тот	1	12
48	и тот же	1	12
49	тем не менее	3	12
50	что мы знаем	1	11
51	в такой же	1	11
52	такой же мере	1	10
53	тот факт что	1	10
54	по своей природе	1	10
55	в самом начале	1	10
56	не в состоянии	1	10
57	все что мы	1	10
58	сама по себе	3	9
59	как и в	6	9
60	в конечном счете	5	9
61	на самом деле	1	9
62	именно в этом	1	9
63	том что он	2	9
64	само по себе	1	9
65	в готовом виде	1	8
66	сам по себе	2	8
67	речь идет о	2	8
68	той или иной	6	8
69	не могут быть	1	8
70	что он не	2	8
71	что и в	1	8
72	включает в себя	2	7
73	как раз в	1	7
74	вопрос о том	1	7
75	в первом случае	1	7
76	именно потому что	1	6
77	только то что	1	6
78	мы обратимся к	1	6
79	не что иное	1	6
80	что иное как	1	6
81	и как бы	2	5
82	приходит к выводу	1	5
83	как если бы	1	5
84	что в этом	1	5
85	больше и больше	1	5
86	со всеми остальными	1	5
87	мы будем иметь	1	5
88	то что с	1	5
89	во втором случае	1	5
90	в конце концов	1	5
91	между собой и	1	5
92	уже по одному	1	5
93	но он не	1	5
94	в свое время	4	5
95	мы знаем о	1	5
96	в то же	7	5
97	не только в	5	5
98	едва ли не	3	5
99	то что они	1	5
100	мы видим что	1	4
101	одни и те	1	4
102	таким же образом	1	4
103	так и в	1	4
104	между тем как	1	4
105	должны были бы	1	4
106	в тех случаях	1	4
107	мы имеем дело	4	4
108	но и в	2	4
109	таким образом в	1	4
110	если бы он	1	4
111	том что мы	1	4
112	есть не что	1	4
113	в значительной степени	3	4
114	и те же	1	4
115	тех случаях когда	1	4
116	и в своей	2	4
117	после того как	1	4
118	на первом месте	1	4
119	выходит далеко за	1	3
120	в применении к	1	3
121	по одному этому	1	3
122	хотя бы и	1	3
123	к тому же	7	3
124	чем иным как	1	3
125	его мысли и	1	3
126	имеет место в	1	3
127	то же время	7	3
128	в целом ряде	1	3
129	дело в том	3	3
130	того или иного	5	3
131	и является в	1	3
132	в связь с	1	3
133	не только как	1	3
134	не имеет места	1	3
135	в один ряд	1	3
136	тех или иных	1	3
137	в соответствии с	2	3
138	по ту сторону	1	3
139	как раз и	1	3
140	совершенно очевидно что	2	3
141	не мог бы	1	3
142	а не как	1	3
143	включающий в себя	1	3
144	имеем дело с	1	3
145	здесь и теперь	1	2
146	в той или	2	2
147	что она не	1	2
148	который мог бы	1	2
149	чтобы прийти к	1	2
150	не могут иметь	1	2
151	с целым рядом	1	2
152	что было бы	1	2
153	как бы не	1	2
154	как это имеет	1	2
155	тем более что	1	2
156	в этой связи	1	2
157	в ответ на	2	2
158	в одном из	1	2
159	с тем же	1	2
160	нам не только	1	2
161	никогда не бывает	1	2
162	как мы могли	2	2
163	и может быть	1	2
164	в этом же	1	2
165	с другой с	1	2
166	то что во	1	2
167	не только к	2	2
168	в силу своей	1	2
169	здесь мы имеем	1	2
170	уже в первой	1	2
171	сказать что они	1	2
172	мог бы стать	1	2
173	тем или иным	2	2
174	как и ее	1	2
175	и все же	1	2
176	по сути дела	1	2
177	как бы в	1	2
178	это имеет место	1	2
179	не было никакой	1	2
180	нам известно из	1	2
181	до известной степени	3	2
182	в одном слове	1	2
183	однако и здесь	1	2
184	те же слова	1	2
185	или иной мере	1	2
186	которые могли бы	1	2
187	что у него	1	2
188	хотя и в	1	2
189	не могли не	1	2
190	занимает центральное место	1	2
191	при этом он	2	2
192	исходит из того	1	2
193	значении этого слова	1	2
194	по этому пути	1	2
195	в большинстве случаев	1	2
196	в этих случаях	1	2
197	не столько в	1	2
198	в противоречие с	2	2
199	наличие или отсутствие	1	2
200	здесь как и	1	2
201	мертвых душ но	1	2
202	ту или иную	1	2
203	в слове как	1	2
204	с которыми он	1	2
205	не только по	1	2
206	как одна из	1	2
207	и т.д в	1	2
208	что ничто не	1	2
209	состояла в том	1	2
210	в результате чего	1	2
211	в единое целое	2	2
212	к этому же	1	2
213	тот или иной	3	2
214	на две части	1	2
215	отнюдь не оказывается	1	1
216	названия гоголевской поэмы	1	1
217	он не видит	1	1
218	прибавим к этому	1	1
219	по себе а	1	1
220	что по своему	1	1
221	оказывается как раз	1	1
222	в результате такой	1	1
223	заключен в тесные	1	1
224	а по своей	1	1
225	в том или	1	1
226	в себя и	1	1
227	ничего не говорит	1	1
228	что в нашем	1	1
229	говоря уже о	1	1
230	дело не в	1	1
231	ее до полного	1	1
232	наличии у него	1	1
233	смысл этой поэмы	1	1
234	что каждая из	1	1
235	они не могут	1	1
236	что в отличие	1	1
237	далеко не всегда	1	1
238	возвращает нас к	2	1
239	с тенденцией к	1	1
240	так или иначе	5	1
241	он и в	1	1
242	одних и тех	2	1
243	с этим можно	1	1
244	что при таком	1	1
245	полного текста мертвых	1	1
246	лишь в самом	1	1
247	вступает в противоречие	1	1
248	этих моментов в	1	1
249	не сводится к	1	1
250	тезиса о том	1	1
251	отличие от ряда	1	1
252	в полной мере	3	1
253	в тесные рамки	1	1
254	для полного раскрытия	1	1
255	в отдельности и	1	1
256	принимает на себя	1	1
257	о том какое	1	1
258	в первой и	1	1
259	с этого момента	2	1
