N	4gram	Losev_Vlad	Problemy
1	в то же время	7	26
2	но в то же	2	11
3	и в то же	3	7
4	бы то ни было	1	6
5	в том что он	2	5
6	в одной плоскости с	1	4
7	в то время как	2	3
8	и в этом смысле	1	3
9	одно и то же	1	3
10	но тем не менее	1	2
11	и во всяком случае	1	2
12	дело в том что	7	2
13	чего бы то ни	1	2
14	с начала и до	2	2
15	ни в чем не	1	2
16	начала и до конца	2	2
17	он с первого же	1	1
18	на самом же деле	1	1
19	само по себе не	1	1
20	обычном смысле этого слова	1	1
21	очень рад что вы	1	1
22	во что бы то	1	1
23	в обычном смысле этого	1	1
24	ни на минуту не	1	1
25	точка зрения с которой	1	1
26	и не может быть	1	1
27	а в том что	1	1
28	однако нам кажется что	1	1
29	о том что он	2	1
30	что бы то ни	1	1
31	бы то ни стало	1	1
32	то что он не	1	1
33	и вместе с тем	1	1
34	с другой стороны мы	1	1
35	один и тот же	2	1
36	а может быть и	1	1
37	которая как раз и	1	1
38	как мы сейчас увидим	1	1
39	сообщение о том что	1	1
40	все больше и больше	1	1
41	он в конце концов	1	1
42	он во всяком случае	1	1
43	как мы знаем в	1	1
44	он как раз и	1	1
45	то же время с	1	1
46	в заключение мы должны	1	1
47	в конце концов он	1	1
48	и его отношение к	1	1
49	и ни в чем	1	1
50	на то что он	1	1
51	то же время и	1	1
52	хотя и не в	1	1
53	таким каков он есть	1	1
54	говорит в письме к	1	1
55	не в том что	1	1
56	в этом смысле его	1	1
57	что же это за	1	1
