N	4gram	Vinokur_Vv	RusskieA
1	состоит в том что	2	26
2	в том что в	1	8
3	не что иное как	5	4
4	до тех пор пока	1	3
5	но вместе с тем	1	3
6	во всяком случае не	2	2
7	как мы уже знаем	2	2
8	и т д и	1	2
9	первой половине xix в	1	1
10	в целом ряде других	1	1
11	ставит себе целью раскрыть	1	1
12	также в том что	1	1
13	может быть и не	1	1
14	второй половине xix в	1	1
15	во второй половине xix	1	1
16	самом деле как мы	1	1
17	а это в свою	1	1
18	в отличие от других	1	1
19	и т д в	2	1
20	сказывается и в том	1	1
21	это в свою очередь	1	1
22	только в том чтобы	1	1
23	на самом деле как	1	1
24	одного и того же	2	1
25	которое в этих случаях	1	1
26	приходит к выводу что	1	1
27	можно сказать что в	1	1
28	собой не что иное	1	1
29	наряду с этим в	1	1
30	не только в том	1	1
31	одном и том же	1	1
32	в одном и том	1	1
33	и т д а	2	1
34	не может быть вполне	1	1
35	не следует представлять себе	1	1
36	сомнений в том что	2	1
37	дело в том что	3	1
38	тех пор пока не	1	1
39	представляют собой не что	1	1
40	только после того как	2	1
41	в первой половине xix	1	1
