N	3gram	Tiupa_Anal	Istorich
1	в этих случаях	1	47
2	с другой стороны	2	46
3	до сих пор	1	30
4	в этом случае	4	29
5	с одной стороны	6	28
6	в том что	13	25
7	не может быть	17	24
8	вместе с тем	1	23
9	тем не менее	3	23
10	о том что	8	22
11	мы имеем в	1	19
12	не только в	3	19
13	здесь мы имеем	1	17
14	в связи с	2	17
15	о том как	1	15
16	в данном случае	3	15
17	по отношению к	9	14
18	на то что	2	14
19	но и в	3	12
20	в тех случаях	1	11
21	не что иное	5	11
22	всех этих случаях	1	11
23	во всех этих	1	11
24	что иное как	6	11
25	как и в	2	10
26	можно было бы	1	10
27	тех случаях когда	1	10
28	друг с другом	2	9
29	как мы увидим	1	9
30	более или менее	2	9
31	в таких случаях	1	9
32	и вместе с	1	9
33	то же самое	3	8
34	приводит нас к	1	8
35	на этот вопрос	1	8
36	и то что	1	8
37	подобно тому как	5	8
38	в зависимости от	1	8
39	дело не в	2	7
40	смысле этого слова	1	7
41	во всяком случае	1	7
42	на первый взгляд	1	7
43	к тому же	6	6
44	этой точки зрения	2	6
45	все же не	1	6
46	с этой точки	2	6
47	до вступления в	1	5
48	для того чтобы	3	5
49	в отличие от	8	5
50	со всех сторон	1	5
51	отца к сыну	1	5
52	в том чтобы	7	5
53	в том числе	3	5
54	есть не что	4	5
55	так или иначе	1	4
56	не только на	1	4
57	в этой связи	2	4
58	же самое что	1	4
59	от отца к	1	4
60	с точки зрения	6	4
61	состоит в том	6	4
62	содержит в себе	3	4
63	оно может быть	1	4
64	то что она	1	4
65	сами по себе	3	4
66	можно сказать что	1	4
67	между прочим и	1	4
68	как будто бы	1	3
69	как один из	1	3
70	никак не может	1	3
71	все еще не	1	3
72	и то же	2	3
73	не только не	2	3
74	в обоих случаях	2	3
75	и тем самым	2	3
76	может быть понят	1	3
77	к тому что	2	3
78	это своего рода	1	3
79	это не так	1	3
80	один и тот	1	3
81	и тем что	1	3
82	она может быть	1	3
83	тестя к зятю	1	3
84	но и для	1	3
85	потому что я	1	3
86	ответ на вопрос	1	3
87	и тот же	2	3
88	и он же	1	3
89	дело не только	1	3
90	в ответ на	2	3
91	но и на	1	3
92	это происходит в	1	3
93	в обратном порядке	1	3
94	исключают друг друга	1	3
95	как это происходит	1	3
96	не в том	3	3
97	не исключают друг	1	3
98	в соответствии с	2	3
99	это означает что	2	3
100	то ни было	3	3
101	бы то ни	3	3
102	в третий раз	1	3
103	только тогда когда	1	3
104	жизнью и смертью	1	3
105	можно утверждать что	1	3
106	в том смысле	1	3
107	не в состоянии	1	3
108	от тестя к	1	3
109	внимание на то	1	3
110	при встрече с	3	3
111	еще ничего не	1	3
112	во второй раз	1	3
113	но то что	1	2
114	следует понимать как	2	2
115	а тем самым	1	2
116	и т п	3	2
117	бы мы ни	1	2
118	в самом деле	3	2
119	обращает на себя	3	2
120	но в таком	1	2
121	быть не может	3	2
122	далеко не всегда	2	2
123	более высокой ступени	1	2
124	в частности в	2	2
125	в таком случае	5	2
126	сам по себе	1	2
127	прямо говорит о	1	2
128	сказать что в	1	2
129	он ничего не	1	2
130	том числе и	1	2
131	и таким образом	1	2
132	а в том	1	2
133	как если бы	1	2
134	то и другое	1	2
135	сама по себе	1	2
136	а не с	2	2
137	не знаю что	2	2
138	самом же деле	1	2
139	на самом же	1	2
140	из того что	3	2
141	а не только	2	2
142	мы имеем дело	7	2
143	должны помнить что	1	2
144	а затем уже	1	2
145	на вопрос почему	1	2
146	не говорит о	1	2
147	и даже в	1	2
148	только в том	1	2
149	еще не означает	1	2
150	не сам по	1	2
151	могли бы быть	2	2
152	и не могут	1	2
153	не могут быть	2	2
154	сколько бы мы	1	2
155	очень близки к	1	2
