N	3gram	Medvedev_F	TeoriaLi
1	в том что	3	10
2	по отношению к	4	10
3	не сводится к	2	9
4	в то же	13	8
5	то же время	13	8
6	в отличие от	2	7
7	того или иного	6	6
8	с другой стороны	4	6
9	более или менее	7	6
10	состоит в том	1	6
11	не может быть	11	5
12	так и не	1	5
13	для того чтобы	3	5
14	так или иначе	1	5
15	в данном случае	2	5
16	в свою очередь	6	3
17	с точки зрения	17	3
18	в этом смысле	3	3
19	всех без исключения	1	3
20	имеем в виду	1	3
21	в том числе	1	3
22	тем не менее	2	3
23	по своей природе	1	3
24	тех или иных	1	3
25	мы имеем в	1	3
26	в связи с	9	3
27	с одной стороны	5	3
28	или иного жанра	1	3
29	тот или иной	1	3
30	но он не	1	2
31	в противном случае	2	2
32	до известной степени	3	2
33	в общественном сознании	1	2
34	этой точки зрения	1	2
35	с этой точки	1	2
36	как и в	1	2
37	в самом деле	5	2
38	во внешнем мире	1	2
39	не могло быть	1	2
40	в самом начале	1	2
41	в таком случае	1	2
42	в отношении к	1	2
43	но в то	3	2
44	том числе и	1	2
45	и тем самым	2	2
46	и в то	4	2
47	во всей его	1	2
48	не только не	2	2
49	что в основе	1	2
50	то ни было	1	2
51	не могут быть	4	2
52	сама по себе	2	2
53	к тому что	3	2
54	то что они	1	2
55	бы то ни	4	2
56	в значительной степени	3	2
57	может быть и	4	2
58	что он не	1	1
59	может и не	1	1
60	в художественном произведении	3	1
61	произведение искусства есть	1	1
62	место в системе	1	1
63	мере в какой	1	1
64	об отсутствии в	1	1
65	в том и	1	1
66	том случае если	1	1
67	с тем же	1	1
68	не что иное	1	1
69	отнюдь не в	1	1
70	все то что	1	1
71	в более или	1	1
72	соединении с художественной	2	1
73	иметь в виду	1	1
74	и прежде всего	2	1
75	вещи но и	1	1
76	по себе а	2	1
77	химическом соединении с	2	1
78	отдельности и в	1	1
79	в той мере	1	1
80	и исторической поэтики	1	1
81	этом смысле можно	1	1
82	в известной степени	1	1
83	в большинстве случаев	5	1
84	в химическом соединении	2	1
85	на фоне этой	1	1
86	по крайней мере	1	1
87	именно в нем	2	1
88	заключается в том	1	1
89	конститутивным моментом самого	1	1
90	становления и развития	1	1
91	то или иное	1	1
92	как художественное целое	1	1
93	мы говорим о	2	1
94	теоретической и исторической	1	1
95	во внутренней речи	1	1
96	она могла бы	1	1
97	произведения искусства как	1	1
98	в целом ряде	2	1
99	как один из	2	1
100	литературного произведения в	1	1
101	на нее как	1	1
102	связи с этим	4	1
103	друг от друга	2	1
104	в настоящее время	11	1
105	мира и его	1	1
106	при этом не	2	1
107	друг другу и	1	1
108	ни были они	1	1
109	и как бы	1	1
110	одной стороны и	4	1
111	со стилями других	1	1
112	тем самым по	1	1
113	как бы не	1	1
114	со всех сторон	1	1
115	в нашем примере	1	1
116	в том случае	2	1
117	в особенности в	1	1
118	и свою собственную	1	1
119	произведения искусства в	1	1
120	и в частности	2	1
121	в нем определенные	1	1
122	именно в этом	1	1
123	может и должен	1	1
124	не была бы	1	1
125	в лучшем случае	3	1
126	о литературе как	1	1
127	каком мы говорим	1	1
128	в зависимости от	4	1
129	из того что	1	1
130	так же как	1	1
131	с художественной идеологемой	1	1
132	в том или	1	1
133	глубже чем это	1	1
134	не было и	1	1
135	в отдельности и	1	1
136	не перестанет быть	1	1
137	в этом случае	1	1
138	можно говорить о	1	1
139	их отношении к	1	1
140	той мере в	1	1
141	и глубже чем	2	1
142	произведения в ее	1	1
143	но не с	1	1
144	в каком мы	1	1
145	входит в состав	1	1
146	не только на	1	1
147	есть не что	1	1
148	и без остатка	1	1
149	и в пределах	1	1
150	смысле можно говорить	1	1
151	это столь же	1	1
152	каждой из них	1	1
153	в новое время	1	1
154	языка не может	1	1
155	не входит в	1	1
156	между тем в	1	1
157	та или иная	1	1
158	том или ином	1	1
159	что иное как	1	1
160	к вопросу о	1	1
161	только то что	1	1
162	в их отношении	1	1
163	в искусстве не	1	1
164	существует не для	1	1
165	и соответствующих форм	1	1
166	является одним из	1	1
167	искусства в его	1	1
168	все без исключения	1	1
169	в первой главе	1	1
170	в виду что	1	1
171	в истории литературы	4	1
172	события в этом	1	1
173	и в этой	2	1
174	при таком понимании	2	1
