N	2gram	Propp_Isto	Poddanst
1	не только	17	17
2	и в	44	14
3	и не	19	12
4	в области	1	11
5	в этом	20	10
6	в том	13	9
7	то же	9	9
8	в качестве	13	9
9	но в	7	9
10	хотя бы	2	8
11	в пределах	5	8
12	только в	8	7
13	же время	1	7
14	в то	5	7
15	в судьбах	1	6
16	в ней	8	6
17	xix века	1	6
18	было бы	2	6
19	но и	16	6
20	и пр	6	5
21	может быть	31	5
22	с другой	11	5
23	не в	11	5
24	и о	2	5
25	в которых	4	5
26	а я	1	5
27	в русской	8	4
28	и к	3	4
29	что в	18	4
30	в котором	2	4
31	по себе	2	4
32	тех кто	1	4
33	и если	1	4
34	и потому	2	4
35	мы должны	7	4
36	на пути	2	4
37	не может	10	4
38	а в	9	4
39	то что	16	4
40	как бы	4	4
41	если бы	5	4
42	а также	5	4
43	в своем	3	4
44	же в	3	4
45	том что	12	4
46	наряду с	7	3
47	в себе	1	3
48	северной америке	3	3
49	что мы	4	3
50	ей в	3	3
51	с одной	7	3
52	мы не	6	3
53	это не	8	3
54	одной стороны	7	3
55	для того	3	3
56	между тем	1	3
57	с точки	1	3
58	хотя и	1	3
59	т е	27	3
60	с тем	9	3
61	потому что	18	3
62	прежде всего	7	3
63	вслед за	1	3
64	сводится к	1	3
65	тем самым	2	3
66	но не	8	3
67	могут быть	9	3
68	и т	39	3
69	и как	5	3
70	с ними	4	3
71	в нем	10	3
72	тот же	1	3
73	точки зрения	3	3
74	с этим	7	2
75	во всех	3	2
76	и это	5	2
77	и других	5	2
78	и мы	3	2
79	ней не	1	2
80	в европе	3	2
81	если в	4	2
82	более чем	1	2
83	народа его	1	2
84	и вот	4	2
85	время в	2	2
86	том числе	3	2
87	не будем	6	2
88	по сравнению	1	2
89	так называемые	1	2
90	для тех	1	2
91	в ее	4	2
92	и тем	7	2
93	того что	3	2
94	никак не	1	2
95	в частности	9	2
96	в его	16	2
97	а не	5	2
98	для нас	6	2
99	все это	4	2
100	в которую	2	2
101	в тот	1	2
102	может и	1	2
103	и есть	3	2
104	стороны и	1	2
105	сколько бы	1	2
106	и и	1	2
107	в русском	1	2
108	в виде	13	2
109	в них	3	2
110	только это	1	2
111	знать что	1	2
112	не было	2	2
113	подошел к	1	2
114	и с	8	2
115	как на	3	2
116	которое в	1	2
117	главным образом	2	2
118	другие народы	1	2
119	в жизни	1	2
120	друг другу	1	2
121	во всей	1	2
122	в силу	7	2
123	в северной	4	2
124	одна из	6	2
125	между прочим	2	2
126	в мире	1	2
127	например в	11	2
128	не менее	6	2
129	думать что	2	2
130	отнюдь не	1	2
131	со стороны	6	2
132	не нужно	1	2
133	исключительно в	1	2
134	из них	4	2
135	есть не	2	2
136	тем более	1	2
137	есть в	2	2
138	переход от	2	2
139	не к	1	2
140	бы ни	1	2
141	что было	1	1
142	к сожалению	1	1
143	этих двух	1	1
144	были бы	1	1
145	у моря	1	1
146	творчества они	1	1
147	представить себе	1	1
148	с формами	1	1
149	нет ничего	1	1
150	как к	1	1
151	во всяком	1	1
152	ни к	1	1
153	не есть	1	1
154	наша задача	1	1
155	у каждого	1	1
156	находятся в	2	1
157	и то	5	1
158	но как	2	1
159	момент когда	1	1
160	мы можем	6	1
161	и эти	1	1
162	на этой	5	1
163	мы видим	12	1
164	а с	2	1
165	в данном	3	1
166	два разных	1	1
167	что от	3	1
168	с его	3	1
169	к формам	2	1
170	области и	1	1
171	что оно	4	1
172	и многие	1	1
173	его нет	1	1
174	и более	3	1
175	те же	1	1
176	жива и	1	1
177	вместе с	26	1
178	и здесь	12	1
179	в жертву	8	1
180	в иных	1	1
181	и на	11	1
182	отличие от	1	1
183	традиции в	1	1
184	в самом	1	1
185	вопрос о	5	1
186	в народе	1	1
187	не означает	1	1
188	он пришел	1	1
189	они не	5	1
190	является и	4	1
191	восходит к	1	1
192	живого и	1	1
193	воздух и	1	1
194	что происходит	1	1
195	в момент	1	1
196	только что	3	1
197	такова же	2	1
198	они являются	1	1
199	также что	3	1
200	бы она	1	1
201	в наши	2	1
202	душа и	1	1
203	к этой	3	1
204	не ограничиваются	1	1
205	переходит в	1	1
206	в основном	5	1
207	прямо на	1	1
208	нем в	1	1
209	она не	7	1
210	уже в	4	1
211	должна быть	3	1
212	наших глазах	1	1
213	связана с	1	1
214	только как	1	1
215	последствий для	1	1
216	того чтобы	3	1
217	хозяйственной жизни	2	1
218	мы знаем	12	1
219	живет в	6	1
220	ему на	1	1
221	по всему	1	1
222	на основе	1	1
223	в древней	2	1
224	и всегда	1	1
225	представляет собой	8	1
226	прийти к	2	1
227	народов как	1	1
228	скотоводства и	1	1
229	формы в	1	1
230	во многих	1	1
231	что это	8	1
232	смена эта	1	1
233	одно и	2	1
234	ни на	1	1
235	что при	5	1
236	два основных	1	1
237	есть как	1	1
238	не были	1	1
239	европы в	1	1
240	и уже	2	1
241	в формах	2	1
242	с которой	1	1
243	и никому	1	1
244	пр есть	1	1
245	из этих	5	1
246	что если	1	1
247	что с	2	1
248	как таковые	2	1
249	положение что	2	1
250	связанные с	5	1
251	именно на	2	1
252	не как	5	1
253	и другие	5	1
254	только один	3	1
255	а затем	7	1
256	что уже	1	1
257	в стадии	1	1
258	и вслед	1	1
259	только на	2	1
260	где он	1	1
261	и через	1	1
262	и этим	6	1
263	обе эти	1	1
264	что эта	2	1
265	всего мы	1	1
266	пусть не	1	1
267	может оказаться	1	1
268	одна сторона	2	1
269	в других	4	1
270	и мертвых	1	1
271	и при	3	1
272	и что	13	1
273	в различных	3	1
274	с богом	1	1
275	при существовании	1	1
276	частности в	1	1
277	на основании	1	1
278	что и	11	1
279	процесс этот	2	1
280	ценности и	1	1
281	и крылья	2	1
282	связывается с	1	1
283	кто был	2	1
284	или его	1	1
285	другой стороны	10	1
286	еще в	2	1
287	из числа	1	1
288	веры в	1	1
289	к жизни	1	1
290	есть несколько	1	1
291	далеко не	1	1
292	только то	1	1
293	в современной	1	1
294	в этих	7	1
295	не вполне	1	1
296	что все	4	1
297	в истории	7	1
298	что делать	1	1
299	в ином	3	1
300	так же	14	1
301	человека с	2	1
302	в предыдущем	1	1
303	также и	2	1
304	как она	1	1
305	его в	17	1
306	знаем что	10	1
307	над ним	4	1
308	и наоборот	1	1
309	который не	1	1
310	их не	3	1
311	все же	17	1
312	к историческому	1	1
313	идет речь	1	1
314	бога не	1	1
315	но на	1	1
316	рассматривать как	1	1
317	что его	4	1
318	в результате	1	1
319	в которой	4	1
320	оказывается в	1	1
321	должен быть	2	1
322	в этой	5	1
323	числе и	2	1
324	к ним	2	1
325	укрепляется и	1	1
326	и еще	1	1
327	этом не	1	1
328	из нее	2	1
329	к первому	1	1
330	два различных	1	1
331	тот или	1	1
332	что по	1	1
333	в отличие	1	1
334	древнего востока	1	1
335	на нее	3	1
336	себя в	6	1
337	на плечи	1	1
338	из двух	2	1
339	само по	1	1
340	на две	1	1
341	ней и	1	1
342	видим в	2	1
343	же как	12	1
344	на себя	4	1
345	что не	3	1
346	мы и	3	1
347	если мы	1	1
348	тем же	1	1
349	но для	4	1
350	в каком	1	1
351	к небу	5	1
352	в ходе	1	1
353	но есть	4	1
354	экономическим и	1	1
355	что есть	2	1
356	кульминационный пункт	1	1
357	жизни народа	1	1
358	к другим	1	1
359	возможно что	2	1
360	должны в	1	1
361	или иная	1	1
362	под его	1	1
363	если он	2	1
364	о смысле	1	1
365	тогда когда	3	1
366	характер этого	1	1
367	находится в	2	1
368	давно уже	1	1
369	мира а	2	1
370	представляют собой	6	1
371	работы в	1	1
372	ясно что	5	1
373	с собой	6	1
374	место в	1	1
375	как и	12	1
376	с которым	3	1
377	также в	2	1
378	в некотором	2	1
379	или иной	1	1
380	многих других	1	1
381	идут от	2	1
382	случаях когда	2	1
383	есть та	1	1
384	е к	1	1
385	общения человека	1	1
386	чтобы дать	1	1
387	в одно	2	1
388	все еще	6	1
389	xi к	1	1
390	стремление к	1	1
391	вопросом о	1	1
392	на то	3	1
393	ее нужно	1	1
394	и по	3	1
395	к следующему	1	1
396	и я	1	1
397	были в	1	1
398	не два	1	1
399	там где	11	1
400	в эти	1	1
401	т д	36	1
402	и жизнь	1	1
403	он живет	3	1
404	что во	2	1
405	и только	1	1
406	друг с	2	1
407	где уже	3	1
408	они ведут	1	1
409	как одна	1	1
410	стоят по	1	1
411	над собой	1	1
412	всяком случае	1	1
413	в иной	12	1
414	в свете	5	1
415	о котором	1	1
416	бы мы	4	1
417	не все	1	1
418	сравнению с	1	1
419	на какие	1	1
420	когда в	1	1
