N	2gram	Trubetskoy	PoTuStor
1	может быть	10	17
2	и в	26	16
3	и пр	1	12
4	таким образом	22	9
5	в этом	15	9
6	прежде всего	2	9
7	мы можем	2	9
8	и проч	2	9
9	и только	4	9
10	совершенно не	1	8
11	точки зрения	13	8
12	и с	10	8
13	не может	4	8
14	и его	1	8
15	не только	10	7
16	сказать что	2	7
17	с его	2	7
18	и к	5	6
19	при этом	3	6
20	для него	3	6
21	самом деле	1	6
22	и это	2	6
23	конечно не	2	6
24	с точки	6	6
25	что такое	1	5
26	ни в	1	5
27	все эти	6	5
28	только для	2	5
29	в чем	1	5
30	еще не	2	5
31	как бы	12	5
32	отношение к	5	5
33	а потому	1	4
34	все что	2	4
35	для всех	2	4
36	и на	2	4
37	так как	9	4
38	все это	6	4
39	в его	5	4
40	так и	6	4
41	его в	1	4
42	и даже	3	4
43	и все	2	4
44	с ними	1	4
45	только в	4	4
46	и не	8	4
47	можно сказать	3	4
48	с самого	3	4
49	но и	9	4
50	хотя бы	3	4
51	и их	1	4
52	самого начала	2	4
53	в этой	4	4
54	в нем	4	4
55	с ее	1	4
56	и ее	1	4
57	и наконец	2	4
58	но в	7	4
59	до сих	5	3
60	в том	11	3
61	мы знаем	1	3
62	те же	2	3
63	с другими	4	3
64	с их	1	3
65	на этой	1	3
66	их в	1	3
67	отношения к	1	3
68	учение о	4	3
69	и как	3	3
70	что в	9	3
71	том что	7	3
72	вместе с	15	3
73	на этом	1	3
74	в этих	4	3
75	мира и	1	3
76	сравнению с	2	3
77	во всех	2	3
78	во всяком	6	3
79	и потому	6	3
80	только как	1	3
81	по сравнению	2	3
82	по крайней	5	3
83	только на	1	3
84	в одном	3	3
85	а в	4	3
86	то что	7	3
87	могут быть	1	3
88	и есть	1	3
89	сих пор	5	3
90	в общем	8	3
91	жизни и	2	3
92	в области	9	3
93	всяком случае	6	3
94	во время	4	3
95	крайней мере	5	3
96	в самом	4	2
97	в свое	1	2
98	мы видим	1	2
99	рождение и	1	2
100	что оно	4	2
101	и этот	1	2
102	они не	1	2
103	мы не	1	2
104	с этой	3	2
105	ни было	2	2
106	что это	3	2
107	на этих	1	2
108	и через	1	2
109	что и	6	2
110	у него	1	2
111	не могут	2	2
112	со всеми	2	2
113	в душе	1	2
114	в них	2	2
115	и других	1	2
116	всех его	1	2
117	и чувств	1	2
118	и действительно	2	2
119	в жизни	1	2
120	можно назвать	2	2
121	как и	1	2
122	что он	4	2
123	же как	3	2
124	похожим на	1	2
125	не есть	1	2
126	только то	1	2
127	в своей	1	2
128	и так	1	2
129	в одно	2	2
130	связанные с	7	2
131	его все	1	2
132	как с	1	2
133	по своему	2	2
134	не менее	3	2
135	в каком	1	2
136	путь к	3	2
137	и таким	3	2
138	на них	1	2
139	с этим	1	2
140	не имеющие	1	2
141	к этому	3	2
142	все и	1	2
143	не существует	1	2
144	между собой	1	2
145	что мы	2	2
146	желаний и	1	2
147	мы уже	1	2
148	связанных с	2	2
149	другими словами	1	2
150	из этих	10	2
151	на друга	2	2
152	совсем не	1	2
153	этих трех	1	2
154	в этот	1	2
155	он не	4	2
156	с помощью	1	2
157	и лишь	1	2
158	но зато	1	2
159	всех других	2	2
160	в начале	2	2
161	как не	1	2
162	так же	5	2
163	друг на	2	2
164	было бы	1	2
165	к ним	3	2
166	и о	3	2
167	о том	6	2
168	во всей	1	2
169	один из	2	2
170	и по	4	2
171	с ним	1	2
172	нет никаких	1	2
173	но это	1	2
174	и для	5	2
175	для этого	2	2
176	того же	6	2
177	понятия и	1	2
178	то же	4	2
179	сделать это	1	2
180	не можем	1	2
181	никогда не	5	2
182	быть даже	2	1
183	к сожалению	3	1
184	мир не	1	1
185	бы то	2	1
186	они являются	1	1
187	мире и	1	1
188	на почве	1	1
189	от нее	1	1
190	что они	1	1
191	или к	1	1
192	а другие	1	1
193	и здесь	2	1
194	та же	1	1
195	не позволяет	1	1
196	мы и	1	1
197	этот мир	1	1
