N	3gram	Voloshinov	StatiiOP
1	в том что	9	47
2	о том что	2	29
3	в этом отношении	4	24
4	для того чтобы	7	19
5	до сих пор	10	19
6	с точки зрения	31	14
7	с другой стороны	6	13
8	во всяком случае	4	13
9	не может быть	23	11
10	в самом деле	13	9
11	то же время	7	9
12	на то что	2	9
13	в то же	7	9
14	дело в том	1	9
15	можно было бы	2	9
16	тем не менее	3	8
17	к тому что	4	8
18	на самом деле	5	8
19	не только в	2	8
20	в конце концов	3	7
21	в данном отношении	1	7
22	но все же	4	7
23	том что он	3	7
24	так же как	2	6
25	по отношению к	9	6
26	в этом смысле	2	6
27	так и в	2	6
28	не только не	1	6
29	по крайней мере	1	6
30	вопрос о том	2	6
31	с тем что	1	5
32	но и в	3	5
33	тем что в	1	5
34	в одной из	1	5
35	что же касается	1	5
36	с самого начала	9	5
37	в статье о	1	4
38	в применении к	1	4
39	так или иначе	2	4
40	сами по себе	1	4
41	с одной стороны	2	4
42	ничего общего с	2	4
43	тем или иным	1	4
44	в связи с	12	4
45	в другом месте	1	4
46	того или иного	2	4
47	на эти вопросы	1	4
48	и в самом	1	4
49	и в том	1	4
50	это не значит	1	3
51	в той же	1	3
52	себе отчет в	2	3
53	можно сказать что	4	3
54	то или иное	1	3
55	говоря уже о	1	3
56	в том числе	3	3
57	совершенно так же	1	3
58	более или менее	3	3
59	таким образом в	1	3
60	к тому же	2	3
61	и пр в	4	3
62	в наше время	1	3
63	бы то ни	11	3
64	и тем же	2	3
65	а иногда и	2	3
66	и не в	3	3
67	не говоря уже	1	3
68	одним и тем	2	3
69	в значительной степени	3	3
70	во всех этих	1	3
71	в этом случае	3	3
72	в первую очередь	1	3
73	в русской литературе	1	3
74	прежде всего в	1	3
75	на этой почве	4	2
76	тесно связана с	3	2
77	и в другом	1	2
78	и в результате	1	2
79	в той или	3	2
80	хотя бы и	1	2
81	в жизни и	1	2
82	ответ на эти	1	2
83	и пр но	2	2
84	в какой степени	2	2
85	во втором случае	1	2
86	все более и	2	2
87	а между тем	1	2
88	в зависимости от	2	2
89	том числе и	3	2
90	и для самого	1	2
91	независимо от того	1	2
92	все же и	1	2
93	свое выражение в	2	2
94	в отличие от	7	2
95	то ни было	11	2
96	а не в	3	2
97	то же самое	8	2
98	вовсе не является	3	2
99	уже о том	1	2
100	не только по	1	2
101	тому что в	1	2
102	а как бы	1	2
103	в свою очередь	5	2
104	чуть ли не	2	2
105	но он не	1	2
106	той или иной	5	2
107	вовсе не в	1	2
108	является не только	4	2
109	вообще не существует	1	2
110	но и это	1	2
