N	3gram	Tiupa_Vved	Komedia
1	в том что	10	29
2	к тому же	6	21
3	в то же	5	16
4	то же время	4	16
5	в самом деле	2	13
6	о том что	6	13
7	для того чтобы	1	11
8	в свою очередь	5	10
9	едва ли не	2	10
10	по отношению к	11	9
11	с одной стороны	9	9
12	речь идет о	3	8
13	с другой стороны	2	8
14	и в самом	1	8
15	на этот раз	2	7
16	с самого начала	1	7
17	во всяком случае	3	7
18	в отличие от	11	6
19	в том числе	1	6
20	тому же в	1	6
21	в связи с	1	6
22	лет тому назад	1	6
23	о том как	1	5
24	к этому времени	1	5
25	то же самое	2	5
26	в ответ на	1	5
27	судя по всему	1	5
28	в этом отношении	7	5
29	тем не менее	3	5
30	и тот же	1	4
31	в самом начале	1	4
32	в одном из	1	4
33	в обоих случаях	1	4
34	к тому что	1	4
35	по сравнению с	1	4
36	можно было бы	2	4
37	в той же	1	3
38	то что он	1	3
39	по своему происхождению	1	3
40	в том же	1	3
41	друг от друга	2	3
42	более или менее	2	3
43	на пути к	1	3
44	в соответствии с	8	3
45	хотя и не	2	3
46	иначе обстоит дело	1	3
47	в высшей степени	2	3
48	кто из вас	1	3
49	а то и	2	3
50	на то что	2	3
51	но и в	3	3
52	один и тот	1	3
53	состоит в том	2	3
54	сомневаться в том	1	3
55	если бы он	1	3
56	том числе и	1	3
57	мере в какой	2	2
58	одной стороны и	3	2
59	как будто бы	3	2
60	и даже не	1	2
61	в конечном счете	2	2
62	с утра до	1	2
63	в этом смысле	1	2
64	было ясно что	1	2
65	как и в	2	2
66	в частности в	2	2
67	но при этом	3	2
68	в первом случае	1	2
69	в зависимости от	1	2
70	и в то	1	2
71	не было и	2	2
72	в нем не	1	2
73	из них не	1	2
74	к себе в	1	2
75	на то чтобы	1	2
76	в основе своей	2	2
77	со своей стороны	1	2
78	одних и тех	1	2
79	если говорить о	1	2
80	но и здесь	1	2
81	так и не	4	2
82	и тем более	1	2
83	не означает что	1	2
84	и тех же	1	2
85	подобно тому как	3	2
86	так же как	1	2
87	только потому что	1	2
88	не только в	3	2
89	в этом случае	1	2
90	в поле зрения	1	2
91	как мы видели	3	2
92	утра до вечера	1	2
93	и все же	6	2
94	как и всякий	1	2
95	одна из них	1	2
96	но в этот	1	1
97	благодаря тому что	1	1
98	но и не	1	1
99	не свидетельствуют о	1	1
100	который в свою	1	1
101	не было в	1	1
102	и вся его	2	1
103	следует забывать что	1	1
104	в той мере	2	1
105	отнюдь не является	1	1
106	не может быть	6	1
107	между детьми и	4	1
108	особое место среди	1	1
109	можно сказать что	1	1
110	во всех его	1	1
111	имеем дело с	4	1
112	том что на	1	1
113	при этом некоторые	1	1
114	таким образом для	1	1
115	в случае с	1	1
116	потому что она	1	1
117	мира в соответствии	1	1
118	бы в отместку	1	1
119	принадлежат к числу	1	1
120	того или иного	1	1
121	друг на друга	2	1
122	одного и того	1	1
123	событие о котором	2	1
124	может быть только	1	1
125	но и сам	2	1
126	один из участников	1	1
127	три года до	1	1
128	со стороны не	1	1
129	ни о чем	1	1
130	не сводится к	6	1
131	вместо того чтобы	1	1
132	большей или меньшей	1	1
133	по аналогии с	2	1
134	само по себе	1	1
135	каждого из этих	1	1
136	в полной мере	1	1
137	и во многом	1	1
138	и тем самым	2	1
139	и прежде всего	1	1
140	как будто он	1	1
141	в данном случае	15	1
142	в своем роде	2	1
143	основания полагать что	1	1
144	но если бы	1	1
145	мы узнаем что	1	1
146	главного персонажа в	1	1
147	той мере в	2	1
148	не следует забывать	1	1
149	и в пределах	1	1
150	и стало быть	3	1
151	и того же	1	1
152	до поры до	1	1
153	что это не	1	1
154	но в этом	1	1
155	в наше время	1	1
156	жизни так что	1	1
157	в котором он	1	1
158	поры до времени	1	1
159	по своему усмотрению	1	1
160	и совершенно не	1	1
161	к точке зрения	1	1
162	не о чем	1	1
163	имея в виду	1	1
164	и здесь все	1	1
165	в значительной степени	2	1
166	а не в	1	1
167	и не может	1	1
168	и в этом	1	1
169	мы имеем дело	5	1
170	который в своем	1	1
171	когда интрига уже	1	1
172	он вместе с	1	1
173	той или иной	4	1
174	мы понимаем что	1	1
175	семейной жизни и	1	1
176	то что и	1	1
177	и особенно в	1	1
178	не столько по	1	1
179	должен был бы	1	1
180	в том чтобы	2	1
181	детьми и родителями	2	1
182	на второй план	1	1
183	по крайней мере	1	1
184	с того что	2	1
185	что у нее	2	1
186	это не так	1	1
187	здесь мы не	1	1
188	средствами но и	1	1
189	с которой не	1	1
190	в далеком прошлом	1	1
191	что как раз	1	1
192	за три года	1	1
193	что же касается	2	1
194	самом деле не	1	1
195	как бы в	2	1
196	он не может	1	1
197	жизни но и	1	1
198	но тут же	1	1
199	том же году	1	1
200	все же на	1	1
201	но не всегда	1	1
202	как об этом	1	1
203	в настоящее время	1	1
204	той же мере	1	1
205	об этом и	1	1
206	во времени и	1	1
207	и для нас	2	1
208	начинается с того	2	1
209	не было бы	1	1
210	в противном случае	2	1
211	хотя как известно	1	1
212	и еще более	1	1
213	другой стороны в	1	1
214	не что иное	1	1
215	в каждой из	1	1
216	и та же	1	1
217	в пределах одного	1	1
218	о прошлом и	1	1
219	средний путь между	1	1
220	уже в самом	1	1
221	однако и в	1	1
222	у него на	1	1
223	как раз в	1	1
224	же как и	1	1
225	но это вовсе	1	1
226	не в последнюю	1	1
227	одна и та	1	1
228	на земле и	1	1
229	что иное как	1	1
230	точек зрения в	1	1
231	всяком случае в	1	1
232	в последнюю очередь	1	1
233	в следующем году	1	1
234	в очередной раз	1	1
235	как уже говорилось	1	1
236	мы не можем	1	1
237	в другом случае	1	1
238	как в случае	1	1
239	теперь же ему	1	1
240	если бы не	1	1
