N	3gram	Propp_Isto	FransuaR
1	то же время	1	55
2	в то же	1	55
3	мы уже говорили	1	43
4	в том что	4	27
5	в том числе	3	27
6	до сих пор	7	27
7	с точки зрения	1	20
8	для того чтобы	3	17
9	том числе и	2	17
10	о том что	5	17
11	в связи с	6	16
12	как мы видели	2	16
13	но и в	2	15
14	не может быть	6	13
15	с одной стороны	7	13
16	на самом деле	1	13
17	а также и	1	12
18	с другой стороны	10	12
19	в отличие от	1	11
20	как и все	1	11
21	можно сказать что	1	11
22	таким образом и	1	10
23	как и в	4	10
24	в данном случае	2	10
25	не только в	2	10
26	мы видим что	4	9
27	по отношению к	2	9
28	так и в	2	9
29	таким образом в	2	8
30	его связь с	1	8
31	мы видели что	2	8
32	после того как	4	8
33	в самом деле	1	7
34	в то время	3	7
35	о том как	4	7
36	и в других	1	7
37	на первый план	1	7
38	подобно тому как	2	7
39	во всех этих	2	7
40	как мы видим	1	7
41	и в особенности	2	6
42	но все же	6	6
43	в свою очередь	1	6
44	это одна из	1	6
45	с самого начала	1	6
46	одной стороны и	1	5
47	друг с другом	2	5
48	то же самое	1	5
49	в книге о	1	5
50	в одной из	1	5
51	по сравнению с	1	5
52	не было ни	1	5
53	мы имеем в	2	5
54	во всяком случае	1	5
55	потому что он	5	5
56	друг в друга	1	5
57	только то что	1	5
58	между жизнью и	1	5
59	жизнью и смертью	1	5
60	в это время	2	5
61	и целый ряд	2	5
62	это и есть	1	5
63	в основе своей	1	5
64	и в более	1	4
65	не только для	1	4
66	и даже в	1	4
67	на этот вопрос	2	4
68	так же как	10	4
69	и то что	3	4
70	как мы увидим	4	4
71	в нем и	3	4
72	что и в	3	4
73	и связанные с	1	4
74	вовсе не в	1	4
75	может быть и	1	4
76	переходят друг в	1	4
77	в других местах	2	4
78	и др все	1	4
79	в преисподнюю и	1	4
80	мы находим в	1	4
81	это уже не	2	4
82	мы видим здесь	3	4
83	потому что в	1	3
84	смысле этого слова	1	3
85	но это не	2	3
86	нет места для	1	3
87	вместе с тем	7	3
88	он не только	1	3
89	как мы знаем	1	3
90	это своего рода	1	3
91	с представлением о	4	3
92	в себе и	1	3
93	как один из	1	3
94	все же не	1	3
95	в преисподнюю в	1	3
96	но и для	1	3
97	в меньшей степени	1	3
98	не дает нам	1	3
99	в ту же	1	3
100	что все это	1	3
