N	3gram	Vinokur_Ku	Hudozhes
1	по отношению к	8	10
2	в том что	23	8
3	в то же	4	7
4	в отличие от	3	7
5	то же время	4	7
6	с другой стороны	12	6
7	более или менее	3	6
8	той или иной	1	5
9	в конечном счете	2	5
10	для того чтобы	21	5
11	состоит в том	4	5
12	так или иначе	3	4
13	того или иного	5	4
14	не может быть	5	4
15	так и не	1	4
16	в силу своей	1	4
17	мы имеем в	1	3
18	с точки зрения	16	3
19	в этом смысле	8	3
20	имеем в виду	1	3
21	и в самом	4	3
22	в виду не	2	3
23	тем не менее	9	3
24	можно сказать что	2	3
25	и то же	1	3
26	одного и того	2	3
27	одно и то	1	3
28	виду не только	1	3
29	и того же	2	3
30	в связи с	4	3
31	с одной стороны	2	3
32	тот или иной	1	3
33	в свою очередь	4	2
34	бы то ни	1	2
35	но он не	1	2
36	а на деле	1	2
37	в данный момент	2	2
38	это своего рода	1	2
39	по большей части	2	2
40	этой точки зрения	4	2
41	в том и	3	2
42	с этой точки	3	2
43	в самом деле	14	2
44	с ними и	1	2
45	в стилистическом отношении	1	2
46	в противном случае	2	2
47	тех или иных	1	2
48	с легкой руки	1	2
49	и в то	1	2
50	а с другой	3	2
51	том что он	4	2
52	тем или иным	1	2
53	то ни было	1	2
54	на наших глазах	1	2
55	к тому что	2	2
56	может быть и	1	2
57	точно так же	4	1
58	отношению к которому	1	1
59	может и не	1	1
60	и характерное для	1	1
61	может быть это	1	1
62	мере в какой	6	1
63	себе в этом	1	1
64	в одном и	1	1
65	что говоря о	1	1
66	все то что	1	1
67	и потому что	4	1
68	в сочетании с	1	1
69	внимание не на	1	1
70	и том же	1	1
71	к нам не	1	1
72	является как бы	1	1
73	вследствие того что	2	1
74	в той мере	6	1
75	в соответствии с	5	1
76	а всего лишь	1	1
77	но только для	1	1
78	та или иная	1	1
79	уст в уста	1	1
80	позицию по отношению	1	1
81	по крайней мере	11	1
82	первого из этих	1	1
83	заключается в том	2	1
84	при этом что	1	1
85	о том что	6	1
86	то или иное	2	1
87	в последние десятилетия	1	1
88	не в качестве	1	1
89	в нашем языковом	1	1
90	мы говорим о	3	1
91	в свое время	4	1
92	дело не в	3	1
93	в себе и	1	1
94	отчет в том	1	1
95	как и в	1	1
96	какой бы то	1	1
97	для себя и	1	1
98	состоит не в	2	1
99	в таких случаях	3	1
100	сказать что для	1	1
101	как впрочем и	1	1
102	существенно разнится от	1	1
103	при этом в	1	1
104	в этих случаях	1	1
105	друг от друга	1	1
106	в настоящее время	2	1
107	областями духовной культуры	1	1
108	том что она	1	1
109	во втором случае	1	1
110	но у нас	1	1
111	если мы имеем	1	1
112	в том случае	3	1
113	в особенности в	1	1
114	в иных случаях	3	1
115	не что иное	2	1
116	и в частности	1	1
117	иметь в виду	1	1
118	и может рассматриваться	1	1
119	в лучшем случае	1	1
120	в зависимости от	7	1
121	так же как	3	1
122	и тем самым	1	1
123	уже не просто	1	1
124	в том или	1	1
125	речь идет о	3	1
126	в этом случае	4	1
127	нашем языковом сознании	1	1
128	можно говорить о	2	1
129	точки зрения в	2	1
130	здесь как бы	1	1
131	а в том	2	1
132	в этой фразе	1	1
133	той мере в	6	1
134	к тому же	1	1
135	они ни были	1	1
136	есть не что	1	1
137	в первую очередь	3	1
138	в данном отношении	4	1
139	и в слове	1	1
140	не могут быть	1	1
141	в русском языке	13	1
142	исходит из того	1	1
143	а через посредство	1	1
144	том случае если	3	1
145	а не с	1	1
146	языка но и	2	1
147	том или ином	1	1
148	что иное как	2	1
149	тогда как в	1	1
150	еще и потому	1	1
151	к вопросу о	3	1
152	только то что	1	1
153	не только такие	1	1
154	едва ли не	1	1
155	только о том	1	1
156	могла бы послужить	1	1
157	на этом пути	1	1
158	в узком и	1	1
159	из уст в	1	1
160	это необходимо для	1	1
161	то что они	1	1
162	одном и том	1	1
163	я думаю что	1	1
164	с совершенно иными	1	1
165	не более чем	1	1
166	по содержанию своему	1	1
167	прежде всего в	1	1
168	и в том	2	1
169	эти могут быть	1	1
170	говорить о разных	1	1
171	что несмотря на	1	1
172	и в этой	1	1
173	это было бы	1	1
