N	2gram	Medvedev_V	Vladivir
1	и в	2	116
2	и не	1	67
3	в этом	1	53
4	в том	2	52
5	том что	2	51
6	в конце	2	41
7	же с	1	34
8	потому что	1	33
9	только в	1	30
10	и то	1	25
11	и его	1	25
12	так как	1	22
13	по поводу	1	19
14	то же	1	15
15	к этому	1	15
16	но это	1	15
17	да и	1	13
18	дело в	1	13
19	хотя бы	1	11
20	я не	1	11
21	все это	1	11
22	конце концов	2	11
23	в самом	1	10
24	именно в	1	9
25	а только	1	9
26	по существу	1	9
27	даже не	1	7
28	том же	1	6
29	под влиянием	1	6
30	главным образом	1	6
31	тем более	1	6
32	в частности	1	5
33	сводится к	1	5
34	все то	1	5
35	в их	1	5
36	впрочем не	1	5
37	далеко не	1	5
38	и только	1	5
39	все дело	1	4
40	по своим	1	4
41	крайней мере	1	4
42	время в	1	4
43	в теории	1	4
44	ясно что	1	4
45	вещь и	1	4
46	по крайней	1	4
47	ни к	1	4
48	не будем	1	4
49	так в	1	4
50	в другом	1	3
51	гораздо более	1	3
52	одно и	1	3
53	для них	1	3
54	самом деле	1	3
55	в которых	1	3
56	говоря о	1	3
57	в книге	3	3
58	без учета	1	2
59	заключается что	1	2
60	значит и	1	2
61	разве это	1	2
62	к чему	1	2
63	их как	1	2
64	и заключается	1	2
65	и самым	1	2
66	стоит на	1	2
67	от других	1	2
68	то чего	1	2
69	и почти	1	2
70	а значит	1	2
71	не хотел	1	2
72	этом и	1	2
73	собр соч	1	2
74	сказать чтобы	1	1
75	не стоило	1	1
76	другом месте	1	1
77	другое дело	1	1
78	жизни которое	1	1
79	здесь достаточно	1	1
80	чего не	1	1
81	не одно	1	1
82	и мало	1	1
83	совершенно ясно	1	1
84	и сводится	1	1
85	связанным с	1	1
86	что слово	1	1
87	формализма в	1	1
88	столь же	1	1
89	то немногое	1	1
90	эти статьи	1	1
91	более чем	1	1
92	не хочу	1	1
93	статей в	1	1
94	слово по	1	1
95	же месте	1	1
96	то я	1	1
97	году о	1	1
98	поэтического творчества	1	1
99	о существенной	1	1
100	стоило бы	1	1
101	мало интересует	1	1
102	в значительной	1	1
103	с большой	1	1
104	старых и	1	1
