N	2gram	Voloshinov	Narrotol
1	не только	6	62
2	и не	8	50
3	при этом	2	47
4	но и	3	45
5	а не	2	38
6	может быть	8	30
7	и в	13	30
8	в том	2	29
9	в этом	2	28
10	своего рода	2	28
11	том что	2	28
12	а в	2	27
13	такого рода	1	26
14	только в	6	25
15	состоит в	1	25
16	в данном	2	24
17	как и	3	24
18	не в	3	23
19	то что	6	23
20	не может	8	20
21	в себе	3	17
22	данном случае	2	17
23	так и	3	17
24	а также	2	17
25	в его	7	16
26	к тому	2	15
27	и т.п	7	15
28	но в	4	15
29	и его	12	14
30	то же	4	13
31	в своей	4	13
32	в своем	1	13
33	все же	5	12
34	картины мира	1	12
35	сводится к	1	12
36	как в	2	12
37	как бы	6	12
38	прежде всего	9	12
39	по отношению	3	11
40	об этом	1	11
41	в мире	1	11
42	если бы	2	11
43	и тем	2	11
44	в этой	1	11
45	в нем	2	11
46	в отличие	1	11
47	отличие от	1	11
48	отношению к	3	11
49	один из	1	10
50	никогда не	3	10
51	точки зрения	7	10
52	между тем	2	10
53	как это	1	10
54	в то	1	10
55	и все	3	10
56	не является	4	10
57	с его	1	10
58	но не	1	10
59	и т.д	5	10
60	тем не	1	9
61	столь же	1	9
62	отнюдь не	1	9
63	что в	3	9
64	что он	1	9
65	еще не	1	9
66	потому что	1	9
67	во времени	2	9
68	для него	2	9
69	далеко не	1	9
70	и к	2	8
71	в самом	2	8
72	не менее	2	8
73	не мог	2	8
74	одна из	1	8
75	и он	1	8
76	самом деле	3	8
77	того чтобы	1	8
78	внимание на	1	8
79	мы имеем	1	8
80	же время	1	8
81	соответствии с	2	8
82	и для	3	8
83	этом отношении	1	8
84	но при	1	8
85	имеет место	2	7
86	с другой	2	7
87	едва ли	1	7
88	в ее	3	7
89	на себя	1	7
90	в конце	1	7
91	в чем	2	7
92	вслед за	2	7
93	из наиболее	1	7
94	или в	1	7
95	также и	1	7
96	в ней	2	7
97	в целом	2	7
98	например в	1	6
99	сказать что	1	6
100	с одной	2	6
101	в конечном	1	6
102	героя и	2	6
103	таким образом	6	6
104	в сознании	4	6
105	они не	1	6
106	одной стороны	2	6
107	на то	1	6
108	вплоть до	1	6
109	только что	1	5
110	не столько	3	5
111	в своих	2	5
112	в другом	2	5
113	для того	1	5
114	не всегда	1	5
115	в одном	3	5
116	к нему	1	5
117	не было	1	5
118	но для	3	5
119	по поводу	1	5
120	точку зрения	3	5
121	с ее	1	5
122	и здесь	1	5
123	подобно тому	1	5
124	если не	1	5
125	их в	1	5
126	и у	1	5
127	с ними	2	5
128	да и	3	5
129	вследствие этого	1	5
130	было бы	4	5
131	и уже	3	5
132	и то	3	5
133	мы не	4	5
134	на самом	1	5
135	тем более	1	5
