N	4gram	Medvedev_V	formyVre
1	в то же время	5	18
2	и в то же	3	8
3	с одной стороны и	2	5
4	в том числе и	2	5
5	одно и то же	1	5
6	в то время как	1	4
7	в той или иной	1	3
8	но в то же	1	3
9	так же как и	1	3
10	но все же и	1	2
11	и т п все	1	2
12	не может быть и	1	2
13	как если бы он	1	2
14	может быть и речи	1	2
15	в ту же ночь	1	1
16	никогда не может быть	1	1
17	именно в том что	1	1
18	с этой точки зрения	1	1
19	если бы он был	1	1
20	в значительной мере и	1	1
21	в точном смысле слова	2	1
22	всего бросается в глаза	1	1
23	одну и ту же	1	1
24	и т д обычно	1	1
25	с другой стороны в	1	1
26	не могло бы быть	1	1
27	по этому вопросу и	1	1
28	и вместе с тем	1	1
29	говорит о том что	1	1
30	только в том что	1	1
31	одном и том же	2	1
32	материал по этому вопросу	1	1
33	и в другом месте	2	1
34	в одном и том	1	1
35	прежде всего бросается в	1	1
36	жизни и ее событий	1	1
37	в этом процессе он	1	1
38	но вместе с тем	1	1
39	же как и все	1	1
40	как об этом свидетельствует	1	1
41	проявляется не только в	1	1
42	до сих пор не	1	1
43	в качестве одной из	1	1
44	и т д но	1	1
