N	2gram	Tiupa_Anal	formyVre
1	и в	30	148
2	в этом	31	73
3	то есть	19	70
4	в романе	2	58
5	в нем	3	51
6	прежде всего	8	46
7	и т	3	40
8	и не	33	37
9	в его	15	36
10	и его	9	36
11	вовсе не	4	35
12	но и	29	33
13	то же	12	32
14	частной жизни	1	32
15	т п	3	32
16	не только	30	32
17	в литературе	4	32
18	но в	11	31
19	жизни и	1	31
20	так и	16	29
21	времени в	4	27
22	может быть	33	27
23	не в	17	26
24	как мы	3	26
25	как и	23	25
26	как бы	15	25
27	человеческой жизни	1	24
28	точки зрения	10	24
29	мы уже	2	24
30	только в	8	23
31	в то	10	23
32	времени и	7	23
33	человека в	1	23
34	в том	36	22
35	то что	11	22
36	связи с	2	21
37	во всех	5	21
38	жизни в	1	21
39	же время	7	21
40	все эти	3	21
41	в своем	2	19
42	и др	1	19
43	и на	10	19
44	и для	3	19
45	таким образом	5	18
46	у него	5	18
47	и все	5	18
48	еще не	5	18
49	по существу	1	18
50	при этом	20	17
51	те же	3	17
52	в особенности	1	17
53	так как	3	17
54	в пределах	11	17
55	человека и	1	17
56	все же	4	16
57	в связи	2	16
58	того же	7	16
59	в основе	6	16
60	и во	3	16
61	и их	2	16
62	не может	26	16
63	в разных	1	15
64	в одном	3	15
65	в них	1	15
66	никогда не	4	15
67	с точки	6	15
68	так сказать	1	15
69	с его	3	15
70	в пространстве	1	15
71	вместе с	6	15
72	лишь в	12	15
73	и как	6	14
74	и с	2	14
75	так же	1	14
76	в конце	4	14
77	его жизни	1	14
78	всех этих	2	14
79	а не	25	14
80	как раз	5	14
81	все это	2	14
82	в самом	12	13
83	в котором	5	13
84	для того	4	13
85	друг с	2	13
86	во время	1	13
87	с ним	6	13
88	как в	3	13
89	роль в	3	13
90	здесь в	2	13
91	в их	8	13
92	с другом	2	13
93	в частности	32	13
94	того чтобы	3	13
95	а в	11	13
96	же в	1	13
97	и до	3	12
98	не было	1	12
99	он не	4	12
100	отнюдь не	22	12
101	что в	7	12
102	потому что	3	12
103	ничего не	10	12
104	но не	13	12
105	и наконец	2	12
106	из них	2	11
107	хотя и	4	11
108	его в	2	11
109	между ними	1	11
110	романа в	4	11
111	ни в	5	11
112	в образе	1	11
113	смерть и	2	11
114	уже в	1	11
115	мира и	1	11
116	в ней	1	11
117	уже не	6	10
118	и того	5	10
119	входит в	1	10
120	влияние на	1	10
121	в ее	2	10
122	сих пор	1	10
123	также и	3	10
124	до сих	1	10
125	со смертью	4	10
126	на основе	3	10
127	здесь не	2	10
128	тот же	2	10
129	и даже	10	9
130	но все	1	9
131	их в	1	9
132	на этой	2	9
133	с другой	7	9
134	всего в	3	9
135	на протяжении	2	9
136	должно быть	2	9
137	к себе	1	9
138	могут быть	12	9
139	та же	1	9
140	отношения к	4	9
141	оно не	1	9
142	том что	21	9
143	в самой	1	9
144	для него	5	9
145	есть в	4	9
146	жизнь и	1	9
147	одного и	2	9
148	мира в	2	9
149	и к	5	8
150	в результате	3	8
151	в виду	2	8
152	в этих	3	8
153	и смерть	2	8
154	к тому	12	8
155	и т.п	13	8
156	с одной	7	8
157	в произведении	7	8
158	что и	5	8
159	в мире	14	8
160	здесь мы	1	8
161	и по	2	8
162	один из	4	8
163	в жизни	1	8
164	для себя	3	8
165	если бы	6	8
166	здесь и	1	8
167	жизни но	3	8
168	и то	4	8
169	том числе	3	8
170	во всяком	1	8
171	это не	7	8
172	а также	8	8
173	на фоне	5	8
174	и потому	2	8
175	отношение к	2	8
