N	4gram	Bakhtin_Fr	Formalny
1	в то же время	14	20
2	и не может быть	1	7
3	и в то же	3	6
4	с одной стороны и	1	5
5	в связи с этим	3	5
6	не может быть и	1	4
7	нет и не может	1	4
8	на самом же деле	4	3
9	мы уже знаем что	1	3
10	вместе с тем и	1	3
11	с начала и до	1	3
12	один и тот же	1	3
13	в том числе и	3	3
14	начала и до конца	1	3
15	но в то же	6	3
16	может быть и речи	1	3
17	в одной из своих	1	2
18	и с точки зрения	2	2
19	то же время и	1	2
20	а в связи с	1	2
21	в этом отношении очень	1	2
22	но это единство не	1	1
23	не что иное как	1	1
24	ни в истории литературы	1	1
25	не может быть конечно	1	1
26	человек не боится мира	1	1
27	одно и то же	1	1
28	в огромном большинстве случаев	1	1
29	мы можем сказать что	1	1
30	большей или меньшей степени	1	1
31	определяющее влияние и на	1	1
32	нужно сказать что и	2	1
33	и в общем не	1	1
34	к одной и той	1	1
35	не имеет никакого отношения	1	1
36	и в этой области	1	1
37	дело в том что	4	1
38	в большей или меньшей	1	1
39	дело здесь не в	2	1
40	не только в искусстве	1	1
41	ни в чем не	1	1
42	с другой стороны в	1	1
43	мы уже говорили что	1	1
44	ни в коем случае	1	1
45	одной и той же	1	1
46	было бы нелепо думать	1	1
47	в том что это	1	1
48	нами в предыдущей главе	1	1
49	то же время в	1	1
50	но и с точки	1	1
51	если мы обратимся к	1	1
52	оказывает определяющее влияние и	1	1
53	нам в корне неверным	1	1
54	в искусстве и в	1	1
55	одного и того же	1	1
56	как мы видели совершенно	1	1
57	но вместе с тем	1	1
58	это достигается тем что	1	1
59	бы нелепо думать что	1	1
60	в этом отношении он	1	1
61	как и во всех	2	1
62	жизни и прежде всего	2	1
63	но в это время	1	1
64	есть не что иное	1	1
