N	4gram	Losev_Dial	VerxiiNi
1	бы то ни было	1	2
2	с этой точки зрения	4	2
3	в то же время	3	2
4	можно сказать что в	1	1
5	по крайней мере в	3	1
6	тех пор как этот	1	1
7	ничем не отличаются от	1	1
8	или по крайней мере	4	1
9	в чем именно заключается	1	1
10	есть не более как	1	1
11	можно говорить лишь о	1	1
12	только в силу этого	1	1
13	с тех пор как	1	1
14	но в то же	1	1
15	с точки зрения подлинной	1	1
16	мы имеем в виду	1	1
17	по крайней мере до	1	1
18	и в то же	2	1
19	в том что они	1	1
20	в силу этого и	1	1
21	не в том что	4	1
22	ни к чему не	1	1
23	одно из двух или	3	1
24	в таком случае эта	1	1
25	в самом деле если	1	1
