N	2gram	Berdyaev_M	Marksizm
1	точки зрения	6	69
2	может быть	42	64
3	и в	61	63
4	и не	26	55
5	как бы	10	53
6	не может	39	47
7	с точки	1	46
8	и его	13	41
9	в этом	34	39
10	в пределах	1	31
11	лишь в	8	30
12	не только	42	29
13	то же	4	28
14	в нем	26	28
15	но и	34	27
16	самом деле	2	25
17	в самом	15	24
18	как и	14	24
19	прежде всего	18	24
20	только в	7	23
21	так и	5	23
22	в том	9	22
23	то что	10	22
24	а не	36	22
25	– в	2	21
26	для него	28	20
27	на почве	3	19
28	не в	16	19
29	если бы	5	19
30	том что	7	19
31	в его	10	19
32	в ее	3	18
33	и для	7	18
34	но в	12	18
35	вовсе не	1	18
36	все же	2	17
37	это –	32	17
38	в сущности	2	17
39	по отношению	4	16
40	и как	3	16
41	в то	2	16
42	во всех	3	15
43	что он	16	15
44	в русском	1	15
45	– не	6	15
46	отношению к	4	15
47	хотя бы	8	14
48	в смысле	1	14
49	– это	2	14
50	в своей	18	13
51	– и	1	13
52	так же	5	13
53	что в	12	13
54	и здесь	6	13
55	того чтобы	4	13
56	было бы	11	13
57	ничего не	4	13
58	мы не	2	13
59	для того	4	12
60	между тем	2	12
61	он не	34	12
62	в основе	4	12
63	высшей степени	4	12
64	а в	4	12
65	в высшей	4	12
66	не столько	1	11
67	к нему	8	11
68	мы уже	1	11
69	и что	4	11
70	и от	3	11
71	до сих	5	11
72	и на	9	11
73	и все	13	11
74	как в	9	11
75	еще не	1	11
76	друг друга	12	11
77	так как	10	11
78	на самом	2	11
79	все эти	3	11
80	в ней	23	11
81	сих пор	5	11
82	во всяком	1	10
83	с другой	1	10
84	сказать что	5	10
85	к этому	3	10
86	никогда не	30	10
87	в своем	17	10
88	его в	6	10
89	– как	1	10
90	в каждом	4	10
91	конечно не	3	10
92	в отличие	1	10
93	с его	6	10
94	и потому	17	10
95	отличие от	1	10
96	быть и	2	9
97	к тому	6	9
98	в нашем	2	9
99	в себе	12	9
100	рядом с	1	9
101	и это	16	9
102	а как	2	9
103	что это	5	9
104	ни в	3	9
105	не имеет	7	9
106	и более	2	9
107	отношении к	4	9
108	это не	10	9
109	в истории	2	9
110	одной из	1	9
111	и эта	3	9
112	мысли и	2	8
113	не как	4	8
114	но что	1	8
115	и даже	1	8
116	и с	6	8
117	что и	6	8
118	у него	38	8
119	не было	25	8
120	что не	3	8
121	тому что	2	8
122	не будет	3	8
123	за пределы	5	8
124	в отношении	6	8
125	в каком	2	8
126	к другому	4	8
127	в свою	5	8
128	этого слова	1	8
129	– говорит	6	8
130	с этим	4	8
131	у нас	13	8
132	смысле этого	1	8
133	в их	4	8
134	и их	3	8
135	и ее	2	8
136	на то	1	8
137	от него	4	7
138	в этих	6	7
139	не существует	5	7
140	в котором	9	7
141	и те	4	7
142	он сам	11	7
143	те же	5	7
144	бы в	3	7
145	в этой	12	7
146	могут быть	2	7
147	его –	1	7
148	по себе	2	7
149	той же	3	7
150	до конца	16	7
151	о том	5	7
152	того что	13	7
153	является лишь	1	7
154	в начале	2	7
155	бы он	2	7
156	место в	4	7
157	в той	3	6
158	является в	1	6
159	от одного	1	6
160	уже не	8	6
161	входит в	3	6
162	в другом	1	6
163	для понимания	1	6
164	она может	2	6
165	между ними	1	6
166	не есть	21	6
167	– с	2	6
168	из одного	1	6
169	всяком случае	1	6
170	должны быть	3	6
171	этот вопрос	1	6
172	то есть	3	6
173	должна быть	7	6
174	смысле слова	7	6
175	от своего	2	6
176	зависимости от	1	6
177	не имеют	2	6
178	что же	2	6
179	для всего	1	6
180	тот же	1	6
181	этот процесс	5	6
182	он и	2	6
183	все это	6	6
184	сознания и	1	6
185	в какой	1	6
186	лишь с	1	6
187	вопрос о	7	6
188	как ее	2	6
189	для нашей	1	6
190	мы должны	1	6
191	лишь как	3	6
192	не к	6	6
193	еще более	3	5
194	формы в	1	5
195	о чем	3	5
196	в одном	1	5
197	в виду	2	5
198	не менее	1	5
199	связано с	5	5
200	был бы	11	5
201	как на	1	5
202	от того	4	5
203	себя в	6	5
204	по преимуществу	4	5
205	должно быть	5	5
206	что такое	2	5
207	xix века	4	5
208	– вот	2	5
209	все время	3	5
210	от этого	4	5
211	лишь для	1	5
212	жизни в	3	5
213	и у	3	5
214	и тем	1	5
215	же он	1	5
216	в конце	11	5
217	то в	2	5
218	для себя	1	5
219	вместе с	7	5
220	да и	1	5
221	различие между	2	5
222	существует для	1	5
223	и вот	7	5
224	ее в	1	5
225	связана с	9	5
226	хотя и	2	5
227	из него	1	5
228	точку зрения	1	5
229	в душе	1	5
230	в более	4	5
231	значение в	1	5
232	этом отношении	1	5
233	– его	2	5
234	то мы	1	5
235	для других	1	5
236	и всякое	1	5
237	но не	8	5
238	менее всего	10	5
239	тем более	1	5
240	к одному	2	5
241	она не	9	5
242	одни и	2	5
243	совершается в	1	5
244	и к	9	4
245	же и	2	4
246	только что	1	4
247	в них	5	4
248	связь с	1	4
249	но все	1	4
250	тем что	7	4
251	из всего	1	4
252	нем нет	1	4
253	он был	18	4
254	этой связи	1	4
255	говорит что	3	4
256	перед ним	3	4
257	как от	1	4
258	в зависимости	1	4
259	во всей	1	4
260	к ее	1	4
261	что они	4	4
262	влияние на	1	4
263	него как	2	4
264	и он	21	4
265	она и	1	4
266	что все	5	4
267	не знает	12	4
268	в которой	8	4
269	одним из	2	4
270	что она	5	4
271	но для	2	4
272	во внутренней	1	4
273	но ведь	1	4
274	следовательно и	1	4
275	но к	2	4
276	находит свое	1	4
277	не дает	1	4
278	и речи	1	4
279	между двумя	1	4
280	к этим	3	4
281	так что	3	4
282	все те	1	4
283	и тот	2	4
284	он –	20	4
285	из этого	1	4
286	его к	2	4
287	имеет свою	1	4
288	и ту	1	4
289	от нее	5	4
290	не могут	6	4
291	со всеми	1	4
292	и действительно	1	4
293	можно назвать	1	4
294	к его	1	4
295	подхода к	1	4
296	нет ничего	9	4
297	бы и	8	4
298	целый ряд	2	4
299	и до	1	4
300	переход от	1	4
301	нет и	6	4
302	мог бы	5	4
303	и то	2	4
304	только с	3	4
305	нас не	2	4
306	уже в	6	4
307	это и	7	4
308	социальной среды	4	4
309	к своему	2	4
310	войти в	1	4
311	в одной	1	4
312	он ни	2	4
313	как он	4	4
314	относится к	2	4
315	одного из	1	4
316	и самого	2	4
317	выражения в	1	4
318	к пониманию	1	4
319	жизни и	6	4
320	и прежде	1	4
321	в области	1	4
322	– лишь	2	4
323	что было	2	3
324	не могло	1	3
325	к системе	1	3
326	в своих	4	3
327	ко всем	3	3
328	быть непосредственно	1	3
329	с тем	10	3
330	роль в	2	3
331	является для	1	3
332	так в	1	3
333	себя от	1	3
334	определяется не	1	3
335	мы увидим	4	3
336	даже и	2	3
337	в этот	2	3
338	одной и	2	3
339	говорить о	1	3
340	на пути	4	3
341	значительной степени	2	3
342	всегда и	1	3
343	постановка проблемы	1	3
344	находится в	1	3
345	момент в	5	3
346	с ним	5	3
347	а следовательно	1	3
348	мы видим	4	3
349	все его	3	3
350	на протяжении	2	3
351	от его	3	3
352	князя мышкина	1	3
353	– на	1	3
354	к себе	3	3
355	– к	3	3
356	в тот	1	3
357	там и	6	3
358	этими двумя	2	3
359	лежит в	2	3
360	не о	2	3
361	прежде чем	2	3
362	дано в	1	3
363	между этими	1	3
364	делает его	1	3
365	в русской	4	3
366	все остальные	1	3
367	все основные	1	3
368	одним словом	1	3
369	и та	2	3
370	по своей	4	3
371	он еще	1	3
372	значение и	1	3
373	выходят за	1	3
374	что во	1	3
375	и др	1	3
376	подход к	1	3
377	и есть	21	3
378	речи о	1	3
379	нее не	1	3
380	были бы	1	3
381	не так	6	3
382	во втором	1	3
383	и этот	4	3
384	они и	3	3
385	если он	7	3
386	как к	2	3
387	тогда когда	2	3
388	учение о	3	3
389	все формы	1	3
390	в другой	1	3
391	не на	1	3
392	можно было	1	3
393	должен был	4	3
394	все то	1	3
395	– все	5	3
396	для каждого	1	3
397	еще в	4	3
398	в которых	5	3
399	приводит к	2	3
400	слова для	1	3
401	ни к	2	3
402	его и	2	3
403	то он	3	3
404	потому что	25	3
405	этот случай	2	3
406	он хочет	4	3
407	в мир	3	3
408	более и	1	3
409	другого в	2	3
410	и той	2	3
411	на этот	2	3
412	он может	1	3
413	эпохи возрождения	1	3
414	но если	4	3
415	у них	4	3
416	но это	8	3
417	подойти к	1	3
418	находятся в	1	3
419	ответ на	1	3
420	они не	4	3
421	того как	3	3
422	и сама	2	3
423	и борьбы	1	3
424	бы на	1	3
425	– что	1	3
426	с их	2	3
427	ведь это	2	3
428	вне этой	1	3
429	на нее	1	3
430	говорить об	1	3
431	лежит на	1	3
432	есть только	2	3
433	а иногда	1	3
434	на все	3	3
435	говорит герой	1	3
436	только и	7	3
437	должен быть	4	3
438	мысли в	1	3
439	не все	3	3
440	бы это	2	3
441	связаны с	1	3
442	к жизни	1	3
443	на них	1	3
444	и по	4	3
445	человека в	26	3
446	и других	2	3
447	как ни	1	3
448	– одна	1	3
449	также и	6	3
450	в значительной	2	3
451	иногда и	1	3
452	когда он	3	3
453	не с	1	3
454	каждый раз	1	3
455	в нашей	1	3
456	и о	1	3
