N	3gram	Tiupa_Hudo	VerxiiNi
1	с одной стороны	4	7
2	с точки зрения	5	6
3	во всяком случае	1	6
4	друг с другом	1	5
5	а с другой	1	5
6	до сих пор	3	5
7	для того чтобы	2	5
8	в том числе	1	5
9	более или менее	1	5
10	том числе и	1	4
11	но все же	2	4
12	о том что	14	4
13	в том что	15	3
14	в конце концов	1	3
15	так же как	2	3
16	в связи с	3	3
17	точно так же	1	3
18	тем не менее	6	3
19	так или иначе	3	3
20	ничего общего с	1	2
21	и потому что	1	2
22	той или иной	1	2
23	не только для	2	2
24	между этими двумя	1	2
25	на то что	2	2
26	сих пор еще	1	2
27	на пути к	1	2
28	с того момента	1	2
29	с самого начала	1	2
30	то или иное	1	2
31	этой точки зрения	1	2
32	заключает в себе	1	2
33	то же самое	3	2
34	так и от	2	2
35	можно сказать что	1	2
36	бы то ни	1	2
37	в этом отношении	4	2
38	то же время	11	2
39	в то же	11	2
40	с этой точки	1	2
41	но и для	2	2
42	и в этом	3	2
43	сами по себе	1	1
44	так и в	1	1
45	он равнодушен к	1	1
46	у него в	1	1
47	но при этом	3	1
48	в первом случае	2	1
49	не потому что	1	1
50	все более и	1	1
51	именно потому что	1	1
52	в свою очередь	1	1
53	а между тем	3	1
54	в настоящее время	1	1
55	не только не	3	1
56	можно сказать лишь	1	1
57	но в то	3	1
58	речь идет о	2	1
59	как на нечто	1	1
60	к созерцательности и	1	1
61	вследствие того что	1	1
62	в то что	1	1
63	до известной степени	1	1
64	в соответствии с	1	1
65	не может быть	5	1
66	по отношению к	15	1
67	и в то	2	1
68	в данном случае	3	1
69	и все же	1	1
70	не только от	1	1
71	в отличие от	1	1
72	а в том	1	1
73	не исключая и	1	1
74	а не как	1	1
75	в первую очередь	2	1
76	но и от	1	1
77	так и остается	2	1
78	не может не	1	1
79	что все эти	1	1
80	с тем что	1	1
81	того момента когда	1	1
82	в самом деле	5	1
83	найти в нем	1	1
84	в таком случае	1	1
85	в одном из	1	1
86	но с другой	1	1
87	состоит в том	3	1
88	с собой на	1	1
89	как бы в	2	1
90	оставляя после себя	1	1
91	с другой стороны	1	1
92	уже говорили о	1	1
93	мы уже говорили	1	1
94	но тем не	2	1
95	о том как	4	1
96	не в том	2	1
97	при этом не	1	1
98	могло бы быть	1	1
99	более и более	1	1
100	еще и потому	1	1
101	это главным образом	1	1
102	лишь то что	1	1
