N	3gram	Bakhtin_Fr	Formalny
1	с точки зрения	4	40
2	не может быть	2	29
3	на самом деле	5	21
4	то же время	13	20
5	в то же	13	20
6	в связи с	5	16
7	во всяком случае	2	16
8	в настоящее время	2	13
9	по отношению к	2	12
10	так и в	1	11
11	в этом отношении	4	11
12	в его целом	3	10
13	бы то ни	1	10
14	в большинстве случаев	3	9
15	с другой стороны	5	9
16	и не может	1	9
17	для того чтобы	5	8
18	до сих пор	6	8
19	как мы видели	4	8
20	с одной стороны	4	8
21	в применении к	1	7
22	более или менее	1	7
23	то ни было	1	7
24	в высшей степени	1	7
25	в свою очередь	2	7
26	как мы знаем	2	7
27	и в этом	1	7
28	в самом языке	1	7
29	в том что	2	6
30	и в то	2	6
31	в своей статье	1	6
32	в данном случае	3	6
33	раз и навсегда	1	6
34	в художественном произведении	1	6
35	смысле этого слова	2	6
36	может быть и	2	6
37	одной стороны и	2	5
38	в направлении к	1	5
39	в отличие от	3	5
40	в значительной степени	2	5
41	до известной степени	1	5
42	связи с этим	1	5
43	прежде всего в	1	5
44	в той же	5	4
45	все более и	1	4
46	в конце концов	3	4
47	в последнем счете	1	4
48	более и более	1	4
49	как раз и	1	4
50	не входит в	1	4
51	но все же	2	4
52	в ее целом	1	4
53	но и в	4	4
54	может быть понято	1	4
55	видения и понимания	1	4
56	как и все	5	4
57	подобно тому как	2	4
58	с самого начала	1	4
59	и до конца	8	4
60	в нем и	1	4
61	нет и не	1	4
62	и тот же	3	3
63	же время не	1	3
64	так и от	1	3
65	в том числе	4	3
66	всяком случае в	1	3
67	вместо того чтобы	1	3
68	том числе и	3	3
69	самом же деле	1	3
70	только то что	2	3
71	на самом же	1	3
72	на первый план	1	3
73	но вовсе не	1	3
74	и в этой	1	3
75	в том чтобы	1	3
76	и в дальнейшем	1	3
77	один и тот	3	3
78	во всех своих	1	3
79	и в частности	1	3
80	но в то	7	3
81	как мы увидим	1	3
82	с начала и	7	3
83	с таким же	1	3
84	ровно ничего не	1	3
85	начала и до	7	3
86	между этими двумя	1	3
87	ради нее самой	1	2
88	все то что	2	2
89	и в данном	1	2
90	о том как	1	2
91	к действительности и	1	2
92	этого романа в	2	2
93	всех своих моментах	1	2
94	но все эти	1	2
95	менее всего может	1	2
96	в собственном смысле	1	2
97	и со стороны	1	2
98	мы не найдем	1	2
99	хотя бы и	1	2
100	вовсе не в	2	2
101	вовсе не являются	1	2
102	в строгом смысле	1	2
103	но даже и	2	2
104	в том случае	1	2
105	этого прежде всего	1	2
106	между тем как	1	2
107	мы видели является	1	2
108	но для этого	1	2
109	тех или иных	2	2
110	и прежде всего	3	2
111	что между ними	1	2
112	внешнего и внутреннего	1	2
113	и в других	3	2
114	что это не	1	2
115	в своей книге	3	2
116	и здесь не	1	2
117	может быть только	1	2
118	мы видели что	1	2
119	к нему и	1	2
120	именно в этом	1	2
121	это время и	1	2
122	и тем же	1	2
123	в связи со	2	2
124	в это время	1	2
125	имеем в виду	2	2
126	как и в	2	2
127	какой бы то	1	2
128	быть и не	2	2
129	при известных условиях	1	2
130	со всех сторон	1	2
131	в одной из	1	2
132	и до сих	2	2
133	одним и тем	1	2
134	дело в том	2	2
135	в отрыве от	1	2
136	не только в	3	2
137	мы имеем в	2	2
138	всего может быть	1	2
139	в этом случае	1	2
140	же как мы	1	2
141	что в нем	1	2
142	для этого прежде	1	2
143	что и в	1	2
144	а не бытовой	1	1
145	не могла не	1	1
146	уже говорили что	1	1
147	как она есть	1	1
148	с ним лицом	1	1
149	произведений в их	1	1
150	своей силы и	1	1
151	имели в виду	1	1
152	и не хотят	1	1
153	многочисленные примеры из	1	1
154	именно в таком	1	1
155	вполне понятно что	3	1
156	основе всех этих	1	1
157	художественных функций в	1	1
158	что в ней	1	1
159	то что он	1	1
160	раз и не	1	1
161	в данном контексте	1	1
162	однако отметить что	1	1
163	того что они	1	1
164	до конца в	2	1
165	по сравнению с	2	1
166	где кончается одно	1	1
167	что для последовательного	1	1
168	вот его выводы	1	1
169	самом деле в	1	1
170	высшей степени характерно	1	1
171	однако и здесь	1	1
172	он и не	1	1
173	был бы не	1	1
174	что они не	1	1
175	в том же	3	1
176	исторической точки зрения	1	1
177	в коем случае	1	1
178	наконец в году	1	1
179	и во всех	1	1
180	в своей основе	1	1
181	так например в	1	1
182	они не могут	1	1
183	прежде всего необходимо	3	1
184	вместе с ними	1	1
185	кончается одно и	1	1
186	в художественном образе	1	1
187	необходимо однако отметить	1	1
188	ничего не говорят	1	1
189	одного и того	1	1
190	это не значит	1	1
