N	3gram	Bakhtin_Pr	Analitik
1	в том что	6	25
2	не может быть	8	19
3	по отношению к	12	18
4	в то же	13	16
5	о том что	2	15
6	в данном случае	2	14
7	в отличие от	4	14
8	то же время	13	14
9	той или иной	1	14
10	к тому же	2	13
11	того или иного	1	9
12	с другой стороны	6	9
13	в свою очередь	1	9
14	по крайней мере	2	9
15	подобно тому как	3	9
16	с одной стороны	1	9
17	с точки зрения	21	8
18	как и в	3	8
19	не только в	2	8
20	в этом отношении	3	8
21	в таком случае	1	7
22	во всяком случае	4	7
23	тем не менее	2	6
24	так или иначе	1	6
25	в полной мере	1	6
26	в той или	1	5
27	не только не	2	5
28	но и в	1	5
29	но и не	2	5
30	в этом случае	1	5
31	до известной степени	1	4
32	в том или	1	4
33	здесь не только	1	4
34	в самом деле	6	4
35	для того чтобы	1	4
36	не в том	1	4
37	тех или иных	1	4
38	в равной степени	1	4
39	и не может	6	4
40	и в этом	5	4
41	большей или меньшей	2	4
42	и не в	1	4
43	в этом смысле	12	4
44	в известном смысле	1	4
45	в значительной степени	1	4
46	том что он	5	4
47	сама по себе	5	4
48	быть не может	1	3
49	и т п	10	3
50	и сам автор	1	3
51	хотя бы и	3	3
52	в том числе	1	3
53	как бы не	1	3
54	сам по себе	2	3
55	сами по себе	4	3
56	бы то ни	3	3
57	в первом случае	1	3
58	в зависимости от	5	3
59	между тем как	5	3
60	не о том	1	3
61	а в том	1	3
62	как нам кажется	3	3
63	то ни было	2	3
64	в связи с	1	3
65	то же самое	1	3
66	как раз и	5	3
67	можно сказать что	2	3
68	в противном случае	1	3
69	дело в том	1	3
70	не могут быть	1	3
71	что он не	1	2
72	не только к	1	2
73	при условии что	1	2
74	но в таком	1	2
75	не только его	1	2
76	более или менее	4	2
77	можно было бы	3	2
78	друг с другом	3	2
79	до сих пор	9	2
80	смысле этого слова	1	2
81	от автора и	2	2
82	и в форме	1	2
83	в каждом отдельном	1	2
84	и в пределах	1	2
85	как если бы	3	2
86	хотя он и	1	2
87	к тому что	1	2
88	по этому пути	1	2
89	а не только	1	2
90	и в сущности	2	2
91	в этих случаях	2	2
92	в том и	2	2
93	никогда не бывает	1	2
94	на то что	2	2
95	не столько в	1	2
96	а в то	2	2
97	заключается в том	1	2
98	этой точки зрения	2	2
99	как и сам	1	2
100	какой бы то	1	2
101	с самим собою	2	2
102	того и другого	2	2
103	а между тем	1	2
104	на этот вопрос	2	2
105	но в то	7	2
106	авторской позиции и	1	2
107	с самим собой	1	2
108	тем или иным	1	2
109	на первый взгляд	1	2
110	что же касается	1	2
111	прежде всего в	1	2
112	но и как	1	2
113	если бы он	1	2
114	в целом ряде	2	1
115	время оно и	1	1
116	с другим чужим	1	1
117	и рождается в	1	1
118	для него самого	2	1
119	уст в уста	1	1
120	может быть это	1	1
121	рассказчика слово здесь	1	1
122	ответ на вопрос	1	1
123	и он сам	1	1
124	как будто бы	1	1
125	что она не	3	1
126	на том или	1	1
127	как мы это	1	1
128	себе еще не	4	1
129	ведь и сам	3	1
130	с ним как	1	1
131	как в этом	1	1
132	при всей их	1	1
133	в себе в	1	1
134	и даже не	1	1
135	по себе а	1	1
136	в художественном произведении	1	1
137	всего романа в	1	1
138	событийна и рождается	1	1
139	в той же	3	1
140	и наконец в	2	1
141	в одном слове	3	1
142	в себе все	1	1
143	как одна из	1	1
144	в пределах одной	1	1
145	пор совершенно не	2	1
146	и нисколько не	1	1
147	так что оно	1	1
148	не менее чем	1	1
149	лишь одна из	1	1
150	то что не	1	1
151	вследствие чего она	1	1
152	в художественном мире	3	1
153	самом деле в	1	1
154	но и на	2	1
155	как и его	1	1
156	отсюда и его	1	1
157	далеко за пределы	1	1
158	соприкосновения разных сознаний	1	1
159	отношение между ними	1	1
160	в том же	1	1
161	и во всех	1	1
162	из этих трех	3	1
163	в каждом из	1	1
164	героев но не	1	1
165	они не могут	1	1
166	и здесь остается	1	1
167	и для автора	1	1
168	могут нести в	1	1
169	друг от друга	1	1
170	как более или	1	1
171	но в отличие	1	1
172	не совпадает с	1	1
173	тот же самый	1	1
174	одно из самых	1	1
175	отношения к предмету	1	1
176	на себе и	1	1
177	они как бы	1	1
178	последней смысловой инстанции	1	1
179	сообщение о том	1	1
180	оно никогда не	1	1
181	на первом месте	1	1
182	с оглядкой на	2	1
183	точки зрения может	1	1
184	высказывания и в	1	1
185	стороны и сама	1	1
186	о том же	2	1
187	именно потому что	2	1
188	в отношении к	3	1
189	в конце концов	7	1
190	по себе еще	4	1
191	ибо и в	1	1
192	в точке соприкосновения	1	1
193	лишь в одном	1	1
194	я и мир	1	1
195	бы это было	1	1
196	само по себе	4	1
197	всяком случае не	1	1
198	точки зрения художественного	1	1
199	человека и его	2	1
200	в этом мире	1	1
201	а потому и	1	1
202	даже в пределах	1	1
203	по ту сторону	2	1
204	в его собственном	1	1
205	таким образом в	1	1
206	словам того же	1	1
207	слова о нем	2	1
208	а затем и	1	1
209	слове рассказчика слово	1	1
210	каждом из этих	1	1
211	точке соприкосновения разных	1	1
212	и даже отчасти	1	1
213	это слово в	1	1
214	одна из существеннейших	1	1
215	радости и веселья	1	1
216	в самом произведении	2	1
217	самим по себе	1	1
218	выходит за пределы	1	1
219	в произведении и	1	1
220	оно и не	1	1
221	все же не	3	1
222	только то что	2	1
223	автора там где	1	1
224	перед нами не	1	1
225	если в самом	1	1
226	героя если же	1	1
227	и в том	1	1
228	уже не могут	2	1
229	не мог бы	1	1
230	в этом последнем	1	1
231	себя самого все	1	1
232	собственном смысле слова	1	1
233	в одном из	2	1
234	а как бы	1	1
235	в рассказе и	1	1
236	но он не	1	1
237	но прежде всего	1	1
238	так как если	1	1
239	что он ничего	1	1
240	не в его	1	1
241	могла бы быть	1	1
242	бы он и	1	1
243	человека с человеком	1	1
244	в большинстве случаев	10	1
245	он не только	2	1
246	но при этом	2	1
247	это не так	1	1
248	имеем в виду	1	1
249	о себе не	1	1
250	быть понято как	1	1
251	конечно далеко не	1	1
252	приходится прибегать к	1	1
253	оно ни было	1	1
254	в пределы одного	2	1
255	было бы сказать	1	1
256	пределы одного сознания	2	1
257	может служить и	1	1
258	точно так же	1	1
259	ивана карамазова в	1	1
260	как один из	2	1
261	не одного только	1	1
262	ни на что	1	1
263	и так сказать	1	1
264	в нас самих	1	1
265	в художественном творчестве	2	1
266	в то время	2	1
267	и вы не	1	1
