N	2gram	Voloshinov	Poddanst
1	не только	28	17
2	и в	42	14
3	и не	14	12
4	в области	6	11
5	в этом	10	10
6	в отношении	2	10
7	в том	3	9
8	то же	16	9
9	в качестве	4	9
10	но в	5	9
11	хотя бы	18	8
12	в пределах	2	8
13	только в	7	7
14	же время	7	7
15	в то	9	7
16	в ней	8	6
17	быть может	3	6
18	было бы	7	6
19	но и	16	6
20	и пр	4	5
21	может быть	13	5
22	н о	2	5
23	с другой	1	5
24	не в	6	5
25	и о	1	5
26	в которых	2	5
27	в русской	1	4
28	и к	4	4
29	что в	1	4
30	в котором	3	4
31	гораздо большей	1	4
32	по себе	1	4
33	и если	1	4
34	и потому	2	4
35	мы должны	10	4
36	не может	13	4
37	в гораздо	1	4
38	а в	5	4
39	то что	9	4
40	как бы	30	4
41	если бы	4	4
42	в своем	1	4
43	же в	1	4
44	том что	3	4
45	большей степени	1	4
46	наряду с	1	3
47	в себе	10	3
48	что мы	11	3
49	мы не	9	3
50	это не	3	3
51	для того	9	3
52	между тем	3	3
53	с точки	5	3
54	хотя и	3	3
55	с тем	8	3
56	потому что	7	3
57	прежде всего	22	3
58	вслед за	1	3
59	тем самым	8	3
60	но не	2	3
61	я и	2	3
62	и как	10	3
63	с ними	1	3
64	столь же	1	3
65	в нем	6	3
66	и без	4	3
67	тот же	2	3
68	точки зрения	11	3
69	с этим	2	2
70	во всех	6	2
71	и резко	1	2
72	одних и	1	2
73	является в	1	2
74	и это	8	2
75	осуществляется в	1	2
76	было в	4	2
77	которую мы	1	2
78	если в	1	2
79	более чем	1	2
80	хозяйства и	1	2
81	и вот	3	2
82	в значительной	2	2
83	не будем	1	2
84	теперь в	3	2
85	еще более	2	2
86	по сравнению	1	2
87	так называемые	4	2
88	для тех	1	2
89	в ее	3	2
90	и тем	7	2
91	того что	4	2
92	никак не	1	2
93	как раз	1	2
94	в частности	3	2
95	в его	6	2
96	в глубинах	2	2
97	не о	1	2
98	а не	7	2
99	нужно было	2	2
100	для нас	3	2
101	все это	4	2
102	говорить о	1	2
103	для них	2	2
104	заключает в	4	2
105	может и	1	2
106	и есть	1	2
107	сколько бы	1	2
108	в виде	1	2
109	творчества и	1	2
110	не было	2	2
111	к чему	2	2
112	и с	5	2
113	в начале	3	2
114	слова но	3	2
115	в общем	1	2
116	мысль о	1	2
117	нужно помнить	1	2
118	главным образом	3	2
119	особый и	1	2
120	именно в	1	2
121	должно быть	2	2
122	в жизни	2	2
123	отношения к	3	2
124	друг другу	2	2
125	во всей	1	2
126	помнить что	2	2
127	в силу	1	2
128	одна из	1	2
129	в мире	2	2
130	например в	1	2
131	не менее	1	2
132	где бы	1	2
133	думать что	1	2
134	отнюдь не	10	2
135	и укрепить	1	2
136	со стороны	1	2
137	да и	4	2
138	точек зрения	5	2
139	не нужно	2	2
140	из них	3	2
141	есть не	2	2
142	тем более	1	2
143	есть в	1	2
144	переход от	1	2
145	не к	4	2
146	что было	3	1
147	к сожалению	1	1
148	были бы	4	1
149	как ненужные	1	1
150	представить себе	3	1
151	нет ничего	2	1
152	ли они	1	1
153	как к	1	1
154	тем в	1	1
155	и тех	1	1
156	жизненной правды	1	1
157	ни к	2	1
158	был и	2	1
159	не есть	2	1
160	собственном смысле	1	1
161	культурного развития	2	1
162	и теперь	1	1
163	находятся в	2	1
164	и то	5	1
165	но как	2	1
166	выступает в	1	1
167	бы и	2	1
168	история и	1	1
169	мы можем	7	1
170	перед тем	1	1
171	и эти	1	1
172	мы видим	4	1
173	а с	5	1
174	раньше в	1	1
175	определенный момент	1	1
176	с его	8	1
177	что оно	3	1
178	можно говорить	1	1
179	те же	5	1
180	правила и	2	1
181	вместе с	5	1
182	и здесь	3	1
183	в определенный	1	1
184	обстановки и	1	1
185	и на	7	1
186	уяснить себе	2	1
187	в самом	5	1
188	вопрос о	2	1
189	сделать то	1	1
190	наше сознание	1	1
191	является и	1	1
192	может не	1	1
193	в исторической	1	1
194	она должна	1	1
195	них в	1	1
196	социального бытия	1	1
197	и главное	1	1
198	они являются	1	1
199	также что	1	1
200	в наши	1	1
201	в основном	1	1
202	этот долг	1	1
203	выборе и	1	1
204	разрешается и	1	1
205	соотношение между	1	1
206	отчасти и	1	1
207	она не	1	1
208	уже в	5	1
209	наших глазах	1	1
210	более или	1	1
211	только как	1	1
212	того чтобы	7	1
213	возможно также	1	1
214	и политики	1	1
215	равным образом	1	1
216	с определенной	4	1
217	только мы	1	1
218	и менее	1	1
219	и всегда	1	1
220	представляет собой	2	1
221	но возможно	1	1
222	из всех	1	1
223	формы в	1	1
224	что это	4	1
225	индивидуальной личности	1	1
226	одно и	6	1
227	ни на	3	1
228	люди могли	1	1
229	что при	1	1
230	и уже	3	1
231	ли или	1	1
232	мысли и	1	1
233	случаев только	1	1
234	с которой	1	1
235	из тех	1	1
236	должна была	2	1
237	из этих	2	1
238	что то	2	1
239	связанные с	2	1
240	не как	1	1
241	и другие	1	1
242	только один	1	1
243	а затем	1	1
244	и вся	1	1
245	мы все	1	1
246	в каждом	4	1
247	только на	3	1
248	в идеологическом	2	1
249	не с	3	1
250	обе эти	1	1
251	что эта	1	1
252	всего мы	1	1
253	одна сторона	1	1
254	и при	2	1
255	и что	1	1
256	не могла	1	1
257	связь между	3	1
258	на общество	1	1
259	что и	3	1
260	тем и	2	1
261	или его	1	1
262	другой стороны	1	1
263	иными словами	2	1
