N	3gram	Propp_Isto	VrazhdaK
1	то же время	1	4
2	в то же	1	4
3	в связи с	6	3
4	в том что	4	2
5	не может быть	6	2
6	он не только	1	2
7	с точки зрения	1	2
8	это то что	1	1
9	но для нас	1	1
10	но при этом	1	1
11	что в жизни	1	1
12	в свою очередь	1	1
13	о чем говорилось	1	1
14	лет тому назад	2	1
15	в то время	3	1
16	одно и то	2	1
17	о нем в	1	1
18	речь идет о	1	1
19	в нем самом	1	1
20	за что же	1	1
21	уже говорилось выше	1	1
22	о том как	4	1
23	точно так же	3	1
24	так же как	10	1
25	но это не	2	1
26	что в ней	1	1
27	на то что	3	1
28	же как эта	1	1
29	в соответствии с	1	1
30	и во всем	1	1
31	которого никто не	1	1
32	что в нем	1	1
33	и то что	3	1
34	и никому не	1	1
35	о том что	5	1
36	но мы знаем	3	1
37	до сих пор	7	1
38	мы знаем о	1	1
39	в это время	2	1
40	во всяком случае	1	1
41	тем не менее	6	1
42	никогда не переставал	1	1
43	к нему с	1	1
44	на первый план	1	1
45	с другой стороны	10	1
46	а с точки	1	1
47	и из него	1	1
48	что у него	2	1
49	это и есть	1	1
50	я покажу тебе	1	1
51	и то же	2	1
52	тем что он	3	1
53	и что он	1	1
54	все же не	1	1
55	правда давно уже	1	1
56	может быть и	1	1
