N	2gram	Tiupa_Vved	BTomashe
1	у нас	4	3
2	все это	3	2
3	в ней	5	2
4	можно было	2	2
5	и не	24	2
6	следовало бы	1	1
7	для которой	1	1
8	говорить о	5	1
9	словесного творчества	2	1
10	и о	4	1
11	о них	4	1
12	забывать что	1	1
13	было и	2	1
14	и нет	1	1
15	литературы как	1	1
16	не только	32	1
17	а о	1	1
18	всего в	1	1
19	таким образом	6	1
20	не было	5	1
21	в эпоху	1	1
22	прежде всего	11	1
23	и в	23	1
24	на самом	5	1
25	так и	14	1
26	в своей	10	1
27	во всяком	3	1
28	и потому	2	1
29	и во	2	1
30	же не	1	1
31	по крайней	1	1
32	в речи	3	1
33	с другой	10	1
34	не со	1	1
35	об этом	5	1
36	такое определение	1	1
37	как будто	6	1
38	точке зрения	1	1
39	совершенно не	2	1
40	не о	2	1
41	другой стороны	3	1
42	крайней мере	1	1
43	всяком случае	3	1
44	было бы	4	1
45	установка на	1	1
46	не следует	3	1
47	и ее	2	1
48	одной из	1	1
49	в значительной	2	1
50	свести к	1	1
51	в пределах	3	1
52	в данном	22	1
53	должна быть	3	1
54	в области	5	1
55	далеко не	5	1
56	тем более	3	1
57	говорить не	1	1
58	не вполне	4	1
59	полно не	1	1
60	и более	5	1
61	что все	1	1
62	не все	2	1
63	никак не	2	1
64	значительной степени	2	1
65	и полно	1	1
66	слова иначе	1	1
67	будто бы	3	1
68	также не	1	1
69	а не	31	1
70	как некоторого	1	1
71	о художественном	1	1
72	отнюдь не	14	1
73	о свободе	1	1
74	до конца	5	1
75	и на	5	1
76	между ними	1	1
77	еще не	8	1
78	все же	10	1
79	что в	6	1
