N	4gram	Vygotskiy_	slovoVRo
1	в то же время	1	18
2	с одной стороны и	1	4
3	в каждый данный момент	1	4
4	одно и то же	3	3
5	с этой точки зрения	3	2
6	и т п и	1	2
7	не для того чтобы	1	2
8	ни в чем не	1	2
9	в то время как	4	2
10	о которых мы говорили	1	2
11	в двух планах в	1	2
12	привело к тому что	1	2
13	до сих пор не	1	2
14	именно в том что	1	1
15	и т п нет	1	1
16	него те или иные	1	1
17	в тесной связи с	1	1
18	в истории литературы и	1	1
19	для того чтобы увидеть	2	1
20	все дело в том	1	1
21	образом с одной стороны	1	1
22	с самого начала стоит	1	1
23	дело в том что	2	1
24	в том что в	2	1
25	в нем нет ни	1	1
26	таким образом с одной	1	1
27	одной и той же	4	1
28	а не только в	1	1
29	том что он не	1	1
30	в том что оно	1	1
31	в том что он	2	1
32	с самого начала в	1	1
33	никак не могут быть	1	1
34	бы то ни было	1	1
35	могут быть отнесены к	1	1
36	заключается в том чтобы	2	1
37	друг с другом и	1	1
38	одной стороны и между	1	1
39	так же как и	1	1
40	за ним необходимо признать	1	1
