N	2gram	Losev_Vesc	FransuaR
1	и в	44	367
2	то есть	2	209
3	в этом	17	112
4	и не	57	101
5	таким образом	16	100
6	и его	4	99
7	в его	5	98
8	прежде всего	17	92
9	не только	48	87
10	мы уже	3	85
11	но и	19	84
12	как бы	19	82
13	все эти	5	79
14	вовсе не	11	77
15	как и	15	76
16	в нем	6	75
17	но в	8	75
18	и на	2	72
19	в том	15	71
20	как мы	6	71
21	то же	12	66
22	и все	6	66
23	в них	1	65
24	в этой	4	65
25	так и	4	65
26	и с	11	64
27	в сущности	7	64
28	в то	11	63
29	во всех	5	62
30	все это	7	62
31	же время	4	55
32	что в	11	52
33	в своем	9	51
34	только в	23	48
35	так как	17	46
36	и до	6	46
37	том что	13	45
38	то что	47	41
39	у него	3	40
40	жизни и	6	40
41	в самом	13	38
42	точки зрения	10	37
43	в ней	14	37
44	с его	2	36
45	о том	11	35
46	может быть	37	35
47	мы видим	5	35
48	сказать что	21	34
49	и даже	12	34
50	в себе	23	34
51	мы видели	3	32
52	в конце	3	32
53	он не	4	32
54	для него	8	32
55	в своей	6	31
56	так же	4	30
57	но он	2	30
58	один из	5	30
59	потому что	25	30
60	той же	2	30
61	и потому	8	30
62	никогда не	5	30
63	тела и	1	30
64	в духе	1	29
65	в одном	6	29
66	еще не	12	29
67	связи с	1	29
68	в этих	1	29
69	что он	7	29
70	не может	44	29
71	в особенности	3	29
72	при этом	1	29
73	его в	8	29
74	не в	14	29
75	и к	1	28
76	из них	7	28
77	всех этих	1	28
78	также и	9	28
79	в той	6	28
80	в основе	4	28
81	здесь и	1	28
82	и другие	2	27
83	сих пор	1	27
84	до сих	1	27
85	все же	18	27
86	на части	1	27
87	и их	11	27
88	кроме того	5	26
89	на самом	1	25
90	но это	14	25
91	этот образ	1	24
92	он и	2	24
93	но не	9	24
94	в ее	8	24
95	и у	4	24
96	и от	4	24
97	как в	3	24
98	того чтобы	4	24
99	времени и	1	24
100	в частности	3	24
101	отношение к	4	24
102	и здесь	5	23
103	с ним	8	23
104	и для	13	23
105	в их	4	23
106	есть и	13	23
107	к нему	3	23
108	это не	9	23
109	еще и	11	23
110	даже в	1	22
111	не было	4	22
112	а в	6	22
113	границы между	1	22
114	тем что	7	22
115	что и	11	22
116	поэтому и	2	22
117	вместе с	4	22
118	и во	3	22
119	и о	4	22
120	в своих	3	21
121	именно в	2	21
122	культуры и	1	21
123	в отношении	7	21
124	уже в	2	21
125	и как	12	21
126	есть в	4	21
127	в качестве	4	21
128	одним из	1	21
129	в себя	13	21
130	что это	18	21
131	ни в	11	21
