N	3gram	Tiupa_Anal	Tragedij
1	то же время	7	5
2	в то же	9	5
3	в том что	13	2
4	и как бы	1	2
5	и в частности	1	2
6	но в то	2	2
7	в данном случае	3	2
8	о том что	8	2
9	и в самом	3	2
10	в отличие от	8	2
11	который в своей	1	1
12	сам по себе	1	1
13	том что он	2	1
14	а между тем	1	1
15	на всем протяжении	1	1
16	и при этом	1	1
17	в обоих случаях	2	1
18	смысле этого слова	1	1
19	и что же?	1	1
20	мысль о том	1	1
21	и должно быть	1	1
22	как и его	1	1
23	в применении к	1	1
24	он вообще не	1	1
25	в той же	1	1
26	и вместе с	1	1
27	не может быть	17	1
28	еще в году	1	1
29	и т п	3	1
30	говорит о его	1	1
31	же время он	1	1
32	в этом случае	4	1
33	в эпизоде гибели	1	1
34	не так ли	1	1
35	в xx веке	1	1
36	это было в	1	1
37	и то что	1	1
38	не только не	2	1
39	но и на	1	1
40	может быть понят	1	1
41	не могут быть	2	1
42	бы и в	1	1
43	и сам автор	1	1
44	хотя бы и	1	1
45	в виду не	1	1
46	как и в	2	1
47	в связи с	2	1
48	и все же	2	1
49	уже не к	1	1
50	в самом деле	3	1
51	ведет к тому	1	1
52	во всяком случае	1	1
53	в этой борьбе	1	1
54	к тому что	2	1
55	тем не менее	3	1
56	вместе с ними	1	1
57	в этой связи	2	1
58	в третий раз	1	1
59	и стал смотреть	2	1
60	на вопрос о	1	1
61	по природе своей	3	1
62	все же не	1	1
63	еще ничего не	1	1
64	и не может	4	1
65	и в этом	4	1
66	отнюдь не является	1	1
