N	3gram	Medvedev_U	Komedia
1	в том что	2	29
2	в то же	3	16
3	то же время	3	16
4	до сих пор	2	16
5	в самом деле	2	13
6	с одной стороны	1	9
7	с другой стороны	3	8
8	так или иначе	1	7
9	бы то ни	3	7
10	в конце концов	2	7
11	то ни было	3	7
12	в первую очередь	1	7
13	то же самое	2	5
14	в этом отношении	2	5
15	в этой области	3	4
16	в той же	1	3
17	более или менее	1	3
18	друг с другом	1	3
19	равно как и	1	3
20	на то что	1	3
21	когда бы то	1	3
22	по меньшей мере	1	3
23	в конечном счете	4	2
24	в этом смысле	2	2
25	у нас в	1	2
26	том что она	1	2
27	и в то	1	2
28	иначе связанные с	1	2
29	на первый план	1	2
30	или иначе связанные	1	2
31	имеем в виду	1	2
32	не только в	1	2
33	мы имеем в	1	2
34	в этом случае	1	2
35	в этой же	1	2
36	на каждом шагу	2	1
37	не может быть	4	1
38	можно сказать что	1	1
39	и независимо от	1	1
40	конечно не приходится	1	1
41	сам по себе	1	1
42	и в конце	1	1
43	а между тем	2	1
44	из которых она	1	1
45	они относятся к	1	1
46	большей или меньшей	1	1
47	само по себе	1	1
48	все что угодно	1	1
49	и прежде всего	1	1
50	в данном случае	1	1
51	и у других	1	1
52	не делает этого	1	1
53	оно все же	1	1
54	не о чем	1	1
55	в частности с	1	1
56	в которой все	1	1
57	но прежде всего	1	1
58	таким образом на	1	1
59	приходится признать что	1	1
60	по крайней мере	2	1
61	но он уже	1	1
62	как такового он	1	1
63	же самое что	1	1
64	может быть в	1	1
65	рассматривать не как	1	1
66	он может быть	1	1
67	не было бы	1	1
68	в противном случае	2	1
69	другой стороны в	1	1
70	и в их	1	1
71	и в частности	2	1
72	содержания и формы	1	1
73	тем что он	1	1
74	и не только	1	1
75	на предыдущих страницах	1	1
