N	3gram	Tiupa_Disk	UchenyiS
1	в конечном счете	2	4
2	не может быть	5	4
3	с другой стороны	4	3
4	в то же	7	3
5	то же время	9	3
6	и то что	2	2
7	на каждом шагу	1	2
8	в том что	18	2
9	в противном случае	1	2
10	в самом деле	1	2
11	не могут быть	1	2
12	до сих пор	1	2
13	хотя бы и	1	2
14	тех или иных	1	2
15	то же самое	2	2
16	в этом отношении	4	2
17	по крайней мере	3	2
18	в этом смысле	1	2
19	в эстетический объект	1	1
20	жанра но и	2	1
21	в первую очередь	3	1
22	сам по себе	1	1
23	художественного произведения как	1	1
24	и в различных	1	1
25	другой стороны в	1	1
26	на первый взгляд	1	1
27	тем что он	2	1
28	она сводится к	1	1
29	может быть в	1	1
30	или по крайней	1	1
31	лирических стихотворений и	1	1
32	претендует на роль	1	1
33	большей или меньшей	2	1
34	с одной стороны	12	1
35	но прежде всего	1	1
36	можно сказать что	3	1
37	равно как и	1	1
38	эстетики словесного творчества	1	1
39	в их специфической	1	1
40	на большую значимость	2	1
41	или меньшей степени	1	1
42	не в том	3	1
43	и не только	2	1
44	а не только	2	1
45	на то что	1	1
46	литературного жанра в	1	1
47	не только в	2	1
48	и прежде всего	2	1
49	более или менее	2	1
50	и в то	2	1
51	в данном случае	6	1
52	в этом случае	3	1
53	в большей или	1	1
54	в качестве героя	1	1
