N	4gram	Vinokur_Ku	VerxiiNi
1	и вместе с тем	1	3
2	бы то ни было	1	2
3	с этой точки зрения	3	2
4	мы должны признать что	1	2
5	в то же время	4	2
6	до сих пор еще	1	2
7	точно так же как	3	2
8	так или иначе связанные	1	1
9	но точно так же	1	1
10	свидетельствует о том что	1	1
11	состоит в том что	4	1
12	по крайней мере в	1	1
13	одном и том же	1	1
14	широком смысле этого слова	1	1
15	себе точный отчет в	1	1
16	а в том что	2	1
17	с тех пор как	1	1
18	ничего общего с теориями	1	1
19	в широком смысле этого	1	1
20	мы имеем в виду	1	1
21	и в то же	1	1
22	все более и более	1	1
23	одного и того же	2	1
24	не в том что	1	1
25	с того момента как	1	1
26	в одном и том	1	1
27	еще и потому что	1	1
28	а с другой стороны	2	1
29	или иначе связанные с	1	1
30	в том или ином	1	1
31	а вместе с тем	1	1
