N	3gram	Tiupa_Narr	VerxiiNi
1	с одной стороны	7	7
2	с точки зрения	2	6
3	друг с другом	1	5
4	по крайней мере	1	5
5	а с другой	1	5
6	до сих пор	1	5
7	в том числе	6	5
8	более или менее	2	5
9	том числе и	4	4
10	но все же	4	4
11	о том что	6	4
12	к тому же	4	4
13	в том что	8	3
14	так же как	2	3
15	в связи с	2	3
16	точно так же	2	3
17	тем не менее	3	3
18	так или иначе	2	3
19	и после смерти	1	2
20	некоторые из них	1	2
21	той или иной	4	2
22	то что он	1	2
23	то или иное	2	2
24	то ни было	3	2
25	этой точки зрения	2	2
26	то же самое	1	2
27	так и от	1	2
28	можно сказать что	4	2
29	бы то ни	3	2
30	в этом отношении	3	2
31	то же время	3	2
32	в то же	3	2
33	с этой точки	1	2
34	может быть и	1	2
35	все те же	4	1
36	сами по себе	2	1
37	так и в	1	1
38	жизни то есть	1	1
39	в первом случае	2	1
40	может показаться что	1	1
41	в свою очередь	3	1
42	и тот же	1	1
43	иметь в виду	1	1
44	может и не	1	1
45	речь идет о	2	1
46	поскольку с одной	1	1
47	один из этих	1	1
48	до известной степени	1	1
49	в соответствии с	1	1
50	не может быть	5	1
51	по отношению к	6	1
52	и в то	1	1
53	одной из этих	1	1
54	в данном случае	4	1
55	в том или	2	1
56	из двух или	1	1
57	в отличие от	5	1
58	а не как	1	1
59	в себе не	1	1
60	в первую очередь	1	1
61	в духовном отношении	1	1
62	что в этом	1	1
63	и того же	1	1
64	и т.д в	1	1
65	же самое происходит	1	1
66	один и тот	1	1
67	не может не	2	1
68	том или ином	2	1
69	в самом деле	1	1
70	но далеко не	1	1
71	в таком случае	2	1
72	лишь постольку поскольку	1	1
73	состоит в том	3	1
74	только то что	1	1
75	не представляется возможным	1	1
76	с другой стороны	4	1
77	по всей вероятности	2	1
78	к нему в	1	1
79	но по существу	1	1
80	с этого момента	1	1
81	одного и того	1	1
82	в этом последнем	1	1
