N	3gram	Trubetskoy	PoTuStor
1	с точки зрения	8	6
2	на самом деле	7	4
3	с самого начала	1	4
4	до сих пор	15	3
5	не может быть	4	3
6	по крайней мере	1	3
7	по сравнению с	5	3
8	во всяком случае	2	3
9	все то что	1	2
10	нечего и говорить	3	2
11	так же как	3	2
12	а потому и	1	2
13	и может быть	2	2
14	о том что	4	2
15	в самом деле	5	2
16	друг на друга	2	2
17	более позднее время	1	1
18	а потом и	1	1
19	в том что	16	1
20	друг с другом	9	1
21	роль в развитии	1	1
22	мы знаем что	7	1
23	осталось и следа	1	1
24	превратив его в	1	1
25	а может быть	1	1
26	в течение своей	1	1
27	каких бы то	1	1
28	рано или поздно	2	1
29	вступают в борьбу	1	1
30	в этом и	1	1
31	дело в том	1	1
32	что рано или	1	1
33	вместе с тем	3	1
34	мы уже знаем	1	1
35	но вместе с	2	1
36	самом деле есть	1	1
37	как мы сказали	1	1
38	а на самом	1	1
39	можно было бы	1	1
40	мы утверждаем что	1	1
41	и таким образом	1	1
42	но мы знаем	1	1
43	в данном случае	3	1
44	как мы знаем	1	1
45	шаг за шагом	1	1
46	основе их лежит	1	1
47	уже знаем что	1	1
48	то ни было	3	1
49	и того же	3	1
50	в борьбу с	1	1
51	этой точки зрения	1	1
52	в высшей степени	2	1
53	на первый взгляд	1	1
54	с этой точки	1	1
55	то же самое	1	1
56	во всем мире	1	1
57	а потому не	1	1
58	из того же	2	1
59	для того чтобы	7	1
60	по его мнению	1	1
61	совершенно так же	4	1
62	а с другой	2	1
63	с одной стороны	2	1
64	таким образом и	1	1
65	все эти понятия	1	1
66	одна на другую	1	1
67	на наших глазах	1	1
68	сих пор еще	1	1
69	бы то ни	3	1
70	в основе их	1	1
71	в этих областях	2	1
72	теперь мы должны	1	1
73	в более позднее	1	1
74	не осталось и	1	1
75	вопрос можно ли	1	1
76	одного и того	3	1
77	в связи с	3	1
78	между собою в	1	1
