N	3gram	Bakhtin_Fr	KFilosof
1	по отношению к	2	22
2	не может быть	2	11
3	с точки зрения	4	10
4	в его целом	3	10
5	может быть только	1	7
6	к нему в	1	4
7	но все эти	1	3
8	в ее целом	1	3
9	один и тот	3	3
10	может быть в	2	3
11	на самом деле	5	3
12	между тем как	1	3
13	во всех своих	1	3
14	и тот же	3	3
15	в нем и	1	3
16	и в этом	1	3
17	в том что	2	2
18	той или иной	2	2
19	имеем в виду	2	2
20	дело здесь не	1	2
21	во всех отношениях	1	2
22	всех своих моментах	1	2
23	бы и не	1	2
24	в то же	13	2
25	включает в себя	1	2
26	во всех этих	1	2
27	не может дать	1	2
28	то ни было	1	2
29	есть на самом	1	2
30	бы то ни	1	2
31	то же время	13	2
32	раз и навсегда	1	2
33	вечной истины и	1	1
34	сих пор не	1	1
35	но никто не	1	1
36	в свою очередь	2	1
37	это не значит	1	1
38	в данном контексте	1	1
39	в этом тоне	1	1
40	но прежде всего	1	1
41	это может быть	1	1
42	на основе своей	1	1
43	мы прежде всего	1	1
44	было бы совершенно	1	1
45	в конечном счете	1	1
46	во всяком случае	2	1
47	и во всех	1	1
48	в большинстве случаев	3	1
49	до конца в	2	1
50	только в его	1	1
51	на том что	1	1
52	здесь вовсе не	1	1
53	в средние века	1	1
54	но как и	1	1
55	имеют дело с	1	1
56	средних веков и	1	1
57	именно там где	1	1
58	его целом в	1	1
59	мы не найдем	1	1
60	хотя бы и	1	1
61	книги но и	1	1
62	в том случае	1	1
63	вовсе не по	1	1
64	может быть понято	1	1
65	в том же	3	1
66	о нем не	1	1
67	за собой и	1	1
68	в ее основных	1	1
69	для того чтобы	5	1
70	между жизнью и	3	1
71	областей культуры и	1	1
72	все это лишь	1	1
73	здесь мы видим	1	1
74	рождение и смерть	1	1
75	в настоящее время	2	1
76	но ни в	1	1
77	одного и того	1	1
78	со всех сторон	1	1
79	именно в этой	1	1
80	до сих пор	6	1
81	не было ни	3	1
82	своей причастности к	1	1
83	в первом случае	1	1
84	дело в том	2	1
85	приводит его в	1	1
86	смысле этого слова	2	1
87	но в то	7	1
88	такова же и	1	1
89	жизни и смерти	2	1
90	вместо того чтобы	1	1
91	само по себе	1	1
92	не подлежит сомнению	2	1
93	и в то	2	1
94	и все остальные	3	1
95	и то что	1	1
96	и рядом с	1	1
97	и того же	1	1
98	и в ее	1	1
99	во второй половине	1	1
100	но только не	1	1
101	что может быть	1	1
102	и т.п но	1	1
103	даны здесь в	1	1
104	притом не только	1	1
105	между прочим и	1	1
106	в этом последнем	1	1
107	только тогда когда	1	1
108	это и есть	2	1
109	но это не	1	1
110	в значительной степени	2	1
111	что и в	1	1
112	в целом не	1	1
113	нет и не	1	1
114	в виду и	1	1
115	ровно ничего не	1	1
116	свой смысл и	1	1
117	в основе своей	1	1
118	может быть и	2	1
