N	3gram	Potebnia_M	VrazhdaK
1	то же время	8	4
2	в то же	8	4
3	в том что	22	2
4	не может быть	7	2
5	с точки зрения	2	2
6	и что в	1	2
7	и о том	1	2
8	только при помощи	1	1
9	не было бы	2	1
10	и все что	1	1
11	с первого раза	2	1
12	в свою очередь	6	1
13	давно уже не	1	1
14	а между тем	6	1
15	может быть иначе	1	1
16	же время и	1	1
17	в то время	7	1
18	далеко не все	3	1
19	одно и то	7	1
20	еще один пример	1	1
21	равно как и	2	1
22	что в ней	2	1
23	а тем более	2	1
24	на то что	3	1
25	не только от	1	1
26	это дает нам	1	1
27	по крайней мере	8	1
28	в этом смысле	2	1
29	но как в	1	1
30	заключается в том	1	1
31	в мире а	1	1
32	для нас весьма	1	1
33	что в нем	1	1
34	и то что	3	1
35	не только не	4	1
36	о том что	5	1
37	но и от	1	1
38	одним из первых	1	1
39	не вдаваясь в	1	1
40	до сих пор	4	1
41	его отношение к	1	1
42	в это время	1	1
43	в том же	2	1
44	или по крайней	2	1
45	во всяком случае	3	1
46	а следовательно и	1	1
47	тем не менее	7	1
48	еще не знал	1	1
49	к вопросу о	1	1
50	и в самом	3	1
51	то что я	2	1
52	на свое место	1	1
53	с другой стороны	4	1
54	у него в	1	1
55	тем более что	1	1
56	что для нас	1	1
57	на первый взгляд	1	1
58	и то же	7	1
59	в этом отношении	2	1
60	и не может	1	1
61	и в этом	1	1
62	ответ на это	2	1
63	может быть и	1	1
