N	2gram	Vygotskiy_	ViktorSh
1	конце концов	6	2
2	в конце	10	2
3	и в	55	2
4	в том	50	2
5	том что	46	2
6	в другом	3	1
7	все время	44	1
8	но это	2	1
9	одно и	3	1
10	столь же	3	1
11	том же	1	1
12	по существу	4	1
13	заключается что	2	1
14	отказались от	1	1
15	главным образом	3	1
16	в самом	18	1
17	как же	1	1
18	в теории	2	1
19	чем больше	3	1
20	и т.д	1	1
21	что слово	1	1
22	для них	1	1
23	а только	1	1
24	от других	1	1
25	именно в	9	1
26	и самым	2	1
27	все то	6	1
28	ни к	1	1
29	и стоит	1	1
30	другое дело	1	1
31	самом деле	17	1
32	другом месте	1	1
33	и составляет	4	1
34	ясно что	10	1
35	речи и	2	1
36	говоря о	1	1
37	в частности	6	1
38	и то	12	1
39	так в	4	1
40	крайней мере	1	1
41	и заключается	6	1
42	не хотел	2	1
43	к созданию	1	1
44	техники и	1	1
45	и его	10	1
46	сводится к	7	1
47	даже не	1	1
48	под влиянием	3	1
49	бы уже	1	1
50	на одном	5	1
51	хотя бы	5	1
52	и положения	1	1
53	по поводу	6	1
54	далеко не	4	1
55	тем более	1	1
56	по крайней	1	1
57	в которых	4	1
58	к этому	5	1
59	которые они	1	1
60	только в	12	1
61	потому что	48	1
62	дело именно	1	1
63	в значительной	1	1
64	в их	3	1
65	все дело	1	1
66	и только	5	1
67	то же	16	1
68	чего не	1	1
69	что язык	1	1
70	и не	19	1
71	деле как	1	1
72	гораздо более	3	1
73	дело в	4	1
74	да и	4	1
75	в этом	30	1
76	так как	20	1
77	все это	8	1
78	совершенно ясно	13	1
