N	3gram	Propp_Isto	EvropaiE
1	с точки зрения	1	16
2	с одной стороны	11	8
3	в том что	7	6
4	одной стороны и	1	6
5	так же как	4	5
6	как нам кажется	1	5
7	этой точки зрения	3	5
8	для того чтобы	1	5
9	с этой точки	3	5
10	не только в	9	4
11	то ни было	1	4
12	бы то ни	1	4
13	друг с другом	1	3
14	можно думать что	1	3
15	можно было бы	3	3
16	же как и	1	3
17	ту или иную	1	3
18	во всяком случае	3	3
19	можно сказать что	1	3
20	так и в	3	2
21	сказать что в	1	2
22	того что в	1	2
23	приводит нас к	2	2
24	как мы видели	3	2
25	нам кажется что	4	2
26	не может быть	5	2
27	на то что	1	2
28	в большинстве случаев	1	2
29	в данном случае	7	2
30	по себе не	1	2
31	к тому чтобы	1	2
32	иначе обстоит дело	1	2
33	только в том	1	2
34	то что в	4	2
35	во второй половине	1	2
36	в северной америке	3	2
37	северной америки в	1	2
38	с другой стороны	17	2
39	между прочим и	2	2
40	мы видели что	4	1
41	и т д	25	1
42	хотя и не	1	1
43	кроме того что	1	1
44	нельзя сказать чтобы	1	1
45	не имеет значения	1	1
46	в одной из	2	1
47	она никогда не	1	1
48	что в тех	3	1
49	следует отметить что	1	1
50	совершенно достаточно чтобы	1	1
51	может быть установлена	1	1
52	и та же	1	1
53	но и эта	1	1
54	а именно в	1	1
55	во многих других	1	1
56	смысле этого слова	1	1
57	это может быть	1	1
58	все же следует	1	1
59	всех этих случаях	6	1
60	в других случаях	1	1
61	как и другие	2	1
62	мы не можем	2	1
63	на своем пути	2	1
64	к тому что	1	1
65	но и в	4	1
66	в кратчайший срок	1	1
67	в этом мире	1	1
68	что наряду с	1	1
69	и тем более	1	1
70	почти никогда не	1	1
71	и тем самым	1	1
72	то время как	4	1
73	во всех этих	6	1
74	еще далеко не	1	1
75	мы хотели бы	2	1
76	а через некоторое	1	1
77	в себе не	1	1
78	но и то	1	1
79	и то и	2	1
80	через некоторое время	1	1
81	того в какой	1	1
82	помнить что в	1	1
83	тех случаях когда	6	1
84	один и тот	1	1
85	при вступлении в	1	1
86	то и другое	2	1
87	имеет никаких аналогий	1	1
88	не исключено что	1	1
89	с тем что	2	1
90	мы увидим что	2	1
91	ли он в	1	1
92	на то чтобы	2	1
93	в связи с	1	1
94	и не в	1	1
95	в некоторых случаях	2	1
96	от того в	1	1
97	и тот же	1	1
98	никаких аналогий в	1	1
99	он мог бы	1	1
100	что мы знаем	1	1
101	это значит что	2	1
102	не имеет никаких	1	1
103	в нем и	1	1
104	исключено что это	1	1
105	свою способность к	1	1
106	в то время	4	1
107	более или менее	3	1
108	чтобы ответить на	1	1
109	независимо от того	2	1
110	в качестве примера	1	1
111	но так как	4	1
112	на этот вопрос	3	1
113	склонен думать что	1	1
114	северной америке есть	1	1
115	в тех случаях	7	1
116	к тому же	1	1
117	совершенно очевидно что	1	1
118	одна и та	1	1
119	как бы то	1	1
