N	3gram	Bakhtin_KF	Russkaja
1	то же время	2	10
2	в то же	2	10
3	с точки зрения	10	9
4	в том что	2	7
5	на самом деле	3	6
6	во всяком случае	1	6
7	для того чтобы	1	6
8	до сих пор	1	5
9	в том случае	1	4
10	не может быть	11	4
11	на то что	1	4
12	к которой он	1	4
13	бы то ни	2	4
14	той или иной	2	3
15	вместе с тем	1	3
16	в лучшем случае	1	3
17	и то что	1	3
18	не может не	1	3
19	того или иного	3	2
20	в большинстве случаев	1	2
21	лишь при условии	1	2
22	и тем самым	1	2
23	в противоречие с	1	2
24	по самому своему	1	2
25	только в том	1	2
26	к тому что	1	2
27	а следовательно и	1	2
28	ни к чему	2	2
29	в другом случае	1	2
30	будет ли это	1	2
31	в настоящее время	1	2
32	том случае когда	1	1
33	быть не может	1	1
34	в противном случае	1	1
35	то-то и то-то	1	1
36	или иной культурной	1	1
37	и как бы	1	1
38	дело в том	1	1
39	соображениям совершенно посторонним	1	1
40	смысле этого слова	1	1
41	но в то	1	1
42	всех этих случаях	1	1
43	и в своем	1	1
44	но и от	1	1
45	мы прежде всего	1	1
46	это значило бы	2	1
47	к чему не	2	1
48	не подлежит сомнению	1	1
49	и только в	3	1
50	но можно ли	1	1
51	по отношению к	22	1
52	во всех этих	2	1
53	как бы ни	1	1
54	не только от	1	1
55	по соображениям совершенно	1	1
56	несмотря на то	1	1
57	чем ближе к	1	1
58	не может иметь	1	1
59	то ни было	2	1
60	и того же	1	1
61	отказаться от своей	2	1
62	она могла бы	2	1
63	и вопрос о	1	1
64	он не может	1	1
65	то же самое	1	1
66	конечно не может	1	1
67	и все же	1	1
68	в том же	1	1
69	может быть совершено	1	1
70	лишь постольку поскольку	2	1
71	тем не менее	2	1
72	для нас важно	2	1
73	с ним в	1	1
74	между прочим и	1	1
75	отнюдь не следует	1	1
76	по отношению ко	4	1
77	вопрос о том	2	1
78	значило бы признать	1	1
79	в свою очередь	1	1
80	только в этом	1	1
81	никогда не было	1	1
82	это и есть	1	1
83	в его целом	10	1
84	в значительной степени	1	1
85	зависит от того	1	1
86	можно сказать только	1	1
87	одного и того	1	1
88	и в этом	3	1
