N	2gram	Trubetskoy	KulturaY
1	и в	26	84
2	в том	11	74
3	потому что	7	68
4	не только	10	60
5	точки зрения	13	59
6	в этом	15	57
7	было бы	1	53
8	и не	8	52
9	может быть	10	47
10	что в	9	44
11	том что	7	44
12	того чтобы	5	44
13	в самом	4	41
14	для того	5	41
15	у нас	1	38
16	хотя бы	3	37
17	самом деле	1	37
18	так как	9	36
19	с точки	6	36
20	в области	9	34
21	таким образом	22	33
22	а не	5	33
23	если бы	3	32
24	не в	2	30
25	и пр	1	30
26	в его	5	30
27	прежде всего	2	30
28	все же	6	29
29	не менее	3	28
30	того что	3	28
31	все эти	6	28
32	уже не	3	26
33	в силу	5	26
34	то что	7	25
35	не может	4	25
36	с другой	8	24
37	еще не	2	24
38	то же	4	23
39	с помощью	1	23
40	только в	4	23
41	так и	6	23
42	тем не	3	21
43	по себе	1	20
44	во всяком	6	20
45	и что	4	20
46	но и	9	20
47	тем что	1	19
48	о том	6	19
49	что он	4	19
50	всяком случае	6	19
51	но в	7	19
52	и с	10	18
53	с тем	18	18
54	к тому	6	18
55	в сущности	1	18
56	в качестве	3	18
57	связи с	9	18
58	между тем	2	18
59	вместе с	15	18
60	как бы	12	18
61	все это	6	18
62	в той	1	17
63	можно говорить	1	17
64	другой стороны	1	17
65	что это	3	17
66	как раз	1	17
67	это не	1	17
68	в виду	2	16
69	что и	6	16
70	тот же	2	16
71	ничего не	1	16
72	в русском	2	16
73	но не	8	16
74	при этом	3	15
75	именно в	2	15
76	в данном	1	15
77	как на	8	15
78	в нашем	1	15
79	не было	2	15
80	один из	2	15
81	по отношению	1	15
82	ни к	1	15
83	целый ряд	4	15
84	того как	1	15
85	а в	4	15
86	лишь в	5	15
87	должно быть	1	15
88	в них	2	14
89	и на	2	14
90	сказать что	2	14
91	что такое	1	14
92	в связи	3	14
93	сих пор	5	14
94	в ней	1	14
95	до сих	5	14
96	мы имеем	2	14
97	отношению к	3	14
98	что она	1	13
99	крайней мере	5	13
100	в этой	4	13
101	там где	1	13
102	не могут	2	13
103	в которых	4	13
104	по крайней	5	13
105	той же	1	13
106	это и	1	13
107	по существу	2	13
108	и его	1	13
109	с этой	3	12
110	в результате	3	12
111	того же	6	12
112	ясно что	3	12
113	этот вопрос	1	12
114	могут быть	1	12
115	тогда когда	2	12
116	как в	1	12
117	этого слова	1	12
118	однако не	1	12
119	в рамках	3	12
120	для этого	2	12
121	те же	2	11
122	языка как	1	11
123	в своем	3	11
124	на себе	1	11
125	он не	4	11
126	в нем	4	11
