N	2gram	Bakhtin_Fr	Sotsiolo
1	все это	6	7
2	в том	12	5
3	в этом	28	5
4	метод в	3	4
5	не только	21	3
6	как же	1	3
7	не в	2	3
8	и в	68	3
9	и только	1	3
10	но ведь	3	3
11	в его	21	3
12	для нас	1	3
13	литературы и	1	2
14	что в	14	2
15	ведь это	3	2
16	то что	11	2
17	таким образом	22	2
18	том что	6	2
19	или даже	1	2
20	дело не	3	2
21	как бы	7	2
22	в результате	1	2
23	было бы	4	2
24	как будто	2	2
25	в смысле	1	2
26	в частности	4	2
27	и мы	2	2
28	но и	17	2
29	конце концов	3	2
30	может быть	10	2
31	главным образом	3	2
32	и что	2	2
33	это и	4	2
34	по отношению	3	2
35	в конце	8	2
36	отношению к	2	2
37	исторического развития	1	2
38	далеко не	3	2
39	только в	9	2
40	к которому	2	2
41	то же	14	2
42	еще не	3	2
43	и стиля	3	1
44	а в	3	1
45	что он	7	1
46	художественных произведений	1	1
47	несколько упрощенно	1	1
48	образом в	3	1
49	в конечном	1	1
50	теперь он	2	1
51	даже в	4	1
52	на что	1	1
53	стиль в	1	1
54	входящие в	1	1
55	в таких	3	1
56	в целом	3	1
57	вряд ли	3	1
58	и самые	1	1
59	на этот	1	1
60	что эти	1	1
61	использовав для	1	1
62	все эти	16	1
63	не было	7	1
64	остается в	2	1
65	связи с	8	1
66	точке зрения	1	1
67	только то	2	1
68	целом все	1	1
69	и куда	1	1
70	в своей	11	1
71	во всяком	2	1
72	в мире	6	1
73	том именно	1	1
74	и потому	6	1
75	переходим к	1	1
76	дает нам	4	1
77	все же	6	1
78	что это	4	1
79	еще и	6	1
80	и голова	1	1
81	с другой	8	1
82	а тем	1	1
83	это как	2	1
84	это же	1	1
85	с ним	3	1
86	право на	2	1
87	между тем	3	1
88	именно и	2	1
89	и более	2	1
90	но как	5	1
91	в этой	15	1
92	и его	26	1
93	они ни	1	1
94	никак не	3	1
95	в данном	5	1
96	на все	1	1
97	только для	6	1
98	этих вопросов	1	1
99	далеки от	2	1
100	в области	5	1
101	и по	4	1
102	их на	1	1
103	первый план	1	1
104	с помощью	5	1
105	один из	9	1
106	так и	8	1
107	только тогда	1	1
108	от догматизма	1	1
109	в то	14	1
110	слишком много	1	1
111	реализма и	2	1
112	развиваться в	1	1
113	в котором	3	1
114	те же	6	1
115	именно на	1	1
116	не выходит	1	1
117	между собой	1	1
118	него и	3	1
119	произведение как	1	1
120	отнюдь не	1	1
121	и не	25	1
122	со своими	2	1
123	должны служить	1	1
124	всяком случае	2	1
125	эти два	1	1
126	от окружающих	1	1
127	не исчерпываются	1	1
128	том как	1	1
129	настоящее время	2	1
130	и о	5	1
131	это вовсе	2	1
132	но не	4	1
133	они не	4	1
134	на точке	1	1
135	в него	1	1
136	правда он	1	1
137	благодаря этому	1	1
138	для этого	3	1
139	прежде всего	23	1
140	тем что	6	1
141	тем же	2	1
142	в строгом	1	1
143	связь между	3	1
144	на тех	1	1
145	нам право	1	1
146	в чем	3	1
147	мы еще	8	1
148	же не	1	1
149	но только	2	1
150	не дает	4	1
151	тех кто	2	1
152	в сущности	15	1
153	конечном счете	1	1
154	это наиболее	1	1
155	он говорит	6	1
156	его в	7	1
157	пришлось бы	1	1
158	представляется нам	2	1
159	на определенных	1	1
160	новое и	1	1
161	вовсе не	18	1
162	с одной	5	1
163	и наконец	5	1
164	для изучения	1	1
165	конечно не	4	1
166	о том	5	1
167	мы не	3	1
168	тому что	1	1
169	в заключение	4	1
170	но именно	3	1
171	в этих	8	1
172	ровно ничего	1	1
173	у него	14	1
174	по себе	1	1
175	на отдельные	1	1
176	на первый	1	1
177	перед нами	4	1
178	бы он	1	1
179	в любой	1	1
180	очень далеки	2	1
181	вот в	1	1
182	положительное и	1	1
183	все то	2	1
184	хотя бы	2	1
185	же время	13	1
186	наконец в	3	1
187	что на	2	1
188	это не	5	1
189	в серьезных	1	1
190	одной стороны	4	1
191	в связи	7	1
192	и должно	1	1
193	в виде	2	1
194	в настоящее	2	1
195	именно в	5	1
196	никогда не	2	1
197	голова его	1	1
198	и есть	5	1
199	не может	5	1
200	между ними	4	1
201	и как	5	1
202	способен ни	1	1
203	что все	2	1
204	не без	1	1
205	как и	17	1
206	изучения и	1	1
207	ничего не	4	1
208	в них	19	1
