N	2gram	Propp_Russ	ViktorSh
1	в конце	1	2
2	и в	59	2
3	в том	33	2
4	том что	33	2
5	в другом	1	1
6	все время	1	1
7	от общего	1	1
8	но это	5	1
9	том же	6	1
10	по существу	7	1
11	главным образом	5	1
12	связанным с	1	1
13	веселовского в	1	1
14	пишет чем	1	1
15	образом из	1	1
16	для них	5	1
17	а только	1	1
18	от других	1	1
19	именно в	3	1
20	все то	1	1
21	имеется в	1	1
22	они на	1	1
23	самом деле	1	1
24	другом месте	1	1
25	говоря о	1	1
26	в частности	2	1
27	же все	1	1
28	и то	2	1
29	так в	5	1
30	же месте	2	1
31	этом и	1	1
32	и его	2	1
33	на заре	1	1
34	даже не	1	1
35	под влиянием	1	1
36	две большие	1	1
37	зависят от	1	1
38	по поводу	1	1
39	далеко не	5	1
40	тем более	1	1
41	в которых	8	1
42	говорится в	1	1
43	к этому	7	1
44	только в	4	1
45	одном и	1	1
46	же с	1	1
47	потому что	15	1
48	в их	5	1
49	есть ряд	1	1
50	то же	6	1
51	не будем	5	1
52	и том	1	1
53	и не	6	1
54	деле как	1	1
55	дело в	1	1
56	в этом	18	1
57	так как	25	1
58	все это	12	1
