N	4gram	Propp_Morf	VeschiIm
1	не что иное как	2	12
2	бы то ни было	2	12
3	и т д и	1	11
4	есть не что иное	1	8
5	одно и то же	1	5
6	и тем не менее	2	5
7	с этой точки зрения	1	4
8	в то же время	1	4
9	в то время как	3	4
10	то это значит что	1	3
11	какого бы то ни	1	2
12	в том или другом	1	2
13	уже не может быть	1	2
14	если это так то	1	2
15	в том что он	1	2
16	вопрос о том как	1	2
17	было бы сказать что	1	2
18	но если это так	2	2
19	это не значит что	2	1
20	ни в коем случае	1	1
21	с тех пор как	1	1
22	и т д то	1	1
23	решить вопрос о том	1	1
24	нет не только никакого	1	1
25	и т д а	2	1
26	и т д таким	1	1
27	мы видим таким образом	1	1
28	т д таким образом	1	1
29	в коем случае не	1	1
30	и т д словом	1	1
31	и т д в	2	1
32	то возникает другой вопрос	1	1
33	и т д но	4	1
34	и т д все	1	1
35	не может быть и	1	1
36	видим таким образом что	1	1
37	один и тот же	1	1
38	что бы то ни	1	1
