N	3gram	Berdyaev_V	Tvorches
1	и т д	2	17
2	в том что	2	11
3	о великом инквизиторе	4	5
4	по крайней мере	1	4
5	в xx веке	1	4
6	как и в	1	3
7	с другой стороны	1	3
8	легенда о великом	2	3
9	добра и зла	2	3
10	ивана карамазова и	1	2
11	так и в	1	2
12	в конце концов	1	2
13	вот в чем	1	2
14	не могут быть	1	2
15	в известном смысле	1	2
16	не в силах	2	2
17	никогда не было	1	2
18	но прежде всего	1	2
19	вместе с тем	1	2
20	и что в	1	2
21	в мистический смысл	1	1
22	для человека и	1	1
23	он говорит что	1	1
24	в изображении достоевского	1	1
25	человека в его	1	1
26	это одна из	1	1
27	легенде о великом	1	1
28	знаешь ли что	1	1
29	д и т	1	1
30	в первый раз	3	1
31	хотя бы и	1	1
32	не верит что	1	1
33	с такой силой	1	1
34	что он был	1	1
35	а между тем	2	1
36	так ли это?	1	1
37	к тому что	3	1
38	в нем нет	2	1
39	бы то ни	1	1
40	в истории человечества	1	1
41	и в этом	1	1
42	для их же	1	1
43	т д и	1	1
44	за то что	3	1
45	все тот же	2	1
46	но и в	2	1
47	но в нем	1	1
48	и не было	1	1
49	великого инквизитора и	2	1
50	то и другое	1	1
51	тем что они	1	1
52	и никогда не	1	1
53	это еще не	2	1
54	всех на земле	1	1
55	не совместима с	1	1
56	отказаться от свободы	1	1
57	в мире и	1	1
58	есть прежде всего	1	1
59	отпадения от бога	1	1
60	как это случилось	1	1
61	личности и ее	1	1
62	к небытию в	1	1
63	легенду о великом	1	1
